Itration,Real Sto Return,Running Forward KL,Reward Loss,Real Det Return,Running Update Time,Running Env Steps,Running Reverse KL
0,337.37,442.2623,42.07754135131836,291.55,0,0,275.8835
1,289.84,440.2386,-309.94989013671875,265.66,1,5000,288.4273
2,356.77,439.4249,-769.2084350585938,380.4,2,10000,254.6219
3,289.91,433.9209,-975.52587890625,208.51,3,15000,266.5982
4,331.95,442.4616,-702.5122680664062,357.55,4,20000,261.8417
5,446.02,429.9599,-1219.2115478515625,433.11,5,25000,276.8894
6,392.81,441.8097,-1817.9598388671875,382.35,6,30000,278.5871
7,386.42,444.5372,-1857.21728515625,342.0,7,35000,293.4217
8,429.0,433.7734,-1942.6875,383.67,8,40000,275.3508
9,455.0,421.0881,-2157.71484375,436.0,9,45000,257.1965
10,461.03,420.956,-2713.9658203125,486.65,10,50000,256.4779
11,444.72,400.8266,-2436.4248046875,513.18,11,55000,248.9519
12,496.41,408.987,-2493.06103515625,526.54,12,60000,253.9065
13,506.76,417.2407,-2781.662841796875,472.62,13,65000,261.9306
14,516.59,403.0196,-2783.6875,508.76,14,70000,257.5888
15,600.57,409.8197,-2915.03857421875,583.4,15,75000,266.6541
16,557.54,406.3264,-3150.45458984375,629.45,16,80000,256.6192
17,566.8,410.5978,-3138.421142578125,604.69,17,85000,260.0736
18,592.01,409.9298,-3337.5869140625,502.54,18,90000,265.3873
19,548.61,395.1365,-3196.480712890625,557.14,19,95000,257.1011
20,583.78,396.9799,-3516.770751953125,522.38,20,100000,268.5275
21,596.55,387.4925,-3265.406982421875,541.53,21,105000,243.0799
22,611.89,392.0289,-3602.878173828125,588.39,22,110000,248.4186
23,578.78,382.7793,-3722.05078125,460.98,23,115000,246.9794
24,689.22,382.9583,-3846.348876953125,539.61,24,120000,247.1575
25,748.6,386.0448,-3824.17333984375,511.68,25,125000,224.2147
26,681.35,392.9787,-3663.1103515625,442.43,26,130000,230.314
27,672.97,387.6897,-4195.20263671875,475.3,27,135000,245.5422
28,760.31,371.9417,-4344.14404296875,688.2,28,140000,221.2661
29,774.37,369.2787,-4384.03173828125,657.1,29,145000,217.6461
30,852.06,358.8885,-4744.171875,542.23,30,150000,223.2594
31,1022.22,373.1656,-4554.54931640625,510.55,31,155000,221.4982
32,900.94,395.5374,-4609.75927734375,557.67,32,160000,243.6018
33,809.19,373.6887,-4732.85791015625,678.37,33,165000,223.3104
34,725.36,378.7801,-4546.4873046875,633.24,34,170000,222.2455
35,745.06,409.1837,-5106.6064453125,462.47,35,175000,244.6228
36,737.15,405.0758,-5682.82666015625,472.93,36,180000,258.4042
37,914.68,387.5975,-5552.205078125,554.96,37,185000,234.2524
38,973.8,361.8243,-5219.78564453125,613.42,38,190000,213.823
39,736.05,381.1955,-5998.380859375,550.01,39,195000,241.6467
40,791.01,373.7631,-6022.20166015625,680.24,40,200000,233.8654
41,1019.78,362.6101,-5499.5947265625,1293.16,41,205000,208.3256
42,776.82,400.14,-6316.73046875,1073.75,42,210000,231.8383
43,902.18,368.776,-5278.4326171875,1085.63,43,215000,204.7027
44,839.39,381.2037,-5722.55029296875,603.13,44,220000,224.9942
45,1087.25,379.1962,-6381.44482421875,985.84,45,225000,215.8168
46,1071.73,378.9516,-5687.376953125,988.22,46,230000,222.9329
47,1031.21,361.9135,-6308.41064453125,730.89,47,235000,207.7368
48,1285.88,377.1644,-6456.87939453125,921.32,48,240000,209.5657
49,1400.66,367.8274,-6425.365234375,1252.38,49,245000,203.7798
50,1254.54,358.4425,-6633.03955078125,1181.68,50,250000,219.3302
51,1675.22,335.7803,-6046.70703125,2000.51,51,255000,182.1968
52,1518.48,339.7025,-6281.33740234375,1779.26,52,260000,192.1564
53,1174.16,356.3993,-7135.79150390625,1598.28,53,265000,215.9893
54,1699.08,350.6512,-5846.8759765625,1751.05,54,270000,181.2493
55,1710.13,362.8592,-6937.90625,1751.0,55,275000,197.0929
56,2423.17,342.2156,-5707.658203125,3271.92,56,280000,181.7637
57,2095.68,345.5304,-5839.45556640625,3194.83,57,285000,183.8736
58,2487.57,336.6453,-4876.62646484375,4276.48,58,290000,179.8376
59,1764.28,333.1401,-6307.58740234375,3049.81,59,295000,179.7222
60,2094.88,349.4052,-6087.56396484375,3320.36,60,300000,186.2157
61,2599.3,334.6761,-5637.41162109375,3258.81,61,305000,166.0243
62,1822.47,345.2459,-6423.6650390625,3456.9,62,310000,195.9045
63,2280.37,341.2694,-5657.06787109375,4444.33,63,315000,157.3215
64,2836.98,338.939,-5861.43701171875,5307.18,64,320000,160.2407
65,3177.99,320.2257,-5221.94287109375,5090.94,65,325000,153.1033
66,3960.73,327.9487,-4900.04443359375,5054.64,66,330000,160.9484
67,3807.66,331.6504,-3645.486328125,4753.22,67,335000,159.5843
68,4411.46,305.9295,-3219.859130859375,5262.25,68,340000,126.2652
69,2580.87,337.8528,-6535.0537109375,4538.02,69,345000,175.3837
70,3251.09,361.3192,-6038.8125,3539.96,70,350000,192.6871
71,2389.48,348.9389,-5801.9990234375,4568.64,71,355000,189.6393
72,3135.55,346.4838,-4828.13330078125,5069.64,72,360000,179.5735
73,4512.69,331.153,-4701.306640625,5142.02,73,365000,169.4472
74,4298.6,306.1407,-3549.8017578125,5330.61,74,370000,137.3608
75,4968.48,347.8387,-3660.516357421875,5402.32,75,375000,177.6868
76,4393.56,335.4896,-4245.4716796875,5172.33,76,380000,164.3108
77,4835.96,324.4118,-3735.1123046875,5379.77,77,385000,163.1177
78,4113.8,340.0151,-4942.81494140625,5332.04,78,390000,164.89
79,4412.02,340.0912,-5488.611328125,5388.6,79,395000,170.2386
80,5053.46,331.0584,-3920.97607421875,5256.23,80,400000,153.2987
81,2289.11,375.8081,-7491.78173828125,3920.32,81,405000,204.2849
