Running Reverse KL,Real Sto Return,Reward Loss,Real Det Return,Running Env Steps,Running Update Time,Running Forward KL,Itration
25.8361,-72.57,91.46906280517578,413.8,0,0,74.0504,0
25.2441,-81.4,31.671890258789062,437.45,5000,1,73.7919,1
26.4613,-13.56,-3.3260562419891357,341.27,10000,2,74.441,2
27.1533,-6.59,-54.26386642456055,619.31,15000,3,72.345,3
27.9495,21.5,-98.9487075805664,634.56,20000,4,73.2046,4
30.2697,51.69,-152.1306610107422,665.1,25000,5,74.4693,5
30.7385,95.63,-200.97732543945312,599.21,30000,6,72.3893,6
30.1732,99.3,-280.1791076660156,701.36,35000,7,73.0224,7
30.3779,133.89,-334.90655517578125,759.15,40000,8,71.0558,8
31.5364,140.98,-361.1230773925781,727.57,45000,9,72.6978,9
31.9064,122.57,-429.359130859375,776.08,50000,10,73.0192,10
31.9941,112.79,-499.629638671875,563.71,55000,11,73.5793,11
31.2734,95.25,-563.5997314453125,666.77,60000,12,72.8831,12
31.5194,106.36,-618.6614990234375,595.62,65000,13,71.9707,13
32.2782,187.31,-659.0624389648438,760.07,70000,14,73.221,14
31.7391,179.02,-742.3521118164062,825.28,75000,15,70.7259,15
31.4319,162.23,-788.7348022460938,736.51,80000,16,72.5135,16
31.1349,153.3,-860.5874633789062,691.73,85000,17,70.5632,17
31.1962,113.11,-939.864013671875,728.22,90000,18,70.8847,18
31.4634,112.57,-999.9839477539062,695.53,95000,19,70.6392,19
31.514,173.32,-1068.4439697265625,589.23,100000,20,74.3462,20
30.7027,136.94,-1109.1170654296875,614.48,105000,21,69.8608,21
31.3507,205.52,-1153.65283203125,803.39,110000,22,71.3778,22
30.8643,158.66,-1222.0081787109375,607.06,115000,23,69.4625,23
31.1964,200.63,-1283.033935546875,729.15,120000,24,70.7642,24
31.7277,160.63,-1351.763427734375,718.62,125000,25,71.8727,25
31.4156,193.59,-1425.353759765625,702.0,130000,26,70.6717,26
31.6113,248.2,-1481.4947509765625,840.14,135000,27,69.3924,27
31.2862,194.4,-1542.9835205078125,668.73,140000,28,70.7443,28
31.859,278.32,-1595.16259765625,942.01,145000,29,70.6972,29
31.8317,209.36,-1655.4677734375,854.3,150000,30,69.1222,30
30.8134,189.29,-1751.052734375,778.88,155000,31,70.5462,31
31.604,187.83,-1812.669189453125,774.86,160000,32,72.0195,32
32.0725,278.81,-1883.268310546875,874.03,165000,33,71.0434,33
31.4825,232.58,-1932.6510009765625,877.19,170000,34,71.5126,34
30.5303,220.57,-1989.6544189453125,952.47,175000,35,69.77,35
31.5301,251.33,-2084.7197265625,821.05,180000,36,71.347,36
31.1718,231.0,-2150.15966796875,910.74,185000,37,70.3768,37
31.5179,269.61,-2224.148681640625,882.07,190000,38,70.3176,38
31.2998,265.38,-2276.267333984375,954.22,195000,39,69.2365,39
30.7296,266.06,-2341.34716796875,918.13,200000,40,67.5938,40
30.9468,279.11,-2426.687255859375,868.69,205000,41,69.6857,41
31.2412,167.72,-2473.476318359375,801.06,210000,42,69.3709,42
30.9999,260.39,-2553.636962890625,837.95,215000,43,69.1069,43
31.5248,246.64,-2627.962646484375,939.78,220000,44,71.7552,44
31.6394,269.65,-2716.615234375,897.42,225000,45,70.7238,45
31.201,326.41,-2772.989013671875,912.71,230000,46,70.4058,46
31.12,272.23,-2856.694580078125,826.88,235000,47,71.1062,47
31.2138,255.79,-2936.785400390625,932.32,240000,48,70.8411,48
31.2835,222.68,-3065.961181640625,736.68,245000,49,71.9278,49
31.4266,218.79,-3108.916259765625,721.71,250000,50,72.1861,50
31.21,316.38,-3151.236328125,925.09,255000,51,71.2257,51
31.36,277.1,-3259.3896484375,785.82,260000,52,70.5096,52
31.9387,278.79,-3365.242919921875,860.43,265000,53,72.6031,53
31.7784,257.1,-3398.666748046875,679.0,270000,54,71.9367,54
31.8309,289.82,-3507.367919921875,792.42,275000,55,71.4515,55
31.3026,227.73,-3502.41650390625,901.03,280000,56,70.5182,56
31.1167,224.61,-3642.98095703125,726.65,285000,57,71.2596,57
32.4434,257.37,-3800.248779296875,927.89,290000,58,72.4443,58
31.675,292.23,-3809.17333984375,891.25,295000,59,72.0603,59
31.8634,263.65,-3893.675537109375,890.5,300000,60,73.0784,60
31.6992,309.85,-3988.978759765625,758.93,305000,61,71.0283,61
31.3916,277.43,-4043.728759765625,895.34,310000,62,70.1154,62
31.6684,258.34,-4139.7119140625,729.25,315000,63,70.4154,63
31.7323,290.55,-4272.84228515625,846.51,320000,64,73.2574,64
31.6802,242.43,-4339.87353515625,883.15,325000,65,70.86,65
31.7584,298.8,-4455.76171875,848.15,330000,66,71.6658,66
31.5065,323.68,-4538.00439453125,891.84,335000,67,70.7241,67
31.6821,279.31,-4646.0087890625,953.04,340000,68,71.5517,68
30.5262,312.5,-4623.11376953125,946.54,345000,69,70.2098,69
31.092,310.78,-4758.958984375,960.57,350000,70,69.1711,70
30.8688,321.77,-4818.00390625,957.94,355000,71,69.9331,71
31.4674,287.38,-4946.60888671875,803.72,360000,72,70.8931,72
31.1634,313.9,-4991.99365234375,883.5,365000,73,70.6895,73
30.7634,283.08,-5038.2509765625,678.1,370000,74,68.6759,74
30.8476,284.06,-5291.82666015625,952.52,375000,75,71.3157,75
31.4841,283.77,-5332.88134765625,704.25,380000,76,70.9028,76
31.8592,229.28,-5539.646484375,718.02,385000,77,73.2361,77
31.9308,239.21,-5660.86376953125,861.07,390000,78,73.1306,78
31.7913,324.36,-5622.04931640625,914.75,395000,79,70.3022,79
30.9772,337.44,-5748.79248046875,808.14,400000,80,70.0306,80
30.9076,304.36,-5820.62060546875,906.66,405000,81,70.3321,81
31.7701,271.74,-5965.3896484375,937.91,410000,82,71.7491,82
31.7341,274.08,-6112.9970703125,905.19,415000,83,71.6082,83
31.5404,302.67,-6177.78173828125,970.98,420000,84,70.5784,84
31.6736,313.12,-6340.0888671875,872.51,425000,85,72.0539,85
30.9547,263.85,-6384.29443359375,747.41,430000,86,71.1489,86
31.39,189.46,-6544.19873046875,713.01,435000,87,72.4891,87
31.293,279.21,-6640.5791015625,831.62,440000,88,70.8725,88
31.1293,298.39,-6760.353515625,879.31,445000,89,70.8282,89
30.9534,287.65,-6858.32568359375,886.95,450000,90,70.9715,90
31.4984,275.06,-7027.54638671875,959.83,455000,91,73.0065,91
30.3338,288.89,-7051.0478515625,774.72,460000,92,70.0511,92
31.087,339.82,-7223.02001953125,905.22,465000,93,70.267,93
30.8786,313.0,-7256.57763671875,918.31,470000,94,71.0744,94
31.0836,333.07,-7436.6337890625,1007.44,475000,95,70.9268,95
32.1434,275.46,-7784.36962890625,908.67,480000,96,72.4521,96
31.2674,266.67,-7691.1396484375,861.28,485000,97,70.0089,97
31.6513,321.91,-7898.85888671875,1015.39,490000,98,71.7571,98
31.0913,286.86,-7954.783203125,919.02,495000,99,70.6816,99
31.0752,292.31,-8091.783203125,861.05,500000,100,70.9098,100
31.6087,298.88,-8244.0126953125,970.02,505000,101,71.4766,101
31.6021,315.57,-8519.5673828125,964.72,510000,102,72.156,102
31.1595,311.77,-8400.7802734375,941.91,515000,103,71.0345,103
31.4117,273.27,-8791.7734375,1015.88,520000,104,70.6393,104
31.6236,325.58,-8930.7099609375,911.2,525000,105,71.4819,105
31.1248,340.43,-8949.7314453125,953.4,530000,106,70.6445,106
31.8064,329.01,-9147.85546875,811.95,535000,107,70.8341,107
31.6705,265.07,-9210.708984375,899.76,540000,108,72.8035,108
30.7803,330.85,-9377.2822265625,850.41,545000,109,70.2351,109
31.4043,327.03,-9539.5009765625,893.48,550000,110,71.0902,110
31.3351,334.44,-9778.533203125,970.08,555000,111,70.8085,111
31.8319,321.48,-10044.22265625,959.28,560000,112,72.303,112
31.5405,293.72,-9984.0478515625,912.11,565000,113,71.7542,113
30.9166,282.35,-10349.1181640625,998.45,570000,114,70.883,114
30.8742,314.22,-10206.1240234375,951.9,575000,115,71.1442,115
31.1164,320.82,-10585.8076171875,918.42,580000,116,71.5434,116
30.5226,323.51,-10574.6826171875,1023.01,585000,117,70.2795,117
31.3427,302.24,-10793.1904296875,835.76,590000,118,70.8071,118
30.9463,355.88,-10911.2763671875,921.71,595000,119,70.413,119
31.17,285.95,-11351.626953125,972.83,600000,120,71.8256,120
31.3704,323.73,-11499.8525390625,1007.25,605000,121,71.5467,121
31.1425,345.7,-11490.0771484375,1001.99,610000,122,70.2865,122
31.7636,302.68,-11797.7958984375,1006.88,615000,123,73.8051,123
31.3528,329.88,-12000.7646484375,965.38,620000,124,70.7695,124
31.273,395.36,-11998.0361328125,1017.34,625000,125,70.6353,125
31.2095,297.71,-12263.43359375,1005.61,630000,126,71.6443,126
30.9974,308.33,-12348.25390625,1001.76,635000,127,70.4843,127
31.6135,288.46,-12624.3857421875,858.9,640000,128,71.3489,128
31.2076,241.34,-12961.931640625,900.06,645000,129,71.9129,129
30.8964,328.1,-12750.0703125,912.19,650000,130,69.2659,130
31.4504,334.47,-13338.1416015625,1022.68,655000,131,71.7623,131
31.4657,311.91,-13399.0703125,909.56,660000,132,71.8091,132
31.4335,339.1,-13678.0771484375,904.39,665000,133,70.1138,133
30.6714,347.87,-13625.3876953125,1013.15,670000,134,71.9593,134
31.1841,351.52,-14004.9697265625,1002.96,675000,135,70.4973,135
31.2916,330.15,-14245.7333984375,973.04,680000,136,71.2105,136
31.1337,354.76,-14409.056640625,1016.7,685000,137,71.1734,137
31.5027,317.85,-14787.2578125,856.88,690000,138,72.5541,138
31.251,336.33,-15058.0517578125,949.29,695000,139,70.6926,139
31.5037,309.07,-15239.236328125,909.39,700000,140,71.5845,140
30.8449,323.71,-15280.333984375,923.87,705000,141,70.3891,141
31.2994,346.91,-15492.2724609375,971.45,710000,142,72.0795,142
30.7732,286.56,-15882.76953125,971.66,715000,143,70.4594,143
30.9369,347.27,-15832.3759765625,969.51,720000,144,70.5789,144
30.8016,332.17,-16298.0244140625,1021.6,725000,145,72.5834,145
31.1939,310.69,-16701.849609375,934.32,730000,146,71.6449,146
31.1518,362.02,-16512.328125,1014.9,735000,147,70.4713,147
31.1071,332.71,-16935.88671875,973.78,740000,148,71.3158,148
31.2631,341.54,-17393.197265625,970.57,745000,149,72.1275,149
30.4754,298.49,-17364.55859375,867.05,750000,150,71.1636,150
31.8984,297.47,-17880.76171875,862.84,755000,151,71.1796,151
31.1462,330.06,-17979.58203125,958.77,760000,152,72.0783,152
30.2831,320.93,-17839.37109375,867.15,765000,153,70.3048,153
30.6492,271.84,-18473.06640625,897.96,770000,154,70.6761,154
30.4621,272.3,-18625.41015625,966.71,775000,155,72.6581,155
30.6751,356.67,-18740.685546875,1017.59,780000,156,71.3651,156
30.9783,355.21,-19189.4453125,942.45,785000,157,71.6268,157
31.6668,337.49,-19681.96484375,995.29,790000,158,70.9968,158
31.0486,297.6,-19709.166015625,904.37,795000,159,71.9108,159
31.303,329.26,-19967.095703125,991.35,800000,160,71.6153,160
30.9685,344.06,-20078.6171875,956.98,805000,161,71.1952,161
31.0791,348.06,-20745.765625,969.14,810000,162,72.0482,162
31.2356,323.27,-20903.40625,916.29,815000,163,72.5722,163
31.2407,318.3,-21437.08203125,1007.18,820000,164,71.3376,164
31.4169,378.74,-21502.787109375,965.86,825000,165,69.6076,165
31.5199,328.8,-21677.60546875,1017.31,830000,166,71.967,166
30.7519,316.2,-22044.4140625,969.79,835000,167,69.4652,167
30.8353,338.84,-22608.615234375,970.09,840000,168,71.5788,168
31.0167,337.01,-22487.361328125,1018.46,845000,169,70.8665,169
31.3983,301.21,-22834.9296875,966.05,850000,170,71.6417,170
31.2431,262.53,-23316.1328125,877.6,855000,171,71.5882,171
31.3765,322.75,-23437.85546875,973.34,860000,172,71.304,172
31.2021,275.72,-24024.728515625,953.27,865000,173,72.9767,173
30.9966,280.04,-24431.60546875,966.15,870000,174,72.9568,174
30.8322,344.41,-24615.876953125,1035.4,875000,175,70.6785,175
30.915,342.65,-25014.25,1014.22,880000,176,71.2496,176
30.7275,332.58,-24868.828125,1013.23,885000,177,71.5268,177
31.0897,320.77,-25673.080078125,1009.71,890000,178,70.9038,178
31.0283,322.82,-25900.759765625,972.62,895000,179,72.2061,179
31.124,339.71,-26631.560546875,916.01,900000,180,71.7684,180
31.042,317.26,-26958.384765625,928.15,905000,181,70.9256,181
31.1987,359.61,-27055.203125,963.38,910000,182,71.6564,182
31.0406,321.43,-26849.779296875,1027.53,915000,183,71.9048,183
30.454,328.23,-27715.87890625,967.84,920000,184,71.1958,184
30.7075,319.37,-28202.228515625,977.96,925000,185,72.1789,185
31.0095,325.63,-28682.31640625,1003.48,930000,186,71.4115,186
30.707,288.31,-28619.33203125,780.53,935000,187,71.8658,187
30.9653,302.82,-29334.734375,911.34,940000,188,71.7665,188
31.1006,333.36,-29613.173828125,873.72,945000,189,72.5695,189
30.7074,254.88,-30235.01953125,878.53,950000,190,71.858,190
31.11,352.77,-30179.4375,1019.07,955000,191,70.8611,191
31.2035,322.68,-31239.1015625,1020.69,960000,192,72.6993,192
31.3992,317.9,-30966.22265625,1013.85,965000,193,72.737,193
30.4441,333.02,-31502.576171875,971.95,970000,194,71.3131,194
31.3542,357.9,-32148.732421875,1024.02,975000,195,71.8668,195
31.1078,307.67,-32340.88671875,924.4,980000,196,70.557,196
31.2704,332.99,-33033.421875,1007.92,985000,197,72.3153,197
30.9122,324.95,-33604.48828125,1017.49,990000,198,71.7337,198
31.3395,319.39,-33669.6328125,929.95,995000,199,72.5986,199
30.939,338.05,-33819.390625,927.32,1000000,200,72.2327,200
30.7767,330.84,-34494.9453125,877.19,1005000,201,72.6565,201
30.9682,335.84,-35186.99609375,931.52,1010000,202,69.6152,202
31.1975,364.22,-35674.7265625,821.99,1015000,203,71.4428,203
30.7078,301.41,-35625.3984375,937.39,1020000,204,72.1319,204
31.0606,268.0,-36132.3125,1030.48,1025000,205,71.3068,205
30.9416,342.36,-36468.453125,776.82,1030000,206,71.6889,206
30.5429,351.91,-36809.171875,1024.54,1035000,207,70.9593,207
30.9402,367.8,-38322.1328125,946.57,1040000,208,70.9526,208
30.5557,321.43,-37524.30859375,873.35,1045000,209,70.8969,209
30.8217,300.92,-38593.1328125,864.46,1050000,210,72.0185,210
31.0061,302.51,-39196.1875,960.31,1055000,211,72.0187,211
30.5519,342.53,-39098.76171875,816.13,1060000,212,71.2627,212
31.1924,332.89,-40412.8046875,1008.92,1065000,213,71.9708,213
31.4405,325.43,-40210.6875,1015.97,1070000,214,72.2872,214
30.8878,360.53,-41134.84375,871.67,1075000,215,71.6367,215
30.5712,316.77,-41385.50390625,867.83,1080000,216,71.3849,216
31.2031,330.72,-42121.26953125,825.8,1085000,217,71.5364,217
31.0342,352.18,-42389.33203125,918.94,1090000,218,72.7195,218
31.136,310.13,-43610.7265625,974.67,1095000,219,71.4565,219
31.3558,329.37,-44166.8515625,908.18,1100000,220,71.6739,220
31.293,308.19,-43837.28125,806.8,1105000,221,71.5852,221
31.4069,247.6,-44819.66796875,903.41,1110000,222,72.2655,222
31.4988,277.02,-45895.53515625,950.5,1115000,223,71.082,223
30.9102,310.73,-45749.4140625,962.25,1120000,224,72.2438,224
31.5501,287.89,-46485.08984375,856.8,1125000,225,73.7506,225
31.5978,337.2,-46999.86328125,907.46,1130000,226,74.2733,226
31.1267,328.96,-48172.45703125,996.76,1135000,227,71.2993,227
31.203,321.8,-48274.125,1006.61,1140000,228,72.6682,228
30.9178,302.69,-48445.43359375,960.71,1145000,229,73.5456,229
30.7991,298.16,-48527.53125,996.12,1150000,230,72.8592,230
30.6283,306.65,-49489.01953125,910.73,1155000,231,72.7967,231
30.6823,303.72,-49359.51171875,900.31,1160000,232,72.527,232
31.1698,329.08,-50679.49609375,967.62,1165000,233,72.5993,233
30.7547,302.53,-51348.91015625,758.58,1170000,234,71.7816,234
31.258,311.19,-51813.953125,810.86,1175000,235,72.8184,235
30.8555,255.68,-51067.3828125,952.72,1180000,236,71.6124,236
30.6553,300.35,-53147.37109375,812.28,1185000,237,72.2514,237
30.9042,276.78,-53415.64453125,900.29,1190000,238,72.6456,238
31.4684,313.61,-53261.18359375,707.67,1195000,239,72.5861,239
31.3485,270.1,-55195.0859375,1004.36,1200000,240,73.2906,240
31.0872,337.14,-54852.22265625,957.73,1205000,241,73.2309,241
30.7709,321.85,-55311.46875,714.75,1210000,242,73.4538,242
30.8638,300.38,-53804.46484375,1015.51,1215000,243,72.9744,243
30.4497,309.45,-55770.94921875,764.07,1220000,244,72.8052,244
30.5611,304.87,-56296.7890625,811.89,1225000,245,72.2487,245
30.9012,263.24,-56512.59375,806.36,1230000,246,72.9901,246
30.8986,309.89,-57985.4609375,915.09,1235000,247,72.0974,247
30.8202,273.88,-57565.1171875,806.34,1240000,248,72.1141,248
31.2107,280.03,-58874.953125,916.08,1245000,249,72.84,249
31.1294,332.63,-58622.12890625,863.74,1250000,250,72.3426,250
30.7531,309.68,-59554.91015625,1010.74,1255000,251,72.5891,251
30.9373,297.26,-59092.546875,960.16,1260000,252,71.8773,252
31.2982,268.17,-61119.64453125,858.42,1265000,253,73.0039,253
30.5558,283.01,-59917.984375,1012.27,1270000,254,72.5357,254
30.8267,293.2,-60838.515625,804.4,1275000,255,73.2509,255
30.7742,267.61,-62370.8125,853.54,1280000,256,72.3738,256
30.9695,294.22,-61443.359375,959.79,1285000,257,71.9085,257
30.7743,311.17,-62543.11328125,918.21,1290000,258,73.1612,258
30.5979,289.99,-61894.28515625,816.94,1295000,259,71.1848,259
30.7039,261.68,-63883.1328125,857.8,1300000,260,72.2369,260
30.5179,292.5,-63746.03125,961.64,1305000,261,72.0021,261
30.6703,281.14,-63393.23828125,812.41,1310000,262,72.2977,262
30.9214,334.1,-63946.93359375,908.0,1315000,263,70.2957,263
30.7189,291.64,-65148.77734375,959.2,1320000,264,72.5313,264
30.8794,306.2,-64087.20703125,905.26,1325000,265,71.6372,265
30.7592,323.95,-65687.5546875,903.5,1330000,266,71.3081,266
30.6683,314.43,-66155.5390625,967.12,1335000,267,71.9706,267
30.9456,332.5,-67291.5234375,968.34,1340000,268,72.6665,268
31.1391,250.84,-67988.65625,712.16,1345000,269,73.2191,269
30.791,283.9,-67550.84375,808.92,1350000,270,73.2438,270
31.1085,277.68,-69018.5078125,865.98,1355000,271,73.1505,271
30.268,306.2,-69246.0234375,705.86,1360000,272,72.5475,272
30.6147,283.04,-69313.140625,918.77,1365000,273,73.9963,273
30.8074,307.85,-69813.0078125,910.79,1370000,274,72.2847,274
30.829,318.82,-71037.1484375,810.06,1375000,275,72.6321,275
30.6764,250.0,-70807.625,858.36,1380000,276,73.8942,276
30.7907,265.61,-69639.0390625,857.37,1385000,277,72.4573,277
30.4296,250.51,-70438.6015625,705.9,1390000,278,72.1753,278
30.9568,291.16,-72053.5859375,712.1,1395000,279,73.4635,279
30.8368,210.43,-70673.640625,515.62,1400000,280,72.022,280
30.1869,239.1,-71748.671875,653.92,1405000,281,73.6226,281
30.8627,306.8,-71695.1484375,860.41,1410000,282,72.1775,282
30.2728,247.89,-71963.5703125,760.71,1415000,283,72.9945,283
30.7995,318.43,-74195.2578125,717.08,1420000,284,72.2586,284
30.3317,284.01,-74071.796875,817.88,1425000,285,72.5304,285
30.6937,285.06,-75264.609375,765.7,1430000,286,73.9521,286
30.623,246.18,-75388.171875,812.04,1435000,287,73.2285,287
30.2308,248.78,-76012.921875,665.35,1440000,288,73.5285,288
30.8915,291.69,-76066.8984375,716.14,1445000,289,72.9748,289
30.1325,268.24,-75849.1328125,767.81,1450000,290,72.8028,290
30.529,242.17,-78207.5703125,710.55,1455000,291,74.4577,291
30.6928,264.35,-77278.4609375,862.65,1460000,292,73.0799,292
30.5926,229.67,-77530.140625,708.32,1465000,293,72.8293,293
30.111,253.93,-78672.46875,808.98,1470000,294,71.9213,294
30.4857,233.55,-76828.671875,655.99,1475000,295,73.9742,295
30.671,212.26,-78798.5078125,551.95,1480000,296,72.9368,296
30.311,254.68,-80217.6875,703.09,1485000,297,72.5537,297
30.9773,277.65,-80495.9375,808.5,1490000,298,73.285,298
31.0616,238.66,-80651.71875,603.41,1495000,299,73.0859,299
31.0067,240.82,-80046.8125,750.13,1500000,300,73.7373,300
30.9908,284.14,-81114.7265625,849.81,1505000,301,72.522,301
30.8317,211.6,-82121.3515625,750.01,1510000,302,73.9685,302
31.1123,296.97,-83164.484375,653.35,1515000,303,72.1861,303
30.7654,233.21,-83027.1484375,800.06,1520000,304,73.0326,304
30.727,256.63,-81932.4375,797.29,1525000,305,72.3397,305
30.5605,304.13,-83555.7109375,945.82,1530000,306,72.7969,306
31.0751,319.12,-83549.1484375,796.96,1535000,307,72.0832,307
30.7138,281.41,-85080.28125,653.85,1540000,308,72.5193,308
30.936,235.95,-84121.9375,753.36,1545000,309,72.9932,309
30.6895,296.05,-86675.1484375,855.83,1550000,310,74.7755,310
30.7046,324.2,-85724.515625,848.7,1555000,311,72.5309,311
30.8665,235.5,-85855.828125,849.66,1560000,312,72.4544,312
30.6915,303.96,-86875.734375,814.42,1565000,313,72.3388,313
30.6911,308.83,-85697.15625,950.51,1570000,314,72.2525,314
30.5929,310.06,-86422.8515625,951.04,1575000,315,72.2815,315
30.5519,265.45,-86386.71875,857.52,1580000,316,72.4457,316
31.1669,305.69,-88509.6015625,908.44,1585000,317,71.2568,317
30.8821,292.76,-86526.8984375,907.31,1590000,318,72.8908,318
30.669,280.31,-88940.3828125,862.02,1595000,319,73.4408,319
30.4865,242.71,-88336.2421875,813.93,1600000,320,72.8376,320
30.9777,264.49,-89689.6171875,955.16,1605000,321,72.4885,321
30.4882,291.83,-88881.0625,808.21,1610000,322,73.2252,322
30.5972,272.79,-88743.21875,902.3,1615000,323,72.2757,323
30.7681,266.25,-89709.75,865.7,1620000,324,72.2972,324
30.7484,247.78,-89924.7734375,799.92,1625000,325,73.3005,325
30.4715,277.91,-88959.0234375,754.99,1630000,326,72.2598,326
