Itration,Real Det Return,Running Env Steps,Running Update Time,Running Forward KL,Real Sto Return,Running Reverse KL,Reward Loss
0,263.26,0,0,31.9056,267.69,47.3456,-1263.091796875
1,285.36,5000,1,31.7782,280.06,39.2261,-1378.4703369140625
2,287.58,10000,2,32.7115,327.15,41.9309,-1431.134521484375
3,299.28,15000,3,30.5122,326.45,49.4607,-1473.431884765625
4,419.09,20000,4,27.235,586.17,40.4403,-1369.96728515625
5,267.11,25000,5,26.2057,434.69,14.6,-583.1343383789062
6,1153.9,30000,6,26.2467,804.73,32.3783,-1382.4666748046875
7,814.15,35000,7,25.8503,828.92,32.7787,-1287.7073974609375
8,1123.44,40000,8,25.7523,1015.12,73.7538,-888.821533203125
9,1379.63,45000,9,25.2733,1167.81,18.4895,-929.4462890625
10,1052.3,50000,10,25.8199,1021.48,28.0505,-930.94189453125
11,1112.39,55000,11,25.7159,1128.09,18.8974,-950.46435546875
12,1177.22,60000,12,25.7504,1098.4,75.7206,-681.0921020507812
13,2080.35,65000,13,25.3419,1641.11,35.4062,-566.1808471679688
14,2807.07,70000,14,24.3338,1997.95,23.9623,-548.7380981445312
15,2961.13,75000,15,24.4255,2787.16,14.2422,-440.25701904296875
16,2852.54,80000,16,24.3981,2112.98,31.3176,-711.037353515625
17,1875.58,85000,17,23.6916,2886.28,13.2607,-490.2037353515625
18,3087.92,90000,18,24.6013,2154.96,20.7569,-444.4114074707031
19,3083.19,95000,19,24.4735,2905.18,24.4415,-408.596435546875
20,3073.5,100000,20,24.6918,3055.27,16.3971,-438.6268615722656
21,3108.76,105000,21,24.1969,3037.37,15.0478,-462.6392822265625
22,3093.69,110000,22,24.2418,3071.95,15.3815,-462.0343322753906
23,3189.83,115000,23,24.4486,2259.71,19.3558,-551.6646118164062
24,3078.61,120000,24,24.3249,3070.58,15.4048,-447.36016845703125
25,3150.15,125000,25,24.034,3172.91,15.9587,-424.6058654785156
26,3214.26,130000,26,24.5217,2799.8,20.6325,-1130.2457275390625
27,3085.91,135000,27,23.1497,2979.89,13.6391,-512.80224609375
28,3228.15,140000,28,24.5111,1989.36,19.918,-893.6406860351562
