Itration,Real Det Return,Real Sto Return,Running Forward KL,Running Reverse KL,Running Update Time,Reward Loss,Running Env Steps
0,270.74,-53.57,74.8582,23.633,0,45.51947021484375,0
1,246.11,-35.04,74.0153,23.8092,1,35.457157135009766,5000
2,359.51,-14.61,74.9957,24.6399,2,25.81415557861328,10000
3,697.2,15.87,74.9438,27.3398,3,17.30072593688965,15000
4,665.07,41.09,74.199,28.6151,4,8.5543212890625,20000
5,597.03,79.71,72.7517,29.5025,5,-1.2664320468902588,25000
6,771.21,130.07,73.9985,32.1458,6,-5.435652256011963,30000
7,644.48,177.87,74.0794,33.9984,7,-15.359017372131348,35000
8,731.89,136.79,74.2734,32.0052,8,-33.853450775146484,40000
9,737.7,184.22,73.6643,32.7574,9,-40.70039367675781,45000
10,719.36,145.69,73.6476,33.7485,10,-56.383827209472656,50000
11,940.14,207.23,71.0253,31.984,11,-63.72621536254883,55000
12,674.31,205.94,72.3829,32.0019,12,-82.30215454101562,60000
13,768.24,263.56,73.0396,32.2952,13,-93.16109466552734,65000
14,595.76,249.99,73.5375,32.3186,14,-109.88970947265625,70000
15,604.23,194.7,70.4126,31.4954,15,-117.9868392944336,75000
16,597.45,202.58,72.5726,31.352,16,-132.9931182861328,80000
17,806.61,257.93,71.8372,32.8328,17,-145.19219970703125,85000
18,826.95,289.79,71.2561,31.8735,18,-157.8750762939453,90000
19,900.59,289.09,67.1255,30.0472,19,-164.13705444335938,95000
20,793.69,228.83,72.0958,31.3051,20,-184.21231079101562,100000
21,865.0,312.86,69.5454,30.2125,21,-189.4484405517578,105000
22,971.88,336.31,70.6758,30.9968,22,-205.99331665039062,110000
23,878.32,390.16,71.0777,31.3879,23,-223.58096313476562,115000
24,998.8,284.19,68.7678,30.029,24,-226.12164306640625,120000
25,796.2,375.2,68.8627,29.3772,25,-243.4869384765625,125000
