Real Det Return,Running Update Time,Real Sto Return,Running Reverse KL,Running Env Steps,Itration,Reward Loss,Running Forward KL
207.69,0,201.13,23.9413,0,0,-23.384340286254883,33.0253
297.57,1,300.61,18.7174,5000,1,-9.05941390991211,31.0092
307.84,2,293.67,15.8772,10000,2,31.251176834106445,30.155
329.24,3,335.55,15.841,15000,3,30.512622833251953,30.5653
355.76,4,357.63,15.9693,20000,4,54.36450958251953,30.495
379.36,5,364.98,16.3981,25000,5,16.695096969604492,30.1315
376.98,6,381.43,18.4482,30000,6,-56.320987701416016,29.6935
389.8,7,382.72,21.8241,35000,7,-57.26956558227539,30.1336
389.87,8,379.14,17.1679,40000,8,-51.42863845825195,30.3758
459.15,9,462.13,15.951,45000,9,-45.01250457763672,28.398
402.53,10,515.05,90.1954,50000,10,9.665266036987305,26.1604
531.46,11,535.45,19.5877,55000,11,-91.71990203857422,27.1899
628.48,12,612.52,17.0167,60000,12,-98.62254333496094,25.2799
695.72,13,918.86,15.7824,65000,13,-95.15150451660156,24.1114
700.8,14,720.39,21.0724,70000,14,-78.82715606689453,27.3977
934.05,15,751.28,20.3935,75000,15,-112.4503173828125,25.7411
1064.94,16,986.92,23.0281,80000,16,-101.90962982177734,27.1775
1072.49,17,844.39,20.2651,85000,17,-114.28907012939453,27.6095
979.25,18,948.74,18.6771,90000,18,-117.52944946289062,27.0381
805.72,19,772.23,16.0194,95000,19,-125.51564025878906,27.7776
765.25,20,736.76,14.3789,100000,20,-119.08984375,28.1533
927.24,21,965.57,24.216,105000,21,-154.4268341064453,28.0108
1311.38,22,1323.49,17.8383,110000,22,-114.84463500976562,26.3211
802.15,23,992.79,17.4215,115000,23,-136.02593994140625,27.1584
994.65,24,1309.82,17.3795,120000,24,-121.85466003417969,27.7132
279.79,25,378.76,15.4397,125000,25,-86.32461547851562,25.8336
816.42,26,805.7,18.2009,130000,26,-153.3876495361328,27.4439
1521.07,27,1436.16,13.9765,135000,27,-128.87911987304688,26.802
2730.82,28,2169.11,14.4881,140000,28,-87.35620880126953,24.0715
3049.81,29,2875.42,16.0152,145000,29,-30.130386352539062,23.6705
3263.06,30,2387.03,16.7539,150000,30,-93.7949447631836,25.1901
3198.8,31,2823.06,15.3135,155000,31,-77.33470153808594,24.3743
3131.92,32,2614.24,16.6389,160000,32,-44.32785415649414,25.193
3181.36,33,2307.04,15.7521,165000,33,-119.87245178222656,25.5862
992.09,34,1318.98,33.2351,170000,34,-291.93511962890625,28.4611
1175.91,35,1134.08,14.8956,175000,35,-187.44178771972656,27.1649
1341.41,36,1550.91,16.1111,180000,36,-166.52154541015625,26.6088
3182.92,37,3174.03,18.7564,185000,37,-67.8289794921875,25.7241
3229.8,38,2905.83,16.6686,190000,38,-77.25894165039062,25.4878
2511.49,39,2178.66,13.6468,195000,39,-130.55410766601562,26.9048
3368.6,40,3141.74,15.4184,200000,40,-89.67682647705078,26.2431
3313.42,41,2821.46,16.242,205000,41,-76.89363098144531,25.6127
3328.21,42,3291.08,16.7695,210000,42,-79.10606384277344,25.26
2840.21,43,2105.37,15.09,215000,43,-157.32960510253906,26.2662
3320.95,44,2691.01,16.4239,220000,44,-86.65889739990234,26.2376
3310.84,45,3261.03,17.0997,225000,45,-94.81668090820312,24.8691
3339.84,46,3310.14,16.806,230000,46,-93.14876556396484,24.6493
3293.68,47,3257.14,16.0661,235000,47,-98.99136352539062,25.5876
3339.36,48,3289.18,17.219,240000,48,-101.09174346923828,24.9713
3328.08,49,3273.68,17.4596,245000,49,-98.83236694335938,25.374
3300.6,50,3034.87,15.1454,250000,50,-121.2460708618164,25.0727
3339.43,51,3235.05,16.043,255000,51,-118.01284790039062,24.0339
3296.5,52,3179.03,16.7961,260000,52,-120.35310363769531,25.2224
3323.64,53,3278.01,16.8772,265000,53,-113.39986419677734,24.3478
3317.33,54,3166.5,16.2075,270000,54,-128.33267211914062,23.3269
3310.67,55,3272.56,15.9835,275000,55,-123.4014892578125,24.1375
3341.61,56,3213.23,15.9813,280000,56,-124.61742401123047,24.1961
3332.95,57,3292.59,16.0393,285000,57,-109.3597412109375,23.9103
3346.66,58,3155.73,16.2812,290000,58,-137.9529571533203,24.2863
3328.39,59,3312.91,17.2056,295000,59,-134.2342529296875,25.1292
3364.29,60,3312.74,16.1872,300000,60,-152.05564880371094,24.4434
3386.08,61,2486.69,14.3436,305000,61,-181.44313049316406,25.28
3389.18,62,3173.71,16.5539,310000,62,-146.8277130126953,24.6954
3434.45,63,3381.93,16.4551,315000,63,-140.18955993652344,23.635
3378.99,64,3344.66,16.1541,320000,64,-167.45834350585938,23.3247
3396.62,65,1851.07,16.7,325000,65,-145.15769958496094,23.7605
599.31,66,652.82,16.3477,330000,66,-147.36085510253906,23.3209
3379.66,67,2232.5,14.2572,335000,67,-167.53025817871094,23.8512
3375.54,68,3011.84,14.9008,340000,68,-181.4362335205078,23.8439
3394.61,69,3133.86,15.5801,345000,69,-162.3385009765625,23.8468
3389.21,70,2527.47,14.7557,350000,70,-211.3178253173828,24.2319
3445.31,71,2717.14,15.9817,355000,71,-171.21234130859375,24.2666
3441.43,72,3401.89,17.2137,360000,72,-159.79428100585938,21.8601
3338.61,73,3042.86,15.0522,365000,73,-184.89920043945312,24.2816
3378.95,74,3348.33,15.8106,370000,74,-153.64553833007812,22.9468
3431.97,75,3203.79,15.9567,375000,75,-144.36329650878906,23.6142
3435.53,76,3275.55,16.5356,380000,76,-182.18048095703125,22.8881
3430.31,77,3384.32,16.7474,385000,77,-182.36032104492188,22.2715
3418.21,78,3258.19,15.1529,390000,78,-153.56576538085938,21.652
3389.16,79,3374.3,16.8152,395000,79,-192.0358428955078,22.1945
3392.93,80,3392.95,16.7621,400000,80,-201.5682830810547,23.2687
3446.17,81,2685.65,14.7407,405000,81,-200.7410125732422,21.8366
3480.92,82,3446.91,15.7618,410000,82,-204.99110412597656,20.7885
3436.29,83,3409.64,15.6139,415000,83,-211.3771209716797,20.5755
3440.32,84,3409.16,15.49,420000,84,-201.04367065429688,20.6615
3445.56,85,3291.57,15.5845,425000,85,-216.8553924560547,21.932
3399.61,86,3406.83,16.1537,430000,86,-215.5952606201172,22.2594
3476.47,87,3451.7,17.0483,435000,87,-207.15869140625,23.6587
3458.24,88,3406.99,15.9778,440000,88,-226.6311492919922,21.6012
3459.29,89,3438.44,15.3705,445000,89,-222.01583862304688,20.8675
3468.62,90,3441.76,16.2348,450000,90,-237.76393127441406,21.6855
3496.79,91,3249.81,15.6532,455000,91,-239.93917846679688,21.4237
3432.61,92,3435.53,16.7586,460000,92,-230.71670532226562,23.5586
3453.79,93,3020.88,14.5954,465000,93,-255.13201904296875,22.3403
3487.16,94,3277.96,15.951,470000,94,-238.7919158935547,22.0963
3463.73,95,3113.35,16.2506,475000,95,-232.50384521484375,22.3355
3486.9,96,3457.07,15.7396,480000,96,-239.511962890625,22.6097
3436.53,97,3427.82,16.5539,485000,97,-240.97323608398438,22.041
3472.81,98,3401.47,14.8868,490000,98,-245.2967529296875,22.5553
3451.01,99,3283.23,14.6592,495000,99,-254.28997802734375,22.6998
3475.74,100,3427.58,15.5289,500000,100,-262.2229919433594,22.2636
3506.32,101,3007.23,14.7194,505000,101,-276.2764587402344,22.4173
3449.76,102,3337.89,15.6577,510000,102,-250.8577423095703,21.8404
3490.03,103,3453.73,16.4114,515000,103,-260.453857421875,22.1946
3485.7,104,3349.65,14.8088,520000,104,-292.2598571777344,23.0885
3450.48,105,3420.26,16.0338,525000,105,-275.6146240234375,22.3456
3490.15,106,3296.2,14.9348,530000,106,-268.36236572265625,21.264
3498.84,107,3458.94,15.2128,535000,107,-265.9423522949219,21.9881
3437.97,108,3330.88,16.1721,540000,108,-287.57470703125,22.5678
3515.73,109,3383.34,14.6566,545000,109,-258.3993225097656,21.2897
3504.12,110,3467.03,16.0201,550000,110,-298.36505126953125,22.6941
3518.8,111,3413.06,16.3836,555000,111,-280.21539306640625,22.2938
3504.66,112,3478.07,16.8927,560000,112,-285.3719177246094,22.3388
3475.44,113,3461.31,16.0441,565000,113,-303.4947814941406,22.5995
3436.4,114,3395.13,14.7921,570000,114,-291.52294921875,22.1142
3432.35,115,3434.73,16.1168,575000,115,-304.7347412109375,23.3066
3452.58,116,3435.26,16.0257,580000,116,-288.5906066894531,21.5048
3442.49,117,3428.13,16.2243,585000,117,-311.4073486328125,21.7915
3479.3,118,3075.43,14.9138,590000,118,-299.2183532714844,22.3718
3455.37,119,3315.93,15.0407,595000,119,-309.8215026855469,21.3086
3473.14,120,3377.94,15.4537,600000,120,-304.0231628417969,21.3082
3459.38,121,3338.69,14.2573,605000,121,-307.8946838378906,21.2443
3476.14,122,3459.83,15.9289,610000,122,-343.99609375,20.8979
3470.09,123,3436.44,14.9685,615000,123,-325.52862548828125,22.4927
3498.74,124,3267.65,14.9873,620000,124,-308.3326416015625,23.1252
3487.55,125,3447.23,16.2426,625000,125,-345.852783203125,22.0111
3467.04,126,3345.66,15.1398,630000,126,-337.2880554199219,20.7043
3502.83,127,3482.48,16.682,635000,127,-349.34130859375,22.1626
3466.05,128,3425.19,15.6088,640000,128,-329.3209228515625,21.9733
3490.28,129,3333.21,15.1015,645000,129,-289.1990661621094,20.5135
3478.58,130,3454.3,15.5801,650000,130,-336.98699951171875,21.6933
3467.88,131,3132.96,14.1264,655000,131,-330.1207275390625,21.5623
3476.41,132,3273.61,14.848,660000,132,-319.0606384277344,20.8279
3513.57,133,3316.82,14.065,665000,133,-338.5992736816406,20.0777
3480.95,134,3449.06,14.1767,670000,134,-338.4083557128906,19.8797
3483.94,135,3327.55,14.3328,675000,135,-371.90869140625,20.7255
