Running Env Steps,Reward Loss,Running Forward KL,Real Det Return,Itration,Running Update Time,Running Reverse KL,Real Sto Return
0,346.6778869628906,32.1394,178.76,0,0,18.8113,185.29
5000,182.14816284179688,28.7455,307.12,1,1,18.3111,302.32
10000,216.18087768554688,28.2995,327.24,2,2,21.2185,317.62
15000,172.38784790039062,28.5832,355.15,3,3,23.381,347.57
20000,179.92306518554688,29.4245,305.72,4,4,26.4496,339.69
25000,90.79275512695312,26.4668,592.88,5,5,16.7871,581.81
30000,75.21141052246094,26.1064,826.35,6,6,16.1217,714.03
35000,71.80711364746094,26.8182,1157.39,7,7,13.6544,1099.35
40000,92.732177734375,27.2589,652.43,8,8,17.1194,654.47
45000,-14.626107215881348,25.907,723.82,9,9,19.9219,1262.59
50000,-51.7524299621582,24.3364,2704.67,10,10,14.6534,2221.09
55000,90.16182708740234,23.6716,875.4,11,11,13.7769,1014.13
60000,-66.5764389038086,23.7473,3054.42,12,12,15.5498,1397.75
65000,28.227659225463867,24.247,1038.86,13,13,13.5481,1392.66
70000,-25.76283073425293,24.1234,2998.52,14,14,13.8619,2839.16
75000,-74.69646453857422,23.6367,2904.38,15,15,12.9308,2593.11
80000,-47.85480499267578,22.9672,3133.38,16,16,14.5504,2986.71
85000,-62.508209228515625,22.7433,3327.4,17,17,13.806,2758.69
90000,-23.45009422302246,22.8989,3309.3,18,18,15.0492,3007.99
95000,-134.9900360107422,22.8582,3161.88,19,19,15.2452,2964.01
100000,-17.366418838500977,21.3336,3180.98,20,20,12.2049,2889.93
105000,-28.155109405517578,21.8891,3092.9,21,21,13.4798,3114.61
110000,-70.26591491699219,20.3256,3179.4,22,22,12.5712,3180.88
115000,-61.866600036621094,22.0089,3234.93,23,23,13.7557,3200.47
120000,-70.80075073242188,20.6728,3090.67,24,24,12.5809,3072.61
125000,-82.82421112060547,21.9584,3121.2,25,25,14.3337,3088.53
130000,-132.41319274902344,21.7118,913.96,26,26,13.8929,2507.46
135000,-68.40674591064453,22.8358,3253.25,27,27,13.7742,2764.06
140000,-99.14570617675781,22.516,3202.66,28,28,14.0742,2958.12
145000,-100.57356262207031,21.7383,3183.21,29,29,13.1681,2912.66
150000,-146.57044982910156,21.1654,3246.98,30,30,12.886,2986.21
155000,-139.76043701171875,21.9692,3222.75,31,31,14.1259,3195.55
160000,-257.74981689453125,22.468,3252.83,32,32,15.0145,2187.84
165000,-162.06756591796875,21.9247,3199.36,33,33,13.2373,3231.36
170000,-200.99755859375,21.0497,3151.2,34,34,12.7707,3130.02
175000,-155.53201293945312,20.377,3281.71,35,35,12.321,3114.96
180000,-184.42222595214844,21.4261,3290.89,36,36,11.568,2756.33
185000,-197.98866271972656,22.2326,3179.16,37,37,14.3277,3240.69
190000,-166.9036865234375,20.5951,3257.78,38,38,12.031,3243.08
195000,-208.60089111328125,22.0698,3268.74,39,39,15.1777,2725.96
200000,-219.47775268554688,20.9294,3167.19,40,40,13.2377,3205.7
205000,-227.76646423339844,21.7267,1738.71,41,41,11.8804,1942.24
210000,-254.02955627441406,22.4046,3216.29,42,42,13.2101,3080.78
215000,-251.08399963378906,22.16,3243.45,43,43,14.2614,3075.11
220000,-240.2937469482422,20.7134,3149.97,44,44,12.3731,3190.06
225000,-235.69888305664062,19.9084,3283.93,45,45,12.3928,3272.25
230000,-214.1297149658203,20.4081,3263.81,46,46,11.9931,2455.36
235000,-274.3126525878906,21.9051,3110.37,47,47,14.0512,2349.99
240000,-261.6346130371094,22.1379,3278.88,48,48,14.1014,2933.21
245000,-271.9044494628906,20.8641,3200.37,49,49,12.5282,3129.58
250000,-288.5231628417969,20.4431,3273.22,50,50,12.7546,3164.88
255000,-337.5704040527344,22.6184,1524.36,51,51,24.3083,1422.28
260000,-267.47674560546875,20.8619,3216.56,52,52,13.18,2838.4
265000,-304.2940673828125,20.8424,3233.78,53,53,13.3143,3003.03
270000,-313.91943359375,20.2304,3248.05,54,54,13.8995,3264.18
275000,-290.5250549316406,19.8382,3264.08,55,55,12.594,3178.72
280000,-355.4624328613281,19.9862,3266.34,56,56,13.2134,3260.18
285000,-325.5297546386719,20.8832,3246.9,57,57,14.5873,3169.41
290000,-326.5174865722656,20.1898,3274.81,58,58,11.9748,3189.91
295000,-398.3001708984375,20.7894,3231.11,59,59,13.8087,3222.03
300000,-334.3538513183594,20.4192,3220.71,60,60,12.6492,2969.54
305000,-337.6065673828125,19.7324,3194.51,61,61,12.5413,3174.68
310000,-347.7253723144531,21.55,3254.39,62,62,14.6151,3203.28
315000,-334.53204345703125,19.681,3223.06,63,63,13.397,3218.38
320000,-345.1071472167969,19.7493,3157.97,64,64,12.424,3146.11
325000,-370.287841796875,19.145,3275.33,65,65,12.3639,3255.97
330000,-192.3818817138672,18.019,3274.71,66,66,10.3227,3247.91
335000,-400.1543273925781,20.0632,3222.86,67,67,12.8172,3226.51
340000,-367.5859680175781,18.4979,3222.12,68,68,12.033,3224.15
345000,-391.2496337890625,19.408,3252.79,69,69,12.841,2424.62
350000,-397.2213134765625,20.928,3278.39,70,70,13.4252,3100.1
355000,-369.47564697265625,18.4077,3312.24,71,71,11.6905,3293.07
360000,-370.72900390625,18.1889,3259.25,72,72,11.3053,3215.61
365000,-450.4594421386719,19.0834,3252.47,73,73,12.613,3265.58
370000,-372.33251953125,18.8359,3260.26,74,74,13.0623,3268.35
375000,-336.6924743652344,18.2862,3309.68,75,75,11.8246,3283.61
380000,-433.6365966796875,19.2535,3303.34,76,76,11.6068,3186.02
385000,-317.9845275878906,18.6371,3171.47,77,77,10.3861,3151.09
390000,-470.5513916015625,19.0417,3399.56,78,78,13.0511,3092.26
395000,-444.4914855957031,18.7704,3279.66,79,79,12.0783,3261.07
400000,-455.7195739746094,20.2875,3275.67,80,80,13.3853,3262.93
405000,-355.502197265625,19.6547,3217.61,81,81,10.8739,3241.01
410000,-415.430908203125,19.2979,3368.77,82,82,11.5933,3332.83
415000,-436.12042236328125,18.9548,3331.65,83,83,10.2419,3005.53
420000,-421.0495910644531,18.1156,3330.57,84,84,10.6494,3229.73
425000,-464.60552978515625,19.0083,3342.37,85,85,11.8242,2762.06
430000,-397.296875,18.0566,3225.36,86,86,11.1988,3215.99
435000,-511.42132568359375,19.6416,3319.17,87,87,11.9856,3287.62
440000,-522.2888793945312,19.0822,3350.63,88,88,13.0417,3247.6
445000,-446.3161315917969,19.5126,3376.06,89,89,11.6702,3317.03
450000,-445.3930969238281,18.5983,3301.48,90,90,11.8687,3267.92
455000,-382.0107116699219,20.3847,3410.46,91,91,11.243,1851.79
460000,-535.8042602539062,19.303,3328.17,92,92,11.768,3168.95
465000,-445.24169921875,17.8606,3328.33,93,93,11.1275,3205.37
470000,-473.9235534667969,18.9366,3370.53,94,94,11.4242,3261.02
475000,-500.8407897949219,18.7342,3335.22,95,95,12.2525,3258.92
480000,-569.8475341796875,19.2078,3398.5,96,96,13.185,2799.23
485000,-519.0819702148438,18.8802,3325.64,97,97,12.0399,3307.99
490000,-507.0812683105469,19.0127,3296.71,98,98,11.6547,2786.88
495000,-520.3639526367188,18.173,3363.3,99,99,11.9233,2535.27
500000,-543.1290283203125,19.1101,3367.06,100,100,12.9681,2558.78
505000,-407.1375732421875,17.6603,3323.2,101,101,10.8985,3293.64
510000,-599.5531005859375,19.4958,3381.86,102,102,14.5615,2764.51
515000,-609.4609985351562,19.892,3447.24,103,103,12.3721,3419.41
520000,-535.1085815429688,18.0395,3319.11,104,104,11.4028,3297.57
525000,-626.9701538085938,18.9653,3373.21,105,105,12.1366,3352.28
530000,-600.4085083007812,19.049,3363.13,106,106,11.9073,3236.09
535000,-605.0624389648438,17.7368,3324.55,107,107,11.8168,3287.25
540000,-617.8886108398438,18.689,3327.02,108,108,12.1774,3276.14
545000,-574.1504516601562,19.1511,3404.68,109,109,11.6186,3379.25
550000,-547.7411499023438,18.4357,3351.31,110,110,11.6785,3343.66
555000,-628.784423828125,19.0516,3370.98,111,111,12.2912,3190.99
560000,-648.8150634765625,18.9494,3361.3,112,112,12.2032,3342.44
565000,-529.2344970703125,16.579,3311.11,113,113,9.6379,3265.78
570000,-541.17724609375,17.8881,3369.56,114,114,11.1064,3349.3
575000,-578.6209716796875,17.4525,3369.51,115,115,11.0585,3279.91
580000,-571.677490234375,18.7013,3445.21,116,116,11.359,3134.2
585000,-648.4483642578125,17.7667,3393.95,117,117,11.3368,3359.09
590000,-528.2591552734375,17.5745,3369.5,118,118,10.6424,3214.47
595000,-601.4336547851562,19.3071,3330.2,119,119,12.0243,3154.93
600000,-547.768310546875,16.9182,3353.45,120,120,10.5206,3331.23
605000,-591.3776245117188,17.6081,3354.64,121,121,11.2944,3328.93
610000,-625.7703857421875,17.8999,3357.69,122,122,11.5294,3314.2
615000,-674.1015014648438,18.3567,3345.25,123,123,11.7666,3306.18
620000,-594.7272338867188,17.2879,3369.86,124,124,10.7793,3350.04
625000,-855.1538696289062,19.4199,3331.94,125,125,12.0981,3308.38
