Real Sto Return,Itration,Running Reverse KL,Real Det Return,Running Forward KL
216.56,0,268.1539,212.14,453.9283
341.55,1,277.8645,337.73,433.6438
346.15,2,337.5909,307.71,426.8093
404.73,3,260.6061,375.01,427.516
433.1,4,243.9008,459.76,410.9619
395.07,5,281.649,402.71,413.3515
482.58,6,257.1279,422.97,418.3887
430.82,7,272.3125,365.38,426.7198
498.08,8,278.6797,605.91,397.3961
501.46,9,300.699,574.96,390.9028
588.22,10,267.4418,529.86,401.8011
605.84,11,292.5258,594.57,389.0878
580.89,12,279.4622,564.64,384.2807
619.57,13,283.6306,659.46,389.5029
620.21,14,345.5457,700.57,391.4927
781.15,15,298.0472,690.49,379.6923
803.33,16,276.931,558.89,375.8734
666.43,17,293.4818,735.74,383.809
759.1,18,290.6417,657.02,375.0702
779.98,19,254.8712,871.87,372.7186
737.94,20,260.0998,806.67,373.6708
711.05,21,266.6459,925.25,388.5885
739.29,22,278.3408,892.5,368.5914
785.9,23,272.9087,1006.62,363.5543
1083.59,24,272.7125,962.41,340.722
1173.57,25,238.0309,933.15,363.7663
955.11,26,280.0288,884.94,364.0094
1229.19,27,247.2288,698.99,338.2398
995.02,28,297.1563,768.74,354.9299
1484.79,29,277.4389,965.08,343.4979
1593.96,30,195.201,1079.35,338.8012
1258.3,31,256.681,662.45,336.6938
1768.0,32,227.1463,1100.54,334.0473
2214.85,33,208.3418,1717.3,331.7492
2215.78,34,197.9036,1604.03,327.5948
2402.32,35,200.1488,2196.19,340.9834
1484.76,36,227.5529,1250.93,334.7617
1626.16,37,237.1086,1796.4,338.5932
3388.22,38,204.1136,2083.94,323.567
3446.27,39,174.5953,2057.26,316.3059
3048.43,40,182.7934,1221.92,316.921
2469.39,41,257.1714,1169.79,339.6921
2687.6,42,245.8918,3616.01,338.0576
4208.3,43,136.9066,958.43,322.0836
3709.52,44,134.5929,4097.71,323.5395
3472.84,45,199.1213,4797.55,349.3973
3832.7,46,134.2542,3758.26,327.6691
4130.06,47,178.1904,2350.23,329.433
3399.64,48,195.0911,2069.96,330.3977
3704.18,49,124.7704,2735.3,324.9825
4333.61,50,127.7706,4853.13,329.723
1875.25,51,267.6621,893.34,354.1081
4534.05,52,129.6647,3300.02,332.4924
1754.5,53,209.677,813.43,340.3447
2881.1,54,208.7901,923.86,346.4148
4470.14,55,115.1758,1290.07,321.761
4439.63,56,109.7191,1218.32,322.5784
3835.9,57,166.0011,926.57,327.5215
3653.36,58,121.1098,3205.94,329.9455
4037.41,59,117.5454,1209.06,328.576
4213.06,60,128.0725,5157.29,325.3125
4830.65,61,119.6114,4111.35,322.4427
4352.36,62,124.0405,3248.8,332.5883
4603.4,63,129.2995,2645.81,326.9541
4690.62,64,135.831,1438.9,329.049
4643.04,65,112.6658,4411.89,324.7326
4297.45,66,181.1528,1399.7,340.4481
4706.83,67,152.14,4889.58,333.8214
4653.27,68,130.7997,5100.46,342.5003
4833.17,69,133.343,3913.82,326.1156
4945.94,70,121.7391,5040.32,327.7597
5021.39,71,131.9126,4341.04,332.7767
4603.47,72,125.2467,4377.69,330.7476
4947.04,73,118.8604,4509.32,325.5182
4449.49,74,123.5614,5105.66,331.8464
4557.26,75,118.0384,4459.25,327.4314
5026.89,76,128.7793,4323.24,330.9842
4773.22,77,128.3142,4415.13,330.2699
4642.11,78,141.078,4667.36,322.061
4395.91,79,123.0324,4129.68,323.6496
4875.94,80,120.9401,4895.82,326.275
5009.34,81,115.9588,3417.2,318.8532
4785.61,82,119.9944,4387.73,326.8923
4738.98,83,121.0921,2703.16,324.1391
4567.37,84,117.1564,3228.89,319.1594
4783.43,85,109.6709,1686.83,322.4013
4954.47,86,126.8401,5134.21,326.6301
4872.56,87,113.2372,3674.07,319.8444
4993.92,88,124.4367,3667.69,328.4787
