Running Reverse KL,Real Sto Return,Itration,Running Forward KL,Real Det Return,Running Update Time,Reward Loss,Running Env Steps
265.0408,268.27,0,476.15,281.32,0,172.51634216308594,0
306.0117,330.52,1,428.2544,295.0,1,-875.3131713867188,5000
259.3565,352.31,2,422.0281,332.33,2,-381.0690612792969,10000
236.0311,423.37,3,427.0861,417.05,3,-879.573974609375,15000
252.4107,463.22,4,421.9223,498.76,4,-1310.1900634765625,20000
255.8199,452.75,5,417.008,481.91,5,-1096.7586669921875,25000
296.2501,333.86,6,432.7437,293.74,6,-1348.92041015625,30000
257.5126,431.88,7,414.526,471.76,7,-1687.05419921875,35000
245.3525,452.8,8,419.6252,556.22,8,-1692.7833251953125,40000
247.7339,530.68,9,425.7771,496.09,9,-1834.6221923828125,45000
262.7486,515.75,10,402.0081,552.68,10,-2028.6898193359375,50000
287.442,451.95,11,413.7344,449.14,11,-2164.7509765625,55000
302.1714,527.23,12,407.2164,500.79,12,-3033.0927734375,60000
258.5533,593.43,13,411.617,548.05,13,-2356.488525390625,65000
253.4611,561.55,14,403.3322,503.34,14,-2703.125732421875,70000
247.6316,636.57,15,384.9741,515.67,15,-2759.60791015625,75000
243.4691,570.29,16,393.2904,660.84,16,-2789.924560546875,80000
