Real Det Return,Itration,Running Reverse KL,Running Forward KL,Real Sto Return
-52.53,0,11.1945,158.487,-220.73
20.55,1,11.6366,158.3303,-73.51
629.13,2,12.3668,158.3133,103.16
774.03,3,13.0009,158.2835,242.02
903.96,4,14.3437,158.2748,538.17
976.46,5,13.8567,157.9409,566.57
1051.72,6,14.355,158.2444,662.31
1188.38,7,14.8959,158.0461,809.06
1159.07,8,14.7127,157.9632,888.63
1413.95,9,15.4099,158.1064,972.13
1516.63,10,15.5606,158.0021,1077.25
1570.58,11,16.0181,157.8861,1139.6
1536.8,12,16.2104,157.8512,1175.8
1613.16,13,16.2345,158.0343,1188.17
1611.92,14,16.4095,157.9627,1180.99
1667.07,15,15.9475,157.7734,1247.0
1781.47,16,16.8904,157.949,1293.52
