Running Forward KL,Real Sto Return,Running Reverse KL,Running Env Steps,Reward Loss,Running Update Time,Itration,Real Det Return
422.6009,361.06,271.9589,0,-1634.716796875,0,0,310.81
439.2172,306.94,282.7786,5000,-2508.19970703125,1,1,306.74
424.4222,401.74,255.2542,10000,-2130.41455078125,2,2,326.91
425.353,447.1,260.5923,15000,-1831.9580078125,3,3,522.81
403.8079,444.69,239.2008,20000,-2645.98828125,4,4,531.72
406.3954,388.68,256.7892,25000,-2839.853515625,5,5,384.33
400.8328,529.84,262.0368,30000,-2159.969970703125,6,6,461.22
400.1855,459.8,264.0054,35000,-2948.2373046875,7,7,538.47
405.1413,459.04,290.1392,40000,-3779.56298828125,8,8,382.3
406.5215,549.87,284.7978,45000,-4469.2822265625,9,9,557.19
398.494,480.54,276.3199,50000,-4098.1015625,10,10,481.58
387.6378,504.55,291.1355,55000,-5732.5400390625,11,11,472.19
384.0531,475.34,299.2465,60000,-5644.2841796875,12,12,519.31
389.0488,537.99,329.3583,65000,-6049.4169921875,13,13,519.62
388.9418,528.73,290.4292,70000,-6024.697265625,14,14,505.52
391.2222,538.38,310.0819,75000,-6933.65869140625,15,15,490.31
391.386,523.68,319.5754,80000,-6792.50732421875,16,16,494.72
394.1866,570.81,477.1909,85000,-6677.931640625,17,17,599.21
376.6998,606.56,254.8186,90000,-5270.4287109375,18,18,670.87
382.3572,679.37,281.9908,95000,-6216.1572265625,19,19,641.62
381.1322,667.67,285.0352,100000,-6139.0732421875,20,20,660.79
367.3139,629.78,303.2773,105000,-7703.5302734375,21,21,709.72
356.2608,685.58,344.0247,110000,-8724.701171875,22,22,729.97
364.2821,731.83,365.1381,115000,-8883.0712890625,23,23,877.82
350.7423,711.47,300.3193,120000,-8230.671875,24,24,821.4
363.2877,616.4,261.8805,125000,-6288.8193359375,25,25,509.43
360.4709,650.39,274.8598,130000,-7394.7958984375,26,26,671.08
348.8577,735.09,304.4796,135000,-8944.3330078125,27,27,810.53
351.0145,689.76,331.5832,140000,-9512.7109375,28,28,742.55
367.4871,751.0,287.6347,145000,-8310.9150390625,29,29,756.78
374.4886,641.25,308.1612,150000,-8329.9443359375,30,30,624.5
357.2506,708.79,251.803,155000,-6690.8154296875,31,31,571.91
353.2703,712.8,276.2863,160000,-7686.49755859375,32,32,468.47
362.0662,666.23,276.4534,165000,-8936.099609375,33,33,795.48
354.1301,953.41,251.3173,170000,-6624.2060546875,34,34,874.52
374.6591,940.41,315.0531,175000,-10177.716796875,35,35,775.03
338.0118,720.15,224.3619,180000,-6159.88720703125,36,36,727.32
