Running Reverse KL,Real Sto Return,Running Forward KL,Real Det Return,Itration
11.9649,-180.41,158.5984,-37.73,0
11.7726,-108.13,158.3864,292.31,1
12.0666,29.84,158.2542,548.4,2
12.982,276.53,158.1449,797.61,3
13.3559,378.59,158.0143,832.51,4
14.6423,606.57,158.1624,982.8,5
14.9179,704.22,158.1042,1098.53,6
14.9644,741.16,158.0625,1136.25,7
15.046,801.52,157.8513,1175.95,8
15.3238,926.11,157.8624,1190.7,9
15.5539,908.68,157.7384,1156.13,10
15.8129,955.32,157.7374,1354.91,11
16.0522,1077.77,157.765,1447.72,12
16.5021,1138.55,157.7472,1603.86,13
16.7018,1195.15,157.7287,1620.21,14
17.1259,1290.3,157.7163,1713.98,15
16.5396,1280.53,157.6919,1626.87,16
16.3542,1289.52,157.7963,1639.63,17
16.3328,1315.6,157.7143,1662.63,18
16.2986,1370.15,157.6992,1726.32,19
16.5117,1400.72,157.5927,1807.95,20
16.7571,1432.5,157.7734,1830.97,21
16.3992,1439.0,157.7958,1809.86,22
16.3881,1458.57,157.6731,1841.9,23
16.6112,1476.47,157.7966,1810.36,24
16.7528,1505.18,157.9113,1857.42,25
16.5981,1532.12,157.4881,1854.49,26
16.7215,1479.48,157.9005,1869.21,27
16.3265,1497.09,157.5779,1847.96,28
17.2341,1533.46,157.6234,1949.07,29
16.5116,1514.29,157.6116,1807.62,30
16.345,1465.45,157.8586,1796.6,31
16.3615,1513.97,157.6553,1870.62,32
16.7257,1597.45,157.5841,1939.3,33
16.7583,1617.4,157.6084,1976.03,34
16.4458,1567.09,157.6134,1916.66,35
16.7036,1620.28,157.4825,1992.54,36
16.5072,1605.38,157.7019,1966.87,37
16.583,1648.91,157.4882,2012.37,38
16.4782,1609.26,157.4987,1958.07,39
