Real Sto Return,Running Update Time,Running Env Steps,Reward Loss,Itration,Running Forward KL,Real Det Return,Running Reverse KL
-83.05,0,0,168.94737243652344,0,75.9817,341.87,26.6101
-82.39,1,5000,131.71417236328125,1,74.5361,529.79,25.232
-27.88,2,10000,94.11153411865234,2,72.93,699.71,25.8859
12.57,3,15000,33.46897888183594,3,73.5587,579.51,27.4858
28.91,4,20000,1.8150361776351929,4,73.6882,600.32,27.6943
49.2,5,25000,-48.76573944091797,5,72.6396,572.95,29.2805
108.5,6,30000,-120.45429229736328,6,74.1373,644.77,29.5892
93.0,7,35000,-172.0253143310547,7,73.6934,831.0,30.6756
110.53,8,40000,-220.76173400878906,8,72.0003,774.06,30.3488
124.1,9,45000,-243.08016967773438,9,72.9632,759.37,31.5379
133.29,10,50000,-336.2295837402344,10,73.7291,612.54,31.6747
165.75,11,55000,-388.0347595214844,11,73.6853,778.89,31.5097
169.43,12,60000,-445.67864990234375,12,75.2407,776.58,32.4827
134.0,13,65000,-499.0852355957031,13,72.2326,707.18,30.9057
153.61,14,70000,-587.550537109375,14,73.8291,826.43,31.4612
326.5,15,75000,-639.710205078125,15,73.9211,928.09,31.9561
245.52,16,80000,-686.8002319335938,16,72.3624,910.15,31.0705
205.39,17,85000,-762.0059814453125,17,71.5885,701.18,31.245
209.15,18,90000,-791.382568359375,18,70.6523,711.92,29.7704
197.28,19,95000,-868.345703125,19,73.4962,756.81,30.7468
140.02,20,100000,-913.0597534179688,20,72.0211,647.22,31.0717
190.5,21,105000,-992.1614990234375,21,72.4361,684.79,31.3092
227.98,22,110000,-1061.6822509765625,22,72.7199,680.34,30.9732
213.42,23,115000,-1103.41015625,23,71.3339,791.7,30.753
232.29,24,120000,-1144.690673828125,24,71.8466,846.64,30.6356
224.19,25,125000,-1198.2008056640625,25,70.9148,865.58,30.8201
325.92,26,130000,-1239.72998046875,26,69.9751,804.39,30.4437
292.53,27,135000,-1328.925537109375,27,69.0711,555.88,30.3257
265.67,28,140000,-1395.809326171875,28,71.5781,844.61,30.7554
301.0,29,145000,-1446.6671142578125,29,70.5066,890.66,29.9662
206.19,30,150000,-1520.04052734375,30,71.0994,969.22,30.6211
284.44,31,155000,-1591.31640625,31,71.7699,1032.77,30.0149
213.22,32,160000,-1644.2203369140625,32,71.5411,870.01,30.6403
334.9,33,165000,-1723.267333984375,33,69.6938,844.61,30.2426
336.82,34,170000,-1692.5576171875,34,64.3794,903.4,28.5473
340.53,35,175000,-1740.825927734375,35,66.2267,877.62,29.263
499.34,36,180000,-1819.060546875,36,66.4452,1337.76,29.459
390.23,37,185000,-1953.798095703125,37,69.6746,1038.65,30.0394
618.42,38,190000,-1949.132080078125,38,67.3921,1172.26,29.7726
390.34,39,195000,-1995.03271484375,39,64.754,1029.23,29.1016
375.68,40,200000,-1988.3720703125,40,63.8637,948.12,28.4924
681.85,41,205000,-2092.675537109375,41,65.5597,715.51,28.1706
776.83,42,210000,-2050.048095703125,42,61.5836,838.0,28.8995
432.87,43,215000,-2179.88671875,43,63.1364,873.18,27.6402
582.31,44,220000,-2002.8602294921875,44,58.1828,1434.02,28.1744
915.68,45,225000,-2215.3935546875,45,60.9177,1322.34,27.7374
594.29,46,230000,-2177.880859375,46,58.3583,1399.56,25.7879
664.59,47,235000,-2353.749755859375,47,61.0882,926.4,26.4452
749.27,48,240000,-2502.211181640625,48,63.4165,1765.3,27.3791
884.76,49,245000,-2308.359619140625,49,59.1958,1387.84,26.1383
1266.54,50,250000,-2182.23046875,50,58.3256,2205.6,27.9415
752.22,51,255000,-2414.240478515625,51,59.2162,1281.3,25.8844
1071.56,52,260000,-2305.24462890625,52,58.0897,1692.61,27.0297
763.84,53,265000,-2520.81005859375,53,58.8063,2175.93,26.4661
816.44,54,270000,-2753.570556640625,54,60.2574,1490.26,26.3735
1380.81,55,275000,-2275.404296875,55,57.1155,1821.61,28.6905
810.18,56,280000,-2744.070556640625,56,58.8465,1328.83,26.2356
1135.14,57,285000,-2628.1298828125,57,57.619,1309.42,25.8086
1184.89,58,290000,-2862.60546875,58,58.0016,2447.65,25.3834
997.29,59,295000,-2752.861328125,59,57.2319,1550.29,25.0805
750.3,60,300000,-2569.724853515625,60,55.578,1427.2,25.3563
897.09,61,305000,-2595.445556640625,61,56.8449,2003.27,25.9597
830.93,62,310000,-2753.8857421875,62,56.1205,1735.6,24.4681
1290.86,63,315000,-3092.121337890625,63,58.2251,1684.85,25.1314
1031.31,64,320000,-2940.05810546875,64,56.5069,2259.28,25.1898
1628.28,65,325000,-2750.507568359375,65,55.7829,2721.74,25.4603
1090.9,66,330000,-2691.9375,66,55.1906,2525.19,24.8141
2063.49,67,335000,-2675.704833984375,67,56.5721,2863.68,28.3015
1289.0,68,340000,-2496.34765625,68,56.6136,2095.6,28.366
1929.61,69,345000,-2516.94580078125,69,56.1314,2882.27,27.7431
1447.74,70,350000,-3473.9208984375,70,59.776,1496.08,24.7339
1604.13,71,355000,-2599.02099609375,71,57.2159,2914.07,26.6151
1558.82,72,360000,-2823.008544921875,72,57.4568,2658.1,26.6794
2325.36,73,365000,-2276.6806640625,73,56.9081,3142.25,32.1607
2295.99,74,370000,-2183.791748046875,74,58.2855,3429.27,36.2881
2731.26,75,375000,-2274.2783203125,75,58.0811,3482.54,34.0251
1977.42,76,380000,-2710.360107421875,76,58.0901,2781.33,29.2074
2601.11,77,385000,-2422.17529296875,77,57.7466,3945.2,32.8114
2450.29,78,390000,-2611.658447265625,78,58.5856,3880.84,33.1047
1758.4,79,395000,-3016.502197265625,79,59.0954,2814.72,29.1385
953.99,80,400000,-3459.7880859375,80,59.1213,2128.64,27.1314
2179.03,81,405000,-2598.465576171875,81,58.8523,3271.46,33.2874
2334.3,82,410000,-2295.339599609375,82,60.6392,3027.36,38.5782
2827.06,83,415000,-2439.198486328125,83,62.6175,3556.32,42.1872
2841.31,84,420000,-2944.504638671875,84,61.0814,3416.3,36.1824
2934.66,85,425000,-2805.09375,85,60.9498,3041.99,38.2855
3401.02,86,430000,-2132.831787109375,86,64.7525,4484.87,47.3073
3509.03,87,435000,-2902.737060546875,87,62.0821,3986.36,39.3425
3077.17,88,440000,-2476.62646484375,88,64.6941,4054.33,49.3186
3035.97,89,445000,-2512.046142578125,89,67.2786,4382.7,48.996
3304.42,90,450000,-2503.676025390625,90,61.6977,4446.65,43.6273
3550.54,91,455000,-2633.540283203125,91,66.6343,4200.09,51.3989
3135.03,92,460000,-2929.949951171875,92,62.3597,3661.55,39.9791
2932.9,93,465000,-2809.144287109375,93,61.4926,3568.01,39.8133
3972.02,94,470000,-2625.172607421875,94,67.9106,4276.43,56.3457
2829.29,95,475000,-2638.174560546875,95,66.8309,3332.35,56.0733
3586.2,96,480000,-2596.481689453125,96,68.433,4292.16,53.5806
3427.46,97,485000,-2924.41064453125,97,65.2947,4473.81,48.3277
3424.3,98,490000,-3313.00244140625,98,63.975,4543.63,45.47
4141.03,99,495000,-2930.877197265625,99,67.309,4063.18,52.2282
3250.93,100,500000,-2977.83203125,100,68.1802,4489.63,59.0345
4013.67,101,505000,-3131.448486328125,101,66.3184,3713.55,54.1886
3014.66,102,510000,-3205.45166015625,102,65.2662,3252.69,48.6142
4098.54,103,515000,-3187.75537109375,103,69.4907,4795.37,55.3377
3970.33,104,520000,-3562.559326171875,104,65.1638,4656.37,52.6999
2843.82,105,525000,-3463.74853515625,105,65.3647,3592.77,51.7361
3345.59,106,530000,-3519.87158203125,106,64.2493,4643.06,48.4464
2594.59,107,535000,-3530.714111328125,107,68.0802,4466.83,59.3126
3643.4,108,540000,-3350.085693359375,108,70.0835,4409.46,57.8457
3455.24,109,545000,-3659.26611328125,109,67.0255,4214.23,56.8061
3858.43,110,550000,-3594.079833984375,110,69.7522,4532.51,56.9107
3227.32,111,555000,-3447.799560546875,111,70.8319,3868.95,59.8678
3236.33,112,560000,-3721.016357421875,112,69.8046,3910.96,56.7325
3220.43,113,565000,-4341.01611328125,113,64.1454,3426.8,45.2385
2856.55,114,570000,-4066.728515625,114,66.3955,3786.25,57.0118
3750.21,115,575000,-4131.11376953125,115,67.4516,4457.29,58.3986
3863.1,116,580000,-3960.63818359375,116,70.785,4783.59,63.9305
3755.9,117,585000,-3991.37060546875,117,71.0564,4475.61,62.8517
2574.54,118,590000,-4456.595703125,118,64.6355,3437.1,48.8853
3066.88,119,595000,-4347.55712890625,119,68.7531,3277.79,61.0904
3767.54,120,600000,-4565.5068359375,120,64.6151,4254.54,50.383
4540.09,121,605000,-4411.62451171875,121,70.2635,4988.5,63.4444
4409.89,122,610000,-5031.87158203125,122,67.5685,4439.43,55.1078
3563.75,123,615000,-4508.53955078125,123,71.2093,3930.85,63.7868
4610.23,124,620000,-4501.7724609375,124,72.2616,4167.05,63.9943
2018.27,125,625000,-4770.7470703125,125,66.9543,3076.16,57.3152
1820.1,126,630000,-5076.09423828125,126,64.767,3281.99,51.8481
3846.88,127,635000,-4910.697265625,127,68.4627,4478.55,62.1625
2797.25,128,640000,-5267.041015625,128,64.8852,3661.95,48.1083
3303.24,129,645000,-5308.119140625,129,67.63,4590.83,57.1474
2501.5,130,650000,-5545.5966796875,130,65.9021,4066.93,51.1582
2681.0,131,655000,-5352.162109375,131,68.4201,2893.28,61.1986
3399.92,132,660000,-5235.6064453125,132,73.2586,4316.45,66.845
4135.94,133,665000,-5669.8779296875,133,68.0116,4814.14,60.6742
2805.72,134,670000,-5574.46142578125,134,74.8079,4758.29,74.1724
3392.91,135,675000,-5844.95263671875,135,69.6214,4235.81,66.8055
4181.03,136,680000,-5731.59912109375,136,72.0974,4798.58,68.0438
2833.29,137,685000,-6171.6005859375,137,68.8499,3597.53,60.1776
2716.4,138,690000,-5890.3720703125,138,71.9783,4657.07,64.3326
3970.28,139,695000,-6091.26953125,139,73.0938,4201.84,67.4447
3196.81,140,700000,-6319.5458984375,140,69.1704,4376.24,66.0553
4283.21,141,705000,-6445.54736328125,141,73.9386,4806.41,70.6705
4539.76,142,710000,-6371.3115234375,142,71.8342,4018.96,65.3586
4581.07,143,715000,-6540.619140625,143,70.7423,4656.64,65.6406
