Real Det Return,Running Update Time,Running Forward KL,Running Env Steps,Itration,Reward Loss,Real Sto Return,Running Reverse KL
-13.18,0,158.4752,0,0,20.74220848083496,-184.28,11.5984
35.51,1,158.4881,5000,1,-20.457923889160156,-78.17,11.9495
678.15,2,158.3323,10000,2,-66.61984252929688,70.47,12.406
799.64,3,158.2435,15000,3,-126.92314147949219,285.46,13.5215
903.63,4,158.2927,20000,4,-177.6844482421875,492.89,14.1445
1042.43,5,157.9954,25000,5,-211.6220245361328,601.04,14.145
1194.63,6,158.0185,30000,6,-248.4144744873047,724.92,14.528
1261.01,7,158.2529,35000,7,-285.62933349609375,853.56,15.0448
1341.56,8,157.9968,40000,8,-317.3729248046875,987.65,15.5983
922.29,9,157.8864,45000,9,-357.7201232910156,797.78,15.9255
1387.55,10,157.8114,50000,10,-379.1952819824219,1102.86,16.5872
1606.09,11,157.9767,55000,11,-446.07061767578125,1210.96,16.6176
1571.5,12,157.6444,60000,12,-474.8142395019531,1183.7,16.4125
1681.66,13,157.6287,65000,13,-526.1739501953125,1270.12,16.9371
1684.14,14,157.917,70000,14,-568.3344116210938,1278.97,16.9865
1702.37,15,157.7546,75000,15,-612.76025390625,1287.56,16.9058
1754.52,16,157.7702,80000,16,-647.93798828125,1287.24,16.8591
1734.05,17,157.8478,85000,17,-691.6080322265625,1303.28,16.621
1797.82,18,157.4665,90000,18,-731.4881591796875,1368.19,16.302
1800.48,19,157.4192,95000,19,-764.4403076171875,1429.65,16.3453
1839.43,20,157.4657,100000,20,-825.2752685546875,1400.99,16.3504
1825.57,21,157.9246,105000,21,-858.5368041992188,1429.01,16.8515
1793.33,22,157.5722,110000,22,-891.187255859375,1397.5,15.9761
1857.58,23,157.6253,115000,23,-929.8799438476562,1473.91,16.8985
1908.13,24,157.7719,120000,24,-967.9505004882812,1504.66,16.558
1895.76,25,157.7911,125000,25,-1017.8861694335938,1500.07,16.3355
1884.02,26,157.5174,130000,26,-1067.2724609375,1490.15,16.3474
1936.74,27,157.2452,135000,27,-1087.9715576171875,1580.4,16.4059
1885.19,28,157.7336,140000,28,-1121.000732421875,1531.24,16.1293
1943.11,29,157.5883,145000,29,-1167.975341796875,1595.54,16.6271
1903.53,30,157.6632,150000,30,-1200.3441162109375,1577.39,16.3018
1946.82,31,157.554,155000,31,-1246.4747314453125,1582.99,16.2169
1942.04,32,157.4616,160000,32,-1266.97021484375,1617.21,16.3725
1989.67,33,157.3806,165000,33,-1313.850341796875,1600.81,16.343
2059.04,34,157.6687,170000,34,-1357.474609375,1647.0,17.2122
1901.35,35,157.5093,175000,35,-1391.1044921875,1586.15,15.9811
2001.3,36,157.7086,180000,36,-1438.0751953125,1596.17,16.4968
1988.11,37,157.3918,185000,37,-1463.5416259765625,1644.08,16.3732
2024.78,38,157.4704,190000,38,-1501.80224609375,1635.71,16.1217
2030.79,39,157.4774,195000,39,-1533.9462890625,1632.35,16.1941
2054.2,40,157.4043,200000,40,-1572.8304443359375,1663.38,16.3416
2018.92,41,157.5035,205000,41,-1623.666748046875,1638.44,16.1519
2091.09,42,157.233,210000,42,-1641.0635986328125,1681.92,16.2563
2018.39,43,157.1117,215000,43,-1670.677001953125,1671.85,15.9357
2082.27,44,157.1792,220000,44,-1720.9481201171875,1710.4,16.1883
2072.94,45,157.4934,225000,45,-1764.2486572265625,1687.12,16.5122
2041.07,46,157.2624,230000,46,-1799.437744140625,1649.28,15.8246
2057.1,47,157.2962,235000,47,-1831.9129638671875,1693.33,16.2981
2046.91,48,157.2602,240000,48,-1875.9293212890625,1657.78,15.9789
2067.24,49,157.1536,245000,49,-1907.204833984375,1707.72,16.0636
2131.54,50,157.0939,250000,50,-1949.458984375,1711.69,15.9245
2059.79,51,157.2435,255000,51,-1987.2572021484375,1696.41,16.0985
2100.87,52,157.1731,260000,52,-2017.853271484375,1704.68,15.7326
