Running Update Time,Running Reverse KL,Running Env Steps,Reward Loss,Running Forward KL,Itration,Real Sto Return,Real Det Return
0,11.6838,0,428.6285705566406,158.6348,0,-195.26,-127.86
1,11.9051,5000,385.2708740234375,158.5928,1,-101.22,70.43
2,12.6484,10000,322.78350830078125,158.6979,2,-38.29,-146.71
3,12.8861,15000,358.35546875,158.1589,3,385.33,826.14
4,14.0695,20000,325.96087646484375,158.257,4,547.51,794.15
5,14.6812,25000,296.9383850097656,158.1115,5,627.75,1048.73
6,14.3935,30000,262.7879638671875,158.0912,6,751.06,1167.74
7,14.3544,35000,176.21136474609375,157.7097,7,855.26,1169.88
8,15.353,40000,175.63888549804688,157.9044,8,891.1,1293.59
9,15.2573,45000,122.19271087646484,157.3938,9,1058.93,1502.32
10,16.087,50000,58.7979850769043,157.9021,10,1049.9,1374.03
11,16.2642,55000,40.922908782958984,157.8476,11,1095.89,1504.03
12,16.2404,60000,10.494768142700195,158.1096,12,1073.64,1428.71
13,16.9351,65000,-32.88948440551758,158.2499,13,1196.24,1565.2
14,16.8461,70000,-69.12088012695312,158.1011,14,1240.06,1651.84
15,15.1917,75000,-111.72372436523438,157.5495,15,1229.34,1530.72
16,16.6585,80000,-132.6544952392578,157.9762,16,1270.73,1609.68
17,16.6518,85000,-168.4293212890625,158.0591,17,1204.26,1255.12
18,16.6687,90000,-215.2462615966797,157.9956,18,1334.06,1674.2
19,16.5544,95000,-278.23138427734375,158.0638,19,1318.44,1658.75
20,16.726,100000,-300.0190734863281,158.076,20,1308.58,1646.58
21,16.1126,105000,-343.2376403808594,157.9037,21,1371.61,1717.67
22,16.2216,110000,-402.9706726074219,158.0761,22,1351.74,1713.69
23,16.2494,115000,-435.73797607421875,158.0492,23,1424.9,1644.8
24,15.6701,120000,-483.71075439453125,157.9376,24,1424.3,1747.2
25,16.9744,125000,-491.0657958984375,157.9081,25,1503.1,1861.97
26,16.3138,130000,-558.1901245117188,157.6213,26,1505.41,1850.57
27,16.356,135000,-598.2136840820312,157.9788,27,1421.22,1800.44
28,16.5223,140000,-640.9710693359375,157.8816,28,1474.65,1804.27
29,16.7755,145000,-683.4598999023438,157.7112,29,1545.41,1913.29
30,16.0283,150000,-731.076904296875,157.6773,30,1549.3,1884.1
31,16.5582,155000,-784.3865356445312,157.7723,31,1539.03,1837.19
32,16.7998,160000,-796.1331176757812,157.759,32,1550.56,1976.47
33,16.1142,165000,-865.1436767578125,157.5545,33,1548.95,1867.3
34,16.2757,170000,-885.8131713867188,157.598,34,1580.88,1975.75
35,15.9789,175000,-942.3168334960938,157.6242,35,1589.35,1919.01
36,16.0382,180000,-990.9693603515625,157.4136,36,1585.82,1901.52
37,16.4819,185000,-1026.52783203125,157.493,37,1610.43,1951.2
38,16.5056,190000,-1074.665283203125,157.4448,38,1650.75,1968.19
39,15.974,195000,-1111.706298828125,157.3848,39,1601.0,1925.93
40,16.6192,200000,-1155.393310546875,157.8542,40,1638.51,1954.12
41,16.258,205000,-1185.119140625,157.5189,41,1621.45,2025.38
42,15.9986,210000,-1235.154052734375,157.4297,42,1621.97,1959.81
43,16.3768,215000,-1260.8514404296875,157.4006,43,1675.01,2021.77
44,16.5792,220000,-1308.0906982421875,157.4552,44,1656.29,2020.44
45,16.9779,225000,-1345.249755859375,157.2877,45,1653.55,2034.85
46,16.5782,230000,-1392.5374755859375,157.579,46,1660.44,2035.73
47,16.4854,235000,-1437.16650390625,157.3883,47,1685.87,2016.84
48,16.9385,240000,-1475.831787109375,157.3126,48,1719.91,2096.41
49,17.0,245000,-1505.1346435546875,157.5027,49,1729.53,2059.37
50,16.4858,250000,-1557.882080078125,157.2558,50,1697.23,2031.84
51,16.4983,255000,-1586.77197265625,157.1761,51,1673.05,2051.0
52,16.6192,260000,-1615.694580078125,157.3059,52,1709.51,2061.62
53,16.1162,265000,-1676.40185546875,157.0339,53,1705.39,2068.37
54,16.2305,270000,-1720.1973876953125,157.3114,54,1712.93,2030.13
55,16.2838,275000,-1748.1085205078125,157.1062,55,1670.2,2024.42
56,15.8112,280000,-1813.300537109375,157.0881,56,1684.09,1978.9
57,15.718,285000,-1838.7056884765625,157.1473,57,1646.81,2040.33
58,16.1404,290000,-1878.470703125,157.2676,58,1681.08,2044.86
59,16.204,295000,-1904.078125,157.2376,59,1702.46,2060.86
60,16.5349,300000,-1988.40234375,157.4109,60,1697.93,2004.4
61,15.626,305000,-2029.642333984375,157.0999,61,1658.65,1992.73
62,16.4437,310000,-2059.860595703125,157.1622,62,1742.3,2099.02
63,16.0745,315000,-2087.64453125,157.1749,63,1721.38,2053.64
64,15.6545,320000,-2142.53076171875,157.1354,64,1667.62,1924.18
65,16.6015,325000,-2180.465087890625,157.0773,65,1755.12,2079.19
66,15.8252,330000,-2227.57666015625,157.1343,66,1708.49,2045.06
67,16.1856,335000,-2263.79150390625,157.0431,67,1754.24,2105.97
68,16.0239,340000,-2293.2724609375,156.9515,68,1753.38,2053.53
69,16.1627,345000,-2340.9189453125,157.2378,69,1758.43,2093.38
70,15.8949,350000,-2400.640869140625,156.998,70,1711.93,1974.11
71,15.8281,355000,-2429.791259765625,156.997,71,1702.7,2036.5
72,15.9629,360000,-2479.53271484375,157.1121,72,1725.0,2055.5
73,15.6996,365000,-2503.784912109375,156.898,73,1726.39,2071.6
74,16.0773,370000,-2547.36572265625,156.8215,74,1759.57,2099.16
75,15.9105,375000,-2590.56591796875,156.9986,75,1728.65,2073.81
76,15.8868,380000,-2643.966552734375,156.9966,76,1704.01,2051.84
77,16.0356,385000,-2666.734130859375,156.8415,77,1764.05,2098.12
78,15.8312,390000,-2731.01025390625,156.9726,78,1711.15,2066.54
79,15.8142,395000,-2787.3662109375,156.9277,79,1743.88,2056.25
80,16.3741,400000,-2831.826416015625,156.9865,80,1775.55,2089.33
81,15.8529,405000,-2892.8623046875,157.015,81,1732.85,2038.77
82,15.5122,410000,-2896.903564453125,156.7821,82,1760.64,2066.64
83,15.9273,415000,-2966.674560546875,156.9536,83,1789.95,2141.94
84,15.9505,420000,-2996.50439453125,156.8605,84,1739.15,2114.95
85,15.8514,425000,-3037.42822265625,156.9157,85,1759.21,2126.74
86,15.9546,430000,-3089.26416015625,156.9735,86,1775.15,2133.75
87,16.3146,435000,-3114.7529296875,156.9137,87,1839.05,2180.46
88,15.8343,440000,-3167.342041015625,156.8468,88,1779.43,2106.94
89,15.7233,445000,-3213.108154296875,156.7851,89,1822.72,2165.97
90,16.0126,450000,-3259.858154296875,156.8832,90,1790.51,2095.89
91,15.941,455000,-3328.05224609375,157.1165,91,1799.97,2111.08
92,15.8343,460000,-3371.375244140625,157.223,92,1791.42,2122.84
93,15.7123,465000,-3402.951416015625,156.7184,93,1800.06,2109.82
94,15.9878,470000,-3436.93115234375,156.8628,94,1788.11,2136.41
95,15.978,475000,-3532.688720703125,157.1137,95,1774.35,2140.79
96,16.0516,480000,-3547.941162109375,157.0227,96,1822.31,2139.22
97,15.6308,485000,-3590.464111328125,156.9006,97,1780.0,2130.29
98,15.6203,490000,-3640.6474609375,156.8354,98,1787.44,2143.4
99,16.0765,495000,-3689.455810546875,157.1126,99,1808.38,2173.92
100,15.8257,500000,-3736.819091796875,157.2995,100,1763.35,2069.72
