Real Sto Return,Running Reverse KL,Running Update Time,Reward Loss,Itration,Running Forward KL,Real Det Return,Running Env Steps
193.03,17.6753,0,-1400.5316162109375,0,32.8474,186.01,0
251.19,20.115,1,-1553.5799560546875,1,32.4636,252.57,5000
255.06,23.2128,2,-1650.9093017578125,2,32.7555,258.26,10000
288.62,17.6227,3,-1543.137451171875,3,31.3767,286.09,15000
297.08,17.5916,4,-1649.340087890625,4,31.2996,296.93,20000
308.57,17.8218,5,-1521.8782958984375,5,31.3798,314.71,25000
368.68,18.704,6,-1532.9918212890625,6,31.2751,372.24,30000
320.85,18.331,7,-1682.39892578125,7,30.7611,324.14,35000
448.05,22.1924,8,-1571.2274169921875,8,27.1796,581.51,40000
424.76,17.3414,9,-1591.3980712890625,9,27.1847,417.49,45000
581.17,18.948,10,-1638.4990234375,10,28.7168,632.32,50000
365.78,15.8312,11,-1787.1591796875,11,27.2424,359.67,55000
573.9,17.1283,12,-1667.8077392578125,12,27.8766,491.52,60000
603.91,18.0283,13,-1718.5509033203125,13,26.7752,592.92,65000
597.43,18.5751,14,-1713.263671875,14,26.9656,601.75,70000
602.76,17.268,15,-1750.1632080078125,15,28.2403,610.43,75000
649.4,20.397,16,-1928.8807373046875,16,27.5154,668.91,80000
640.9,20.0437,17,-1911.5672607421875,17,28.506,652.24,85000
645.99,21.3978,18,-1997.6651611328125,18,30.0463,661.57,90000
639.78,20.3613,19,-2072.07666015625,19,29.0444,654.62,95000
668.35,23.7752,20,-2110.58447265625,20,29.7452,675.35,100000
683.98,20.9909,21,-2122.113037109375,21,27.4414,688.08,105000
662.98,20.7665,22,-2132.549072265625,22,28.3931,664.45,110000
697.5,20.0684,23,-2182.271728515625,23,27.6229,684.42,115000
678.02,18.0254,24,-2219.83984375,24,27.4194,666.03,120000
762.64,20.6483,25,-2153.296630859375,25,27.5844,766.22,125000
523.94,21.8289,26,-2341.16064453125,26,27.5106,384.82,130000
761.32,22.2382,27,-2317.6044921875,27,26.9818,723.45,135000
739.92,22.9911,28,-2423.545166015625,28,27.3901,687.09,140000
761.29,20.5094,29,-2324.025390625,29,26.8674,771.05,145000
790.73,19.0951,30,-2263.384521484375,30,26.2464,879.21,150000
781.91,15.0826,31,-2177.84814453125,31,26.5408,711.05,155000
869.36,24.218,32,-2529.567138671875,32,26.4868,919.7,160000
845.46,21.3864,33,-2564.90966796875,33,26.6795,947.33,165000
903.45,20.2127,34,-2554.760009765625,34,26.4018,958.14,170000
823.85,16.1811,35,-2504.75537109375,35,27.2554,936.66,175000
722.97,21.4022,36,-2713.020263671875,36,27.4795,824.58,180000
736.24,21.6033,37,-2789.480712890625,37,27.2924,794.51,185000
885.0,21.9656,38,-2688.635986328125,38,27.063,942.08,190000
822.34,20.4345,39,-2680.906005859375,39,27.0993,920.35,195000
897.94,19.8679,40,-2688.63671875,40,28.0097,970.94,200000
1031.81,18.8125,41,-2567.606201171875,41,27.1592,1462.91,205000
893.35,20.4481,42,-2817.333251953125,42,27.5468,855.0,210000
960.06,19.8318,43,-2857.366943359375,43,27.5229,967.53,215000
1121.52,18.9531,44,-2741.81640625,44,27.3276,1011.67,220000
1007.58,20.953,45,-2886.961181640625,45,27.5694,1046.57,225000
1212.04,19.2212,46,-2630.719970703125,46,25.7376,1136.11,230000
1087.24,19.8426,47,-2707.933349609375,47,27.0395,1032.47,235000
1328.08,22.487,48,-2820.611328125,48,25.5076,1098.9,240000
1126.91,19.6338,49,-2915.72119140625,49,26.8114,1089.02,245000
1054.72,20.4897,50,-3095.064208984375,50,27.2768,1028.11,250000
1072.26,21.5845,51,-3021.01025390625,51,25.8703,1121.74,255000
1045.24,21.3439,52,-3176.7021484375,52,25.9472,1078.39,260000
1136.56,20.1684,53,-3092.1591796875,53,25.7908,1228.75,265000
1157.57,24.7693,54,-3133.3779296875,54,25.0531,1210.02,270000
1407.05,22.1931,55,-2877.32958984375,55,25.3943,1774.1,275000
1240.67,25.8139,56,-3060.71533203125,56,24.6357,1328.69,280000
1670.7,18.0966,57,-2572.9208984375,57,24.3378,2490.06,285000
1088.58,22.7859,58,-3468.173095703125,58,25.1724,1079.36,290000
933.57,19.4315,59,-3387.00048828125,59,26.2132,1096.49,295000
873.15,20.3196,60,-3661.2041015625,60,24.902,891.71,300000
1029.35,21.3622,61,-3526.120849609375,61,25.5392,1016.71,305000
955.04,24.3837,62,-3765.93212890625,62,25.002,1028.68,310000
1112.64,23.8224,63,-3679.201416015625,63,25.9254,1311.73,315000
1074.73,23.4595,64,-3683.23388671875,64,25.8637,1242.24,320000
1032.59,26.3641,65,-3708.17431640625,65,25.9244,1290.33,325000
1114.14,23.3034,66,-3568.881591796875,66,24.856,1589.55,330000
963.8,28.0967,67,-4002.44970703125,67,25.711,1036.35,335000
1067.6,23.2751,68,-3880.694091796875,68,25.2568,1096.27,340000
1158.51,23.8726,69,-3757.26123046875,69,25.0107,1483.28,345000
1156.26,26.0315,70,-3846.25537109375,70,24.672,1153.96,350000
1622.11,19.8288,71,-2668.025146484375,71,23.9172,2844.07,355000
1410.47,24.2048,72,-3521.363037109375,72,24.9535,2416.26,360000
1336.58,25.2805,73,-3807.050048828125,73,24.319,3126.76,365000
1682.0,21.1987,74,-2447.869140625,74,24.8527,1436.56,370000
1186.29,25.8833,75,-4275.75927734375,75,26.3071,1302.8,375000
1430.15,23.0971,76,-3610.406494140625,76,25.3787,2958.94,380000
1044.61,24.1153,77,-4086.52734375,77,25.6926,1038.3,385000
1330.11,22.1584,78,-3850.20849609375,78,25.4612,3243.96,390000
1252.52,21.4514,79,-4055.20458984375,79,24.8627,2780.32,395000
1109.1,20.9253,80,-4118.08203125,80,24.21,1261.37,400000
2068.37,18.4384,81,-3025.24169921875,81,25.0419,2875.75,405000
1310.1,19.4103,82,-4163.93701171875,82,25.6298,3197.62,410000
1071.63,21.1116,83,-4502.4443359375,83,24.8966,1111.37,415000
1751.25,18.0978,84,-2961.166015625,84,25.1294,2951.76,420000
777.32,18.5814,85,-2784.977294921875,85,25.5167,637.28,425000
1147.02,22.1423,86,-4190.501953125,86,25.4061,1200.72,430000
1060.59,25.1057,87,-4722.74560546875,87,24.1582,1196.34,435000
1166.75,23.3236,88,-4350.02392578125,88,25.5035,1440.83,440000
1348.32,21.2581,89,-4509.81494140625,89,25.246,1273.35,445000
993.72,27.8999,90,-4953.9287109375,90,25.6472,1118.88,450000
1724.5,20.5381,91,-3876.206787109375,91,25.5767,3092.02,455000
1948.59,20.4108,92,-3291.1162109375,92,25.0055,3103.41,460000
1151.5,23.0515,93,-4676.9609375,93,24.9223,1377.07,465000
1295.62,25.9694,94,-4643.458984375,94,25.8,1527.19,470000
1328.59,25.9766,95,-4534.7294921875,95,25.6608,1366.42,475000
1596.74,19.8757,96,-3580.2978515625,96,25.386,3070.98,480000
1537.94,22.17,97,-4433.08349609375,97,24.9996,1470.95,485000
1190.72,25.4711,98,-4755.48193359375,98,24.438,1247.47,490000
1348.56,26.6673,99,-4558.15771484375,99,25.9417,1309.29,495000
1417.34,25.0758,100,-4404.89697265625,100,24.8635,1657.2,500000
1393.97,27.3838,101,-4785.9658203125,101,25.837,1759.27,505000
1196.92,27.8765,102,-4998.59130859375,102,25.2911,1228.41,510000
1249.03,32.3591,103,-5205.6298828125,103,25.4773,1227.56,515000
1350.32,27.0454,104,-4868.81494140625,104,26.8128,1288.1,520000
1132.75,28.4578,105,-5346.61572265625,105,24.3777,1095.98,525000
1289.32,30.2656,106,-5185.74072265625,106,25.3138,1825.68,530000
1772.09,24.7972,107,-4273.97119140625,107,24.669,3255.24,535000
1374.09,27.7117,108,-4810.212890625,108,25.6224,1436.18,540000
1549.41,25.6973,109,-4568.43212890625,109,25.7377,3307.98,545000
1761.68,23.6881,110,-4663.7783203125,110,24.9835,3242.19,550000
1248.88,23.0216,111,-5280.35888671875,111,25.1413,1538.0,555000
1471.76,24.2605,112,-4518.78515625,112,25.1409,1919.11,560000
1311.32,30.3784,113,-5545.5439453125,113,24.9905,3012.25,565000
2203.74,22.2837,114,-3413.12451171875,114,24.9916,3244.2,570000
1734.91,25.6431,115,-4223.10009765625,115,24.1965,2270.57,575000
1412.15,24.0689,116,-5124.5634765625,116,24.1558,1591.85,580000
1401.93,26.102,117,-5760.0146484375,117,25.3714,1468.51,585000
1832.74,20.2214,118,-4734.8994140625,118,24.0469,3205.12,590000
1291.45,23.1345,119,-5759.39208984375,119,25.4639,1545.96,595000
1424.86,22.7029,120,-5192.88232421875,120,24.4351,1752.87,600000
1434.71,22.8998,121,-5493.6630859375,121,24.1269,1729.32,605000
1258.84,25.7205,122,-5948.98291015625,122,24.3327,1317.01,610000
1484.41,26.5486,123,-5388.6728515625,123,24.8454,2644.01,615000
1368.57,27.4108,124,-5727.61083984375,124,24.431,1935.69,620000
1418.52,23.666,125,-5354.43701171875,125,24.9543,1709.95,625000
1566.93,23.1052,126,-5511.984375,126,24.1864,2044.57,630000
1205.79,25.0503,127,-5935.234375,127,24.5342,1352.08,635000
1388.43,20.519,128,-5749.044921875,128,23.666,1578.01,640000
1508.26,20.2053,129,-5264.966796875,129,24.3169,1573.08,645000
1272.48,21.6824,130,-6100.701171875,130,24.0638,1386.75,650000
1303.39,17.7181,131,-6122.32568359375,131,23.5646,1393.77,655000
1356.78,20.2145,132,-6115.99951171875,132,24.4072,1606.38,660000
1470.75,19.7565,133,-6022.52001953125,133,23.782,1457.19,665000
1179.55,19.4112,134,-6367.38134765625,134,24.5833,1333.92,670000
1212.92,19.3966,135,-6308.09130859375,135,24.1571,1263.2,675000
1288.32,23.0577,136,-6319.61669921875,136,24.7856,1345.19,680000
1709.62,16.8546,137,-4882.62353515625,137,23.125,3126.99,685000
1479.84,24.5057,138,-6452.43115234375,138,24.7418,1673.32,690000
1382.23,17.3193,139,-6111.00732421875,139,23.5836,2394.53,695000
1492.51,16.2051,140,-6257.1005859375,140,23.794,2341.37,700000
1682.94,18.0999,141,-6029.91015625,141,23.6922,1554.51,705000
1324.15,19.4015,142,-6297.595703125,142,23.8189,1665.97,710000
1331.96,14.6492,143,-5804.388671875,143,23.8088,1698.78,715000
1386.07,16.566,144,-6430.4990234375,144,23.7961,1763.77,720000
1289.16,15.6232,145,-6466.310546875,145,23.7956,1504.0,725000
1776.33,13.0708,146,-4890.17529296875,146,23.1837,3253.86,730000
1348.0,14.1196,147,-5866.18115234375,147,22.5265,2504.41,735000
1339.01,15.5297,148,-6566.248046875,148,24.364,1654.14,740000
1410.13,13.2445,149,-6226.25146484375,149,24.8933,1675.68,745000
1624.62,13.4828,150,-5658.3232421875,150,23.0417,2361.35,750000
1367.09,19.9877,151,-6891.427734375,151,24.8203,1635.94,755000
1316.45,14.5018,152,-6677.21337890625,152,24.4929,1444.29,760000
1668.99,21.0131,153,-6460.10693359375,153,23.6045,2075.59,765000
1354.26,17.0499,154,-7073.41455078125,154,23.5725,1903.82,770000
1356.21,16.0266,155,-7164.2939453125,155,23.6741,1481.48,775000
1554.06,15.6051,156,-6188.25146484375,156,23.8763,2301.47,780000
1635.84,13.169,157,-4857.05419921875,157,22.6306,2080.69,785000
1472.78,13.5064,158,-6389.1826171875,158,23.8974,1571.8,790000
1628.85,14.2985,159,-5883.89501953125,159,23.2145,2339.96,795000
1467.38,15.2998,160,-6513.9140625,160,23.7778,2038.83,800000
1354.01,15.2853,161,-6474.44287109375,161,24.106,2034.22,805000
1662.1,14.9228,162,-6097.513671875,162,24.6024,2165.5,810000
1668.33,13.3813,163,-6490.5439453125,163,23.6503,3304.7,815000
1696.37,13.9865,164,-5259.7080078125,164,24.8743,3305.74,820000
1470.85,12.5172,165,-5654.43408203125,165,22.7101,3098.9,825000
1577.96,17.7814,166,-6503.25,166,23.8383,3186.51,830000
1906.18,17.7022,167,-6053.88671875,167,24.3484,2001.24,835000
1570.69,15.7774,168,-6630.89794921875,168,23.9056,1789.96,840000
1877.02,14.9346,169,-5138.9521484375,169,23.4802,2595.11,845000
1381.57,15.5583,170,-6943.9521484375,170,23.7236,1161.73,850000
1441.84,14.3548,171,-6747.77685546875,171,24.0311,2881.25,855000
1616.44,13.9481,172,-7232.9453125,172,23.9674,2688.64,860000
1253.49,14.8917,173,-7531.6005859375,173,24.0556,1706.97,865000
1335.2,14.2113,174,-6762.6142578125,174,24.5207,1573.57,870000
1567.32,15.3436,175,-7481.98828125,175,23.8419,3066.38,875000
