Running Forward KL,Real Sto Return,Itration,Real Det Return,Running Reverse KL
76.7623,-49.14,0,325.79,26.4915
74.6708,-116.58,1,356.72,25.8393
73.6551,-67.19,2,413.49,26.6195
72.9133,8.01,3,479.98,28.1827
71.054,38.57,4,658.24,27.9645
72.0442,38.37,5,577.1,28.6656
71.5441,80.05,6,535.49,29.2662
69.4757,172.58,7,952.92,29.697
67.4225,157.24,8,1055.3,28.0175
69.5903,177.0,9,849.43,28.863
69.7817,175.13,10,865.37,29.5639
66.1257,189.18,11,937.02,28.5638
66.9755,168.05,12,957.36,29.099
66.6353,143.64,13,863.59,28.7198
67.8702,224.09,14,868.49,29.0344
68.7317,151.99,15,623.67,29.8212
67.4039,213.46,16,881.81,28.8224
68.6715,213.19,17,629.87,29.0199
64.3389,239.08,18,965.53,27.7385
70.7815,202.19,19,971.21,30.2428
63.4493,326.67,20,1019.12,28.1561
59.8132,325.71,21,1179.43,26.7881
64.5384,301.6,22,849.34,28.0516
64.6734,223.06,23,896.34,28.7296
62.9456,371.61,24,1093.4,27.1814
64.4249,382.95,25,1074.22,28.7948
69.1488,272.6,26,894.21,29.4253
67.0318,281.78,27,986.44,28.7071
68.8396,236.03,28,964.95,29.7972
66.4041,216.38,29,953.37,28.3411
66.5807,196.2,30,835.27,28.9198
68.4798,208.05,31,873.68,29.3674
64.7481,296.34,32,973.28,28.5675
64.8713,279.97,33,992.8,28.6319
69.8294,254.17,34,921.02,30.618
65.3359,239.47,35,974.25,28.939
65.3373,288.13,36,959.25,28.8379
59.9408,335.92,37,1221.99,25.9413
66.7862,261.04,38,950.38,28.9238
69.5827,276.42,39,1008.35,29.9459
68.072,223.65,40,826.9,29.6648
64.3088,313.58,41,1036.26,27.957
61.554,323.27,42,975.69,26.6434
65.9019,375.03,43,940.07,29.4829
66.5284,226.01,44,934.99,28.92
65.8976,326.39,45,929.42,28.5393
65.841,298.57,46,1027.11,28.5995
59.7391,469.53,47,1089.19,26.146
63.0558,336.94,48,1130.89,27.0621
62.7174,409.02,49,968.09,27.5519
59.39,494.0,50,1096.84,26.3965
65.3535,396.3,51,1006.53,28.4683
61.5864,360.86,52,974.2,26.7481
63.3014,606.51,53,1349.78,27.427
63.7764,377.9,54,1055.9,28.0623
62.8217,443.09,55,941.77,26.8377
58.279,678.74,56,1222.65,24.9346
62.0436,494.98,57,1054.06,26.3917
56.591,722.9,58,1621.07,25.1329
60.7546,687.98,59,1153.76,26.2228
62.0913,598.01,60,1093.61,27.2763
59.5574,483.17,61,955.24,25.7507
57.3375,973.37,62,1657.56,25.1939
58.6205,769.03,63,906.13,25.3299
55.9247,689.99,64,1506.67,23.8787
61.5953,429.96,65,1043.21,26.4888
59.5932,460.08,66,1240.42,25.8165
50.5297,975.11,67,1661.56,20.7803
55.1284,988.69,68,1804.5,23.4977
57.7745,793.61,69,1018.42,24.5977
60.6681,475.6,70,1003.1,25.7875
53.6434,748.63,71,1393.45,22.1711
52.7694,1091.31,72,2247.54,22.771
56.2108,1078.38,73,1898.7,23.3373
52.6251,1323.75,74,2379.11,22.2339
