Running Forward KL,Running Env Steps,Running Reverse KL,Real Sto Return,Itration,Running Update Time,Real Det Return,Reward Loss
438.1691,0,274.959,395.97,0,0,391.51,-5361.24853515625
432.0526,5000,306.2494,305.63,1,1,272.83,-5023.95263671875
410.9397,10000,301.5428,398.01,2,2,434.6,-5150.99560546875
416.3937,15000,342.7613,358.09,3,3,474.03,-5390.1484375
415.6913,20000,274.8762,372.43,4,4,524.95,-6078.92529296875
398.2839,25000,356.041,415.61,5,5,461.93,-6095.658203125
407.0013,30000,296.4595,359.49,6,6,348.66,-6937.26904296875
395.3636,35000,275.5771,477.13,7,7,483.35,-6889.87939453125
401.8904,40000,257.7337,445.63,8,8,532.74,-6643.552734375
398.832,45000,285.8871,481.04,9,9,472.6,-6981.58251953125
402.5472,50000,313.1311,485.36,10,10,523.26,-7111.99560546875
392.319,55000,276.6829,612.6,11,11,589.7,-7430.07275390625
384.7379,60000,280.3207,631.02,12,12,637.35,-7163.29736328125
381.5973,65000,234.4375,600.84,13,13,589.29,-6845.50634765625
393.1488,70000,261.1189,567.61,14,14,532.91,-7130.87353515625
391.0476,75000,284.1935,663.33,15,15,642.49,-8011.00927734375
384.3399,80000,289.6547,755.1,16,16,617.3,-8218.083984375
376.4492,85000,256.4928,903.97,17,17,750.0,-8438.044921875
391.3524,90000,248.2261,726.96,18,18,753.56,-8508.76171875
374.1337,95000,252.254,782.4,19,19,599.07,-8550.9375
377.1336,100000,246.6413,669.66,20,20,664.51,-8834.9931640625
388.5789,105000,257.6412,732.58,21,21,613.49,-8977.4287109375
379.8322,110000,231.8109,1002.04,22,22,942.82,-9326.216796875
385.4182,115000,265.4962,896.45,23,23,922.5,-9570.0390625
367.5369,120000,250.8578,1320.08,24,24,1080.19,-8877.076171875
357.389,125000,238.5528,1222.23,25,25,929.5,-8987.5126953125
356.9598,130000,241.3419,1896.63,26,26,1408.31,-8737.71484375
343.4071,135000,212.8003,1565.19,27,27,1810.36,-7397.72900390625
354.2014,140000,246.7566,1531.24,28,28,1060.41,-9032.2080078125
361.5114,145000,223.7026,1374.17,29,29,875.91,-9265.314453125
356.4398,150000,220.724,1456.73,30,30,1066.23,-8648.4267578125
348.2037,155000,197.7305,2014.56,31,31,1172.74,-8026.083984375
346.8824,160000,168.7738,1670.95,32,32,2822.33,-7094.15283203125
341.2831,165000,169.8713,2885.19,33,33,1704.02,-6550.7939453125
341.9981,170000,195.0237,1632.46,34,34,1715.43,-7851.33642578125
351.1026,175000,215.8767,2349.73,35,35,1770.7,-8286.3525390625
353.8595,180000,197.6414,2128.86,36,36,1976.31,-8565.4267578125
356.8437,185000,192.2717,1646.1,37,37,1390.84,-8472.2568359375
357.447,190000,211.4678,2792.06,38,38,1290.91,-8408.1259765625
349.4446,195000,193.7782,2883.26,39,39,1352.09,-7822.71728515625
342.1881,200000,187.5667,3133.68,40,40,2513.23,-6655.0517578125
349.2334,205000,191.817,2337.55,41,41,1191.95,-7737.26953125
338.5909,210000,175.3074,3203.19,42,42,1309.4,-7134.6181640625
347.5214,215000,167.0318,3001.41,43,43,1408.17,-6397.17333984375
360.209,220000,218.2302,2469.45,44,44,1847.18,-9032.2548828125
352.7108,225000,228.1384,2779.63,45,45,2082.62,-9670.4765625
343.4568,230000,163.2357,2423.38,46,46,2797.51,-7096.2919921875
339.3932,235000,159.1859,3883.69,47,47,1977.22,-5457.33154296875
340.2695,240000,161.7433,2140.05,48,48,920.56,-6675.87646484375
344.3756,245000,179.167,2782.4,49,49,1455.57,-7211.6806640625
338.3019,250000,177.9048,3361.96,50,50,4147.37,-6879.7626953125
334.6269,255000,136.3125,4561.36,51,51,4540.35,-5832.9697265625
340.6935,260000,165.3847,3185.72,52,52,3162.74,-6392.91796875
343.5062,265000,158.6719,4169.83,53,53,4375.96,-5593.79150390625
332.4431,270000,143.821,3982.78,54,54,638.48,-6248.9853515625
334.4026,275000,140.1499,3944.64,55,55,3457.53,-6208.26953125
335.8613,280000,144.0263,3925.96,56,56,4184.92,-5554.755859375
336.4375,285000,139.822,4065.99,57,57,5145.22,-6135.67236328125
