Running Update Time,Running Forward KL,Running Env Steps,Reward Loss,Real Sto Return,Real Det Return,Itration,Running Reverse KL
0,75.7028,0,8.838638305664062,-108.92,351.58,0,24.7909
1,74.7725,5000,5.579158782958984,-23.73,525.17,1,26.7869
2,73.2595,10000,-2.551861047744751,-7.39,618.62,2,27.5793
3,73.0011,15000,-11.76331901550293,27.39,646.33,3,28.2016
4,72.8718,20000,-28.53928565979004,44.02,622.58,4,28.9052
5,71.1873,25000,-33.38728713989258,116.84,625.15,5,29.9394
6,70.3376,30000,-43.23094940185547,119.17,688.66,6,29.3026
7,73.5502,35000,-52.54829025268555,102.56,642.7,7,31.323
8,72.4808,40000,-67.24713897705078,102.14,638.6,8,30.7594
9,73.6074,45000,-77.90361022949219,148.1,514.35,9,31.1656
10,73.8451,50000,-90.7184066772461,163.56,571.34,10,31.4211
11,72.273,55000,-104.83554077148438,105.83,481.31,11,30.6053
12,71.2918,60000,-116.92515563964844,220.06,812.46,12,31.34
13,73.7163,65000,-129.90235900878906,134.23,598.15,13,30.923
14,72.8833,70000,-141.06210327148438,219.22,767.91,14,30.9331
15,72.5149,75000,-152.82452392578125,159.73,599.42,15,30.6026
16,72.7301,80000,-169.11221313476562,143.29,565.49,16,30.696
17,72.7598,85000,-180.2012176513672,198.11,525.11,17,30.7425
18,75.2165,90000,-188.85731506347656,150.52,851.94,18,31.3639
19,72.39,95000,-204.4384765625,171.67,847.93,19,30.3842
20,72.824,100000,-219.7854461669922,178.74,915.11,20,30.866
21,71.7074,105000,-226.111328125,207.44,693.84,21,30.6455
22,73.9253,110000,-244.56280517578125,165.36,712.66,22,31.4781
23,73.2943,115000,-248.9898681640625,186.96,950.42,23,31.1797
24,70.6157,120000,-260.73138427734375,206.16,805.67,24,30.7384
25,72.8824,125000,-280.58160400390625,214.95,904.01,25,30.884
26,73.2563,130000,-283.68682861328125,232.87,996.83,26,30.8654
27,73.503,135000,-301.40203857421875,175.2,952.09,27,31.1444
28,73.6858,140000,-319.6956481933594,217.33,905.27,28,31.0408
29,74.0873,145000,-339.1384582519531,201.89,894.72,29,31.337
30,74.8044,150000,-344.3764343261719,150.65,899.19,30,31.0878
31,72.9631,155000,-354.3677062988281,155.06,708.63,31,30.7249
32,73.8626,160000,-369.4311828613281,225.08,872.72,32,31.0929
33,74.4373,165000,-383.4188232421875,255.24,857.7,33,31.4453
34,73.6183,170000,-396.0694274902344,256.88,994.34,34,30.8516
35,73.3072,175000,-406.931884765625,262.13,906.64,35,31.1791
36,73.5335,180000,-414.7302551269531,200.93,859.98,36,31.2462
37,74.9627,185000,-437.580810546875,206.36,705.22,37,31.5439
38,74.9329,190000,-448.2608947753906,229.1,999.91,38,31.5599
39,74.4955,195000,-465.6130676269531,209.79,869.41,39,30.645
40,73.7282,200000,-474.3238220214844,257.73,827.11,40,30.965
41,73.8129,205000,-489.17181396484375,220.22,903.25,41,30.5713
42,72.4231,210000,-495.7264099121094,252.74,798.57,42,30.995
43,73.8115,215000,-519.4730834960938,239.69,779.58,43,30.9278
44,72.9269,220000,-533.0878295898438,213.36,900.87,44,31.1371
45,72.7071,225000,-541.1973266601562,298.04,918.73,45,30.7649
46,73.5557,230000,-567.5801391601562,238.63,779.45,46,30.9754
47,72.9233,235000,-574.8729248046875,258.9,627.1,47,30.8997
48,73.7582,240000,-595.98046875,215.32,880.42,48,31.2374
49,71.6726,245000,-604.0612182617188,248.0,812.3,49,30.4355
50,73.8654,250000,-628.459228515625,260.38,808.25,50,31.2148
51,74.0401,255000,-643.5216674804688,312.75,915.55,51,31.2558
52,75.0077,260000,-654.08642578125,242.77,845.65,52,31.2544
53,72.9866,265000,-664.4754638671875,263.39,917.41,53,30.9207
54,73.4034,270000,-684.2970581054688,251.81,815.72,54,30.9957
55,73.6108,275000,-697.0291137695312,239.53,962.34,55,31.0808
56,74.3781,280000,-720.6368408203125,281.55,887.99,56,31.5861
57,73.8221,285000,-734.9069213867188,295.26,830.27,57,31.1618
58,74.6511,290000,-747.4069213867188,294.85,1004.57,58,31.2321
59,74.2646,295000,-759.4052734375,278.71,916.27,59,31.1811
60,73.5095,300000,-778.5925903320312,265.07,880.27,60,31.1559
61,73.7396,305000,-799.615478515625,233.42,967.68,61,30.7555
62,71.9696,310000,-810.0643310546875,236.29,770.75,62,30.5894
63,74.6669,315000,-845.6398315429688,261.28,815.82,63,31.4785
64,72.8328,320000,-850.7959594726562,229.91,957.57,64,30.7039
65,74.3981,325000,-873.1858520507812,261.77,876.63,65,31.0305
66,73.4495,330000,-883.2072143554688,317.79,879.71,66,30.8972
67,74.0066,335000,-903.7650756835938,282.69,701.34,67,30.8836
68,73.2795,340000,-920.5245361328125,225.54,923.43,68,31.1551
69,74.1232,345000,-948.3953857421875,226.41,927.42,69,30.8382
70,71.7961,350000,-943.5407104492188,276.0,907.23,70,29.9142
71,72.8023,355000,-993.814453125,279.17,802.78,71,30.9348
72,74.5213,360000,-1008.4393310546875,325.47,906.84,72,31.1489
