Running Update Time,Running Reverse KL,Running Forward KL,Itration,Real Det Return,Running Env Steps,Real Sto Return,Reward Loss
0,31.299,34.9512,0,114.72,0,116.29,855.19091796875
1,16.7349,31.6606,1,278.34,5000,265.67,284.27154541015625
2,26.4914,31.8112,2,284.52,10000,274.23,264.4126892089844
3,63.2769,31.6583,3,248.82,15000,262.84,310.79705810546875
4,43.6889,30.8087,4,275.52,20000,259.3,281.5796203613281
5,13.5069,29.9278,5,341.77,25000,342.49,327.6488037109375
6,17.8437,28.9327,6,616.12,30000,615.89,194.89422607421875
7,48.3877,28.611,7,282.88,35000,319.8,174.659423828125
8,27.1457,26.8224,8,377.95,40000,322.85,60.615116119384766
9,20.1573,29.3919,9,311.9,45000,342.69,-4.856649398803711
10,12.7615,26.8753,10,845.84,50000,579.06,121.55094909667969
11,13.4608,26.9713,11,462.93,55000,603.95,-25.193862915039062
12,16.2098,26.3005,12,376.13,60000,476.12,-47.19847106933594
13,15.4154,25.925,13,581.64,65000,628.04,128.4224090576172
14,14.8139,25.8029,14,799.48,70000,1176.88,37.31587600708008
15,20.9609,25.2839,15,854.21,75000,1150.24,-168.1334686279297
16,25.8387,23.7435,16,541.24,80000,611.26,-195.33399963378906
17,30.3745,27.1448,17,830.75,85000,919.58,-324.042724609375
18,22.3717,27.504,18,588.79,90000,739.75,-269.14697265625
19,13.9383,27.4202,19,912.19,95000,653.61,6.758913993835449
20,38.924,25.2713,20,228.83,100000,1289.49,-97.63693237304688
21,24.3203,25.129,21,875.75,105000,1243.51,-192.83799743652344
22,14.7821,25.8584,22,1221.93,110000,892.01,-80.31462097167969
23,16.884,27.7613,23,950.09,115000,943.69,-124.08006286621094
24,17.3778,25.2128,24,741.0,120000,990.46,-453.13494873046875
25,16.8519,24.9179,25,1370.05,125000,1250.55,-485.470947265625
26,12.1084,23.5946,26,2631.51,130000,1941.74,-248.07252502441406
27,12.7573,24.2532,27,851.91,135000,1494.56,-73.67057800292969
28,13.5701,22.5982,28,798.06,140000,884.23,-326.75714111328125
29,20.2107,24.3102,29,311.37,145000,600.14,-606.4945678710938
30,14.4298,22.9383,30,1832.3,150000,2112.11,-364.8705749511719
31,11.3431,23.5771,31,1705.23,155000,1554.33,-239.3631591796875
32,12.8017,23.9235,32,770.35,160000,1257.08,-389.8632507324219
33,14.6101,25.0343,33,1312.21,165000,1144.3,-540.90478515625
34,11.4537,24.8881,34,2165.49,170000,1185.19,-164.81793212890625
35,12.0592,25.5206,35,978.5,175000,1312.35,-402.5627746582031
36,11.311,23.868,36,948.05,180000,1414.91,-250.6340789794922
37,12.3208,25.3188,37,1075.96,185000,1292.1,-555.413818359375
38,12.6551,25.0094,38,101.74,190000,1059.63,-609.6959838867188
39,10.9154,23.3005,39,1655.92,195000,1410.1,-373.6409912109375
40,11.3277,24.1899,40,964.28,200000,1262.2,-374.157470703125
41,10.6424,23.6758,41,2276.95,205000,1551.72,-332.24072265625
42,11.7335,21.9067,42,2808.17,210000,2006.95,-318.1452941894531
43,13.6716,22.9084,43,2854.85,215000,1538.66,-373.8434143066406
44,32.4892,21.9243,44,2968.05,220000,1875.01,-341.9715576171875
45,11.9598,23.0512,45,1353.74,225000,1540.74,-357.42156982421875
46,15.2359,23.2491,46,989.29,230000,1938.95,-441.1602478027344
47,37.4061,25.1007,47,2002.1,235000,2058.6,-628.7794799804688
48,14.0944,23.7144,48,2721.39,240000,1386.29,-404.4454040527344
49,12.026,22.2936,49,86.39,245000,1620.89,-341.9328918457031
50,11.738,21.7746,50,1235.32,250000,1389.26,-292.7364501953125
51,12.7522,23.4611,51,1181.03,255000,1856.41,-534.4406127929688
52,10.6759,21.8326,52,1861.98,260000,1909.48,-338.47454833984375
53,12.5679,22.116,53,1252.7,265000,1482.85,-475.86614990234375
54,13.9059,22.331,54,67.28,270000,836.34,-499.3838806152344
55,11.1913,20.8338,55,1187.35,275000,1713.16,-405.47637939453125
56,12.1561,22.2491,56,2607.48,280000,1600.35,-620.6580200195312
57,14.7241,22.1759,57,2147.35,285000,1225.25,-666.55224609375
58,11.5231,24.1061,58,2451.6,290000,1220.24,-621.961669921875
59,10.5289,21.5237,59,1315.56,295000,2048.74,-551.513671875
60,12.2742,21.6619,60,1538.44,300000,1422.22,-702.5242309570312
61,11.672,21.4311,61,2662.68,305000,1605.93,-690.765380859375
62,15.9041,21.2699,62,1145.85,310000,1668.07,-699.729248046875
63,11.9581,21.9629,63,2401.28,315000,1128.36,-541.7254638671875
64,11.1531,22.0858,64,2357.81,320000,2255.91,-770.7653198242188
65,11.325,21.0857,65,3032.17,325000,1556.25,-575.6666870117188
66,12.894,23.676,66,155.68,330000,946.82,-904.4937133789062
67,10.7184,22.2699,67,1317.68,335000,1584.16,-671.7527465820312
68,12.8992,22.5494,68,1958.67,340000,1600.34,-886.2520141601562
69,11.0708,23.1404,69,1139.65,345000,739.76,-886.60205078125
70,11.1196,22.5021,70,2383.24,350000,1541.43,-1032.19091796875
71,11.8775,23.7131,71,1702.08,355000,1098.06,-1011.48583984375
72,14.8743,22.5513,72,596.74,360000,908.32,-1277.6043701171875
73,13.0607,23.7223,73,2372.55,365000,2046.68,-1273.5228271484375
74,11.9079,22.2867,74,1303.62,370000,1156.66,-1146.6634521484375
75,10.862,21.0414,75,1165.79,375000,1153.57,-906.080078125
76,16.5555,22.5711,76,455.14,380000,920.15,-1106.0364990234375
77,16.476,23.0344,77,2883.82,385000,1764.57,-1269.032470703125
78,13.5084,23.1532,78,2840.93,390000,1552.64,-1406.15234375
79,10.7019,21.584,79,2785.12,395000,1090.77,-896.457763671875
80,10.9249,21.0169,80,164.93,400000,2107.96,-607.4678344726562
81,25.8038,22.9538,81,2726.88,405000,1740.72,-1325.876708984375
82,16.3045,23.3058,82,1825.87,410000,1594.62,-1442.3460693359375
83,11.7357,24.1148,83,611.49,415000,1019.99,-1201.1884765625
84,13.8928,22.0653,84,3211.01,420000,1820.77,-1152.575439453125
85,11.3614,21.3606,85,2603.63,425000,1801.97,-1219.279052734375
86,11.2061,22.0462,86,2240.25,430000,1841.23,-1236.08642578125
87,10.4747,22.0273,87,1935.57,435000,1226.29,-1118.374267578125
88,20.3304,23.304,88,2124.87,440000,1259.2,-1696.9310302734375
89,13.4522,22.5502,89,2236.65,445000,1974.99,-1525.1290283203125
90,16.0392,22.8135,90,2331.16,450000,1266.04,-1598.0225830078125
91,19.6561,21.7635,91,2815.34,455000,1489.05,-1297.724609375
92,14.0596,21.4009,92,3098.98,460000,1788.28,-1336.53564453125
93,11.2476,22.2685,93,872.93,465000,1343.77,-1324.8212890625
94,12.4929,22.8526,94,2069.49,470000,1552.96,-1415.27783203125
95,11.383,23.8764,95,1172.7,475000,1281.89,-1493.7957763671875
96,11.4774,22.8938,96,1626.76,480000,822.13,-1406.016357421875
97,11.679,24.4273,97,1351.48,485000,951.27,-1563.9959716796875
98,10.8152,22.102,98,3164.58,490000,1293.83,-1405.0537109375
99,238.8517,38.5663,99,-1.74,495000,-1.85,-2259.36328125
100,9.9748,20.8154,100,3331.08,500000,1884.48,-894.2727661132812
101,10.8194,21.3196,101,2762.5,505000,1454.71,-1491.269775390625
102,33.2161,24.7952,102,846.34,510000,566.76,-2130.59130859375
103,11.2979,23.2011,103,2138.76,515000,1606.49,-1403.1798095703125
104,20.3816,23.1898,104,1131.29,520000,1123.63,-1803.778076171875
105,23.2245,22.2684,105,454.3,525000,758.39,-1893.0657958984375
106,14.7621,24.5648,106,1123.85,530000,1167.15,-2399.774169921875
107,27.766,22.2227,107,1230.24,535000,1241.37,-2358.49853515625
108,25.1992,22.982,108,1066.19,540000,1124.88,-1945.5457763671875
109,24.3473,24.8389,109,1197.49,545000,1074.29,-2050.83740234375
110,14.2919,23.5139,110,1361.14,550000,1047.47,-1567.2965087890625
