Running Update Time,Reward Loss,Real Det Return,Running Env Steps,Itration,Running Reverse KL,Real Sto Return,Running Forward KL
0,178.08334350585938,391.9,0,0,25.3844,-61.47,74.7705
1,171.69729614257812,441.83,5000,1,24.3371,-97.36,73.172
2,91.64485931396484,508.92,10000,2,25.8811,-39.85,71.5193
3,67.51742553710938,699.84,15000,3,25.8706,-1.44,72.4142
4,21.678579330444336,514.81,20000,4,26.9823,32.37,71.6555
5,-60.56016540527344,651.29,25000,5,26.8594,41.98,70.1582
6,-96.72197723388672,833.26,30000,6,27.878,38.83,69.5732
7,-162.5806121826172,640.15,35000,7,27.6852,96.72,69.5096
8,-222.5737762451172,802.76,40000,8,28.3156,119.01,68.5799
9,-284.31378173828125,849.86,45000,9,29.5334,205.08,68.648
10,-314.3475646972656,769.11,50000,10,29.7422,178.57,68.005
11,-392.0226745605469,657.97,55000,11,30.3591,198.19,68.9849
12,-426.76641845703125,1042.76,60000,12,28.5067,255.78,65.4517
13,-483.2190246582031,808.49,65000,13,28.8406,251.02,66.4132
14,-485.74188232421875,1138.1,70000,14,27.3056,325.06,64.4753
15,-617.263916015625,735.16,75000,15,28.8316,229.36,66.3345
16,-669.1382446289062,969.68,80000,16,28.9256,276.7,66.6218
17,-668.6878662109375,1004.55,85000,17,26.219,441.01,62.4018
18,-743.541015625,1290.9,90000,18,27.9508,371.69,64.9639
19,-756.2342529296875,911.43,95000,19,25.9858,236.05,60.5954
20,-881.91259765625,1008.35,100000,20,27.2718,247.91,63.7093
21,-922.0225830078125,1170.99,105000,21,27.2693,338.29,65.3839
22,-1006.7059326171875,796.89,110000,22,29.0595,333.13,66.9912
23,-983.1909790039062,1186.72,115000,23,26.2173,300.09,62.5479
24,-1104.213623046875,1118.6,120000,24,27.7203,486.32,64.4582
25,-1152.7991943359375,823.79,125000,25,27.4243,403.76,63.5543
26,-1193.66748046875,1147.1,130000,26,26.613,392.38,62.9065
27,-1054.8001708984375,968.03,135000,27,23.963,396.51,57.8269
28,-1204.3387451171875,1529.49,140000,28,25.2704,599.88,58.6797
29,-1149.9893798828125,1923.9,145000,29,24.2566,959.16,56.7652
30,-1180.972412109375,1618.43,150000,30,23.0054,655.44,55.0387
31,-1351.9100341796875,1642.01,155000,31,25.4571,756.51,57.979
32,-1263.0948486328125,1433.69,160000,32,24.4916,839.43,57.191
33,-1325.198974609375,1829.21,165000,33,24.2219,917.11,56.5713
34,-1374.8087158203125,1762.52,170000,34,24.2089,774.81,56.6877
35,-1548.1490478515625,1293.38,175000,35,25.0455,774.54,59.6586
36,-1553.716064453125,1512.47,180000,36,24.0103,910.35,57.2315
37,-1359.222900390625,2430.89,185000,37,24.5698,1090.92,54.6179
38,-1398.8897705078125,2034.21,190000,38,22.6562,1020.93,53.664
39,-1461.6412353515625,2417.87,195000,39,23.3539,1151.42,54.5163
40,-1386.884033203125,1430.03,200000,40,23.5272,749.2,54.062
41,-1473.4608154296875,1591.2,205000,41,22.1616,862.43,54.381
42,-1697.589599609375,2191.3,210000,42,24.9017,1427.63,56.719
43,-1664.9061279296875,2059.01,215000,43,24.106,1051.87,54.1674
44,-1576.65966796875,2538.27,220000,44,22.3031,1160.37,51.5071
45,-1398.8585205078125,1918.55,225000,45,24.1492,1442.19,52.3358
