Itration,Running Update Time,Running Env Steps,Real Det Return,Running Reverse KL,Running Forward KL,Reward Loss,Real Sto Return
0,0,0,-61.13,11.521,158.5359,40.55187225341797,-216.51
1,1,5000,15.99,11.7156,158.5474,-6.4985456466674805,-141.15
2,2,10000,628.03,12.2131,158.4529,-30.484617233276367,18.8
3,3,15000,688.58,13.2994,158.4229,-72.13434600830078,278.57
4,4,20000,821.45,14.4982,158.2204,-135.32000732421875,473.21
5,5,25000,879.52,14.37,158.1564,-135.89419555664062,544.75
6,6,30000,1018.63,13.9536,157.9709,-169.6060333251953,622.14
7,7,35000,861.15,14.3462,158.0594,-175.87745666503906,654.72
8,8,40000,1177.95,14.6065,157.8886,-207.92803955078125,776.08
9,9,45000,1255.17,15.2068,157.9096,-221.1183319091797,926.45
10,10,50000,1462.11,15.5006,157.8031,-270.2724304199219,1019.95
11,11,55000,1609.66,16.1576,157.9275,-294.66546630859375,1180.27
12,12,60000,1589.33,16.386,157.7861,-319.5681457519531,1177.71
13,13,65000,1638.33,16.6949,157.9274,-363.2102966308594,1236.84
14,14,70000,1622.22,16.8372,158.1696,-386.5526428222656,1263.72
15,15,75000,1650.53,16.5047,157.7248,-425.7377014160156,1303.18
16,16,80000,1688.67,16.6367,157.9326,-459.7015075683594,1297.53
17,17,85000,1757.43,16.5946,157.7576,-483.5906677246094,1359.78
18,18,90000,1739.61,16.7866,157.6315,-533.8104858398438,1387.58
19,19,95000,1778.66,16.5505,157.8269,-538.6664428710938,1385.07
20,20,100000,1805.67,16.7373,157.8675,-575.6393432617188,1443.56
21,21,105000,1840.99,16.6794,157.7924,-616.1567993164062,1471.0
22,22,110000,1850.96,16.7464,157.8894,-635.660400390625,1503.14
23,23,115000,1798.87,16.492,157.8484,-644.0020751953125,1476.42
24,24,120000,1851.01,16.7057,157.9229,-701.099853515625,1525.42
25,25,125000,1814.2,16.6508,157.8837,-716.705810546875,1478.2
26,26,130000,1932.36,16.8582,157.6311,-756.0304565429688,1551.5
27,27,135000,1860.32,16.9247,158.0522,-779.9586181640625,1565.8
28,28,140000,1923.61,16.5185,157.5845,-802.3512573242188,1558.95
29,29,145000,1929.63,16.5841,157.8054,-835.8895263671875,1588.53
30,30,150000,1934.82,16.6562,157.8521,-865.3790893554688,1592.11
31,31,155000,1979.63,16.3814,157.6303,-894.5220947265625,1609.52
32,32,160000,1960.87,16.352,157.4072,-925.0598754882812,1652.05
