Running Update Time,Itration,Reward Loss,Real Sto Return,Real Det Return,Running Reverse KL,Running Forward KL,Running Env Steps
0,0,314.0459899902344,181.67,183.9,30.223,34.4665,0
1,1,204.0061492919922,247.2,233.35,25.5412,31.3256,5000
2,2,219.73561096191406,238.59,237.26,17.6974,31.2412,10000
3,3,241.5373992919922,291.41,283.07,15.4183,30.8434,15000
4,4,223.0516357421875,310.77,315.3,16.1828,30.6416,20000
5,5,177.88209533691406,343.9,349.51,15.34,30.6293,25000
6,6,79.24431610107422,286.49,350.76,15.8258,30.8556,30000
7,7,47.48104476928711,336.86,345.67,15.7059,31.3655,35000
8,8,21.037616729736328,342.27,347.88,14.9098,31.5022,40000
9,9,-5.755037307739258,345.1,347.47,14.7141,31.212,45000
10,10,-24.331581115722656,338.57,341.91,13.4398,30.7776,50000
11,11,-6.425074100494385,346.57,353.58,14.3251,30.5653,55000
12,12,-149.53207397460938,343.4,352.89,13.88,30.7631,60000
13,13,-218.2593994140625,350.56,354.43,15.0316,31.1664,65000
14,14,-339.8879089355469,353.35,359.9,14.8718,30.9115,70000
15,15,-407.7637634277344,351.85,358.56,15.181,30.9116,75000
16,16,-415.7812805175781,357.6,362.46,14.5014,30.8836,80000
17,17,-453.4745178222656,361.27,363.72,14.5492,30.6082,85000
18,18,-467.563232421875,358.77,364.55,14.7854,30.7478,90000
19,19,-399.81231689453125,355.1,361.31,14.2944,30.4791,95000
20,20,-597.56005859375,363.26,367.89,15.5087,30.5044,100000
21,21,-702.3601684570312,365.15,368.31,17.8781,30.2169,105000
22,22,-597.6001586914062,367.51,371.39,15.011,29.9967,110000
23,23,-598.0740966796875,366.51,371.12,15.6186,30.3465,115000
24,24,-705.1318969726562,366.0,373.18,15.7132,30.6164,120000
25,25,-740.393310546875,369.42,375.03,15.9289,30.4158,125000
26,26,-811.1571044921875,371.87,379.63,15.4843,29.4706,130000
27,27,-869.8717041015625,374.87,388.88,15.8084,29.0664,135000
28,28,-903.4216918945312,368.86,374.43,15.5129,30.2712,140000
29,29,-926.6398315429688,399.16,417.18,15.2501,27.1343,145000
