Itration,Running Update Time,Reward Loss,Running Env Steps,Running Forward KL,Real Det Return,Running Reverse KL,Real Sto Return
0,0,135.52459716796875,0,49.0888,260.21,13.1509,468.66
1,1,136.67202758789062,5000,49.3399,604.88,13.586,359.96
2,2,109.48226165771484,10000,49.7738,384.63,15.6227,410.95
3,3,175.5314483642578,15000,49.0541,405.36,27.8625,429.7
4,4,179.19200134277344,20000,49.91,477.67,34.7367,436.2
5,5,129.16600036621094,25000,49.4936,414.03,26.264,479.63
6,6,84.0127944946289,30000,48.8105,418.05,13.0444,415.31
7,7,73.9351806640625,35000,48.7961,402.98,13.4113,396.02
8,8,65.48956298828125,40000,48.5619,548.49,14.3313,518.83
9,9,76.44945526123047,45000,48.5274,809.77,15.9466,583.87
10,10,68.2541275024414,50000,47.1881,654.57,14.3296,558.34
11,11,31.298324584960938,55000,47.3487,573.73,15.8901,518.56
12,12,44.12070083618164,60000,47.3891,544.79,12.3922,618.48
13,13,14.37222957611084,65000,46.3731,583.92,22.5406,591.9
14,14,40.81289291381836,70000,47.2905,822.87,19.035,632.11
15,15,28.288246154785156,75000,47.688,856.61,19.4868,726.25
16,16,42.98884582519531,80000,46.6723,653.23,24.5151,651.01
17,17,-1.253664493560791,85000,45.7253,1539.07,17.9256,795.14
18,18,-3.2613425254821777,90000,47.6321,688.32,22.7063,678.29
19,19,-19.406810760498047,95000,46.6196,2100.3,14.7579,1181.16
20,20,-28.51512336730957,100000,45.1325,892.63,14.9779,913.59
21,21,-56.96982192993164,105000,46.6213,1196.53,16.9256,1463.95
22,22,-74.91109466552734,110000,45.2928,972.35,16.7715,1005.68
23,23,-83.02136993408203,115000,44.862,1349.38,24.0587,1077.62
24,24,-93.34992218017578,120000,45.2808,2341.55,21.8431,1625.21
25,25,-100.36796569824219,125000,44.859,1833.74,16.5486,1172.83
26,26,-105.88261413574219,130000,44.4997,1037.46,17.3445,1696.85
27,27,-110.43307495117188,135000,43.1461,1468.28,16.4492,1665.89
28,28,-122.0848159790039,140000,43.4699,2612.47,15.209,2214.23
29,29,-126.87550354003906,145000,43.0685,2011.92,15.8798,2210.93
30,30,-131.38441467285156,150000,43.1546,1649.97,16.802,1841.72
31,31,-169.96246337890625,155000,44.3039,1322.04,20.3822,2396.11
32,32,-144.15907287597656,160000,42.5724,3179.2,15.7921,2720.58
33,33,-165.37965393066406,165000,43.166,2816.44,17.5286,2961.98
34,34,-128.50955200195312,170000,42.6388,3351.84,15.0946,3378.22
35,35,-160.3927764892578,175000,42.6381,3394.49,16.6855,3110.31
36,36,-223.7605438232422,180000,42.6294,2873.32,21.9191,2470.84
37,37,-189.8188018798828,185000,42.3944,3574.52,15.56,2892.36
38,38,-190.76272583007812,190000,41.8555,3572.04,17.7971,2954.6
39,39,-208.47225952148438,195000,41.8875,3459.11,19.1699,2955.79
40,40,-186.72378540039062,200000,42.2759,871.33,13.2789,2769.41
41,41,-188.20225524902344,205000,41.5536,3502.69,15.1644,2828.49
42,42,-207.13296508789062,210000,41.6401,2341.63,13.9957,3392.47
43,43,-182.99612426757812,215000,41.5051,3340.51,14.4151,2922.91
44,44,-184.24801635742188,220000,41.7115,3430.59,14.2197,3328.49
45,45,-217.61634826660156,225000,41.002,2905.24,13.1475,3043.61
46,46,-217.7858428955078,230000,40.5813,3328.76,14.39,3239.72
47,47,-200.52975463867188,235000,41.2765,3598.39,16.7152,3247.94
48,48,-198.55958557128906,240000,40.6357,3941.1,14.2164,3426.91
49,49,-183.48683166503906,245000,40.763,3912.37,14.3044,3944.47
50,50,-177.5597686767578,250000,40.3233,3825.29,13.263,3601.23
51,51,-174.0791473388672,255000,39.863,4048.83,13.5229,3969.58
52,52,-167.2664337158203,260000,41.1149,3942.54,16.0045,3838.7
53,53,-149.94680786132812,265000,39.2509,4079.31,15.2699,3925.76
54,54,-166.56333923339844,270000,41.0001,3981.25,15.1238,3930.97
55,55,-225.99407958984375,275000,40.4468,3676.47,14.4898,3942.4
56,56,-189.44613647460938,280000,40.3976,4001.54,13.9559,3890.3
57,57,-180.056396484375,285000,40.3234,3567.25,14.5442,3857.12
58,58,-180.79039001464844,290000,39.8685,3883.74,13.9951,3918.5
59,59,-185.86761474609375,295000,40.0167,3885.07,14.6793,3926.54
60,60,-184.17161560058594,300000,40.5334,3885.05,15.7849,3964.94
61,61,-195.74484252929688,305000,39.2376,3875.38,14.1228,3946.75
62,62,-213.4619903564453,310000,40.4284,3780.62,15.2042,3884.45
63,63,-201.0840301513672,315000,39.9321,3980.83,15.5286,3983.96
64,64,-180.92076110839844,320000,39.0309,4065.77,14.6518,3917.5
65,65,-193.2490234375,325000,39.739,4041.35,14.3525,4044.61
66,66,-199.01318359375,330000,39.8539,4113.03,15.7603,4097.57
67,67,-214.24818420410156,335000,39.2321,4041.16,14.365,4098.87
68,68,-210.10755920410156,340000,38.7549,4100.45,14.4172,4086.05
69,69,-201.3573455810547,345000,39.6155,4192.82,14.9957,4110.35
70,70,-203.25018310546875,350000,39.2617,4208.21,15.4897,4162.02
71,71,-209.69639587402344,355000,38.8256,4028.45,14.4586,4111.6
72,72,-220.394775390625,360000,39.2626,4192.18,15.1121,4141.6
73,73,-222.5167999267578,365000,38.4626,4106.34,13.9045,4139.59
74,74,-216.1927490234375,370000,38.997,4203.95,14.0104,4185.15
75,75,-225.2686767578125,375000,39.1678,4272.94,14.9883,4189.38
76,76,-232.79183959960938,380000,38.6119,4057.21,13.2563,4091.3
77,77,-232.00657653808594,385000,39.12,4350.51,14.1334,4246.07
78,78,-233.56565856933594,390000,38.0701,4258.81,14.2262,4265.34
79,79,-227.25389099121094,395000,38.6749,4295.65,15.6299,4259.35
80,80,-235.99378967285156,400000,37.9948,4279.36,13.9239,4226.79
81,81,-235.5283966064453,405000,38.5595,4314.88,14.6456,4224.4
82,82,-249.6628875732422,410000,38.0419,4298.31,13.9742,4260.04
83,83,-241.05905151367188,415000,38.2413,4405.55,14.922,4295.47
84,84,-244.55584716796875,420000,37.4832,4266.82,13.0004,4221.81
85,85,-255.2914581298828,425000,38.8966,4370.7,15.4773,4314.19
86,86,-253.1462860107422,430000,38.2086,4327.99,13.5981,4287.3
87,87,-262.5081481933594,435000,37.7722,4309.02,14.6794,4322.38
88,88,-252.15005493164062,440000,37.3137,4388.96,13.5591,4294.67
89,89,-270.21759033203125,445000,37.8778,4314.43,14.2902,4281.78
90,90,-274.9572448730469,450000,36.731,4408.54,13.4666,4346.08
91,91,-285.0530700683594,455000,37.7606,4302.05,14.8257,4294.9
92,92,-252.5672607421875,460000,35.632,4484.49,12.2605,4283.71
93,93,-260.84613037109375,465000,36.5431,4475.77,11.8627,4397.66
94,94,-284.0227966308594,470000,37.6221,4449.75,14.6121,4429.26
95,95,-261.00823974609375,475000,35.7235,4469.7,12.9881,4383.77
