Real Det Return,Running Env Steps,Real Sto Return,Itration,Running Update Time,Running Reverse KL,Running Forward KL,Reward Loss
382.34,0,291.96,0,0,258.9541,456.6684,3619.649169921875
521.54,5000,354.83,1,1,273.7697,424.8484,3672.234619140625
361.95,10000,389.51,2,2,279.0145,423.9242,3751.05029296875
530.52,15000,371.76,3,3,257.388,422.883,3344.313720703125
419.02,20000,441.36,4,4,244.104,411.0814,2376.079833984375
439.02,25000,400.72,5,5,270.361,404.8054,1952.3787841796875
534.32,30000,462.36,6,6,264.4126,420.5812,1374.20556640625
551.4,35000,522.56,7,7,264.7664,410.7347,2556.450439453125
557.65,40000,495.13,8,8,239.3811,400.7754,1752.6192626953125
416.01,45000,508.17,9,9,264.6349,407.0371,1400.2379150390625
567.8,50000,569.0,10,10,420.8884,394.0904,1409.798828125
428.19,55000,666.92,11,11,260.4778,399.4883,818.2315063476562
502.9,60000,572.55,12,12,239.473,395.3843,619.7615966796875
868.87,65000,743.34,13,13,220.0465,383.0786,-156.26736450195312
704.86,70000,749.83,14,14,223.9317,377.8484,-195.1712188720703
862.78,75000,776.76,15,15,242.2544,382.9009,-922.7696533203125
654.25,80000,682.82,16,16,234.7864,382.4958,-212.067626953125
794.96,85000,788.55,17,17,222.8473,368.7442,-562.6463623046875
633.33,90000,687.46,18,18,244.8052,390.3173,-516.326416015625
785.97,95000,826.52,19,19,229.223,357.9262,-938.646240234375
798.21,100000,853.67,20,20,216.4436,359.1292,-1035.5274658203125
765.87,105000,807.9,21,21,209.2139,352.4151,-1282.5775146484375
918.5,110000,884.42,22,22,229.3272,371.7247,-1445.0404052734375
924.06,115000,847.24,23,23,223.5316,365.0766,-1857.7098388671875
828.44,120000,722.28,24,24,237.7445,364.0018,-2190.614990234375
906.75,125000,835.41,25,25,237.1769,370.831,-2299.98486328125
734.29,130000,869.95,26,26,253.6794,366.4221,-2647.8212890625
781.14,135000,895.67,27,27,224.0218,368.849,-3033.731689453125
1038.69,140000,973.28,28,28,211.6084,347.9167,-2977.237060546875
755.79,145000,953.31,29,29,221.2194,371.8767,-3486.60986328125
861.58,150000,935.51,30,30,221.05,369.5648,-3379.572998046875
826.97,155000,981.05,31,31,214.8602,363.3141,-3859.200439453125
