Running Forward KL,Itration,Running Reverse KL,Reward Loss,Running Update Time,Real Det Return,Real Sto Return,Running Env Steps
33.4592,0,25.2593,-1515.444580078125,0,178.68,181.97,0
32.0795,1,24.6343,-1603.9005126953125,1,181.13,167.86,5000
31.8981,2,20.0265,-1585.014892578125,2,235.06,242.03,10000
28.7215,3,13.1365,-1080.583984375,3,367.77,330.11,15000
27.5692,4,13.2,-1023.2053833007812,4,652.72,727.72,20000
26.1627,5,12.6252,-1210.360107421875,5,668.4,516.17,25000
25.1898,6,56.4812,-1431.3856201171875,6,295.78,335.2,30000
24.5888,7,24.0895,-1145.079345703125,7,635.85,892.88,35000
24.4356,8,41.3092,-1251.2694091796875,8,779.83,870.6,40000
25.6856,9,47.1138,-1321.06396484375,9,659.52,617.87,45000
22.9288,10,29.3376,-964.4805297851562,10,1027.53,1266.23,50000
23.5658,11,77.8464,-656.140625,11,979.27,945.0,55000
24.1651,12,34.3163,-959.3524780273438,12,934.34,807.4,60000
22.8486,13,32.9617,-1088.7559814453125,13,1256.87,1152.26,65000
23.4394,14,19.1438,-1085.6036376953125,14,1113.28,1127.54,70000
23.1341,15,26.4421,-1234.2998046875,15,765.63,1147.56,75000
23.2519,16,69.9249,-1007.6729125976562,16,954.1,1034.84,80000
24.085,17,84.8757,-916.1602783203125,17,1062.38,1019.53,85000
21.6404,18,43.8719,-798.7008056640625,18,1829.11,1509.18,90000
23.1854,19,124.8036,-705.2530517578125,19,1131.57,1384.13,95000
22.3564,20,44.2643,-1057.7939453125,20,1704.48,1810.67,100000
21.9392,21,60.5027,-816.1937255859375,21,2857.77,2084.65,105000
21.2313,22,30.2147,-705.0719604492188,22,2960.22,2651.09,110000
22.0187,23,76.8097,-870.2025146484375,23,3105.5,1938.87,115000
21.386,24,42.8798,-1379.9906005859375,24,2884.16,1808.86,120000
20.2934,25,11.5094,-481.1471862792969,25,3104.28,2610.58,125000
21.9148,26,12.8972,-472.1700134277344,26,3165.81,2522.39,130000
21.3895,27,12.2463,-382.1105041503906,27,3118.29,3133.49,135000
20.4151,28,11.9452,-550.4483642578125,28,3161.19,3096.13,140000
20.792,29,11.7804,-398.0555114746094,29,3044.61,2927.05,145000
22.6391,30,21.1045,-1297.1448974609375,30,2517.26,2053.74,150000
20.4309,31,12.3128,-511.66766357421875,31,3202.88,2945.46,155000
21.745,32,18.5957,-1115.18994140625,32,3227.77,2221.68,160000
21.2695,33,14.2333,-556.9620361328125,33,3184.08,2800.37,165000
21.2301,34,14.9274,-763.8618774414062,34,3220.5,2877.07,170000
19.8332,35,10.9303,-369.13031005859375,35,3233.03,2891.53,175000
20.1985,36,11.0563,-452.124755859375,36,3124.3,3136.42,180000
19.8486,37,13.5814,-507.9576110839844,37,3197.03,3194.68,185000
20.4283,38,14.4585,-989.1576538085938,38,3175.71,2771.89,190000
19.406,39,10.477,-407.21441650390625,39,3244.68,3131.2,195000
19.565,40,11.0818,-402.37188720703125,40,3200.19,3071.63,200000
18.4758,41,9.6826,-384.2013244628906,41,3246.51,3227.47,205000
18.5894,42,10.9021,-350.10955810546875,42,3262.72,3136.1,210000
18.8287,43,11.1547,-375.73968505859375,43,3239.58,3213.5,215000
18.5738,44,10.3797,-387.3729248046875,44,3285.59,3286.76,220000
17.8699,45,9.8285,-372.7644958496094,45,3297.96,3273.36,225000
17.5436,46,9.0001,-339.00921630859375,46,3259.82,3178.79,230000
17.5946,47,10.2908,-254.15867614746094,47,3352.09,3321.34,235000
18.1756,48,10.9068,-265.0253601074219,48,3363.68,3325.63,240000
17.5013,49,9.8265,-316.9222106933594,49,3307.4,3288.28,245000
17.0151,50,8.7664,-368.1669006347656,50,3252.22,3156.23,250000
17.1842,51,9.102,-340.9472351074219,51,3295.71,3217.53,255000
17.5825,52,9.7795,-352.5186767578125,52,3319.46,3296.09,260000
16.7005,53,9.1997,-379.7650146484375,53,3315.62,3293.3,265000
17.4268,54,9.7357,-374.7674865722656,54,3004.32,3279.34,270000
17.02,55,9.1448,-337.195556640625,55,3351.59,3321.12,275000
17.5137,56,16.7325,-287.4988708496094,56,2739.5,3325.27,280000
16.8174,57,9.7846,-302.964111328125,57,3376.25,3242.46,285000
17.1889,58,9.5124,-320.8186950683594,58,3385.27,3259.81,290000
17.4179,59,11.3999,-316.6413269042969,59,3321.9,3302.89,295000
16.3247,60,8.7599,-342.6005859375,60,3361.06,3331.34,300000
17.093,61,12.0217,-173.6019287109375,61,3351.03,3300.88,305000
17.6415,62,10.415,-360.9908752441406,62,3331.63,3206.3,310000
16.7187,63,9.1936,-353.4512023925781,63,3340.88,3210.43,315000
16.3886,64,9.2293,-307.3607482910156,64,3387.33,3360.24,320000
16.6843,65,9.2517,-354.15087890625,65,3369.93,3336.43,325000
17.8576,66,10.2285,-404.8670959472656,66,3314.79,3290.49,330000
16.8661,67,9.4446,-375.1251220703125,67,3341.06,3309.82,335000
16.5775,68,9.3074,-348.9857177734375,68,3363.16,3322.79,340000
