Reward Loss,Itration,Running Reverse KL,Real Det Return,Real Sto Return,Running Env Steps,Running Forward KL,Running Update Time
84.1506118774414,0,27.9908,286.74,-49.68,0,75.6203,0
13.000146865844727,1,28.1839,321.4,-2.1,5000,74.9132,1
-61.175106048583984,2,27.1183,358.41,4.75,10000,74.1117,2
-91.06087493896484,3,27.7946,607.72,31.19,15000,74.3221,3
-124.93345642089844,4,29.1024,520.08,22.31,20000,73.1101,4
-195.6186065673828,5,28.7138,917.69,64.97,25000,72.0236,5
-219.91700744628906,6,29.1883,803.05,64.82,30000,70.9152,6
-278.6418151855469,7,29.2916,638.7,73.06,35000,69.462,7
-315.7585754394531,8,29.167,652.57,116.14,40000,69.7832,8
-364.61871337890625,9,30.0405,756.16,153.33,45000,67.3562,9
-422.43096923828125,10,29.0653,624.88,224.76,50000,66.6066,10
-462.3275451660156,11,29.4138,631.22,256.48,55000,66.7172,11
-527.7162475585938,12,30.4109,612.11,258.46,60000,70.0985,12
-598.310302734375,13,29.9515,495.84,170.69,65000,69.8531,13
-626.0597534179688,14,27.3138,857.26,172.21,70000,63.1374,14
-696.9574584960938,15,28.1718,808.85,300.01,75000,64.7918,15
-702.9124145507812,16,26.7437,1878.02,653.62,80000,60.3614,16
-737.9014892578125,17,26.0394,1176.23,507.71,85000,59.2805,17
-795.3477172851562,18,25.2917,1049.58,456.99,90000,60.6377,18
-855.0301513671875,19,25.0464,1591.79,547.56,95000,58.9032,19
-878.6728515625,20,25.3048,1345.55,566.83,100000,58.5835,20
-891.7573852539062,21,24.5228,1922.85,975.85,105000,57.1191,21
-895.4633178710938,22,24.0139,1698.02,857.36,110000,55.7211,22
-981.0582885742188,23,24.6021,1545.1,642.67,115000,57.7191,23
-980.4431762695312,24,24.4608,1518.44,670.75,120000,56.9735,24
-986.455322265625,25,23.9081,2120.75,923.63,125000,55.3119,25
-1218.077880859375,26,25.6539,1452.78,529.8,130000,60.8013,26
-923.3073120117188,27,22.0909,2118.65,792.81,135000,54.0471,27
-1191.3653564453125,28,22.8599,1518.57,397.17,140000,56.3104,28
-1245.1827392578125,29,23.864,1692.74,798.68,145000,56.9919,29
-952.5780029296875,30,23.2151,1545.85,1181.29,150000,54.3866,30
-1256.65966796875,31,22.1495,1155.44,983.62,155000,56.6243,31
-1419.1495361328125,32,24.5229,1271.94,790.74,160000,58.8019,32
-1308.9468994140625,33,23.6549,1207.93,1024.48,165000,57.8775,33
-1285.9180908203125,34,22.7008,1627.15,883.52,170000,55.7449,34
-781.5581665039062,35,24.0031,2393.49,1493.8,175000,52.6567,35
-891.4833374023438,36,24.5586,3340.86,1997.92,180000,54.0069,36
-947.9986572265625,37,24.7629,2301.12,1047.85,185000,54.6187,37
-1104.2645263671875,38,22.807,2119.62,1455.9,190000,55.1537,38
-1213.3441162109375,39,22.4601,2223.78,1765.24,195000,54.239,39
-1383.5657958984375,40,22.6837,829.62,839.58,200000,56.0566,40
-1100.1806640625,41,24.0859,2438.74,1941.05,205000,55.2487,41
-1019.6177368164062,42,28.0383,2327.74,1793.86,210000,56.4738,42
-1192.1737060546875,43,27.4491,2830.08,2269.2,215000,57.0308,43
-1061.9093017578125,44,29.2313,2845.84,2173.35,220000,56.4976,44
-959.7645263671875,45,32.335,1723.57,1571.67,225000,57.4015,45
-1224.423583984375,46,29.4384,3564.47,3048.26,230000,56.9646,46
-1524.895751953125,47,25.0214,2797.9,1595.11,235000,55.4503,47
-1032.2833251953125,48,35.8326,3516.08,2475.35,240000,57.3773,48
-923.7467651367188,49,36.7473,3874.29,2390.49,245000,57.9022,49
-1158.963623046875,50,29.9735,3768.59,3174.0,250000,56.6591,50
-1653.3626708984375,51,28.9653,3511.39,2289.41,255000,57.6604,51
-1384.6463623046875,52,30.7134,3699.84,2528.68,260000,56.8119,52
-1142.93896484375,53,34.9057,3604.44,3095.29,265000,56.844,53
-1221.59765625,54,34.5981,3944.84,3392.73,270000,57.9515,54
-1723.211669921875,55,29.5157,2773.56,2029.45,275000,57.9011,55
-1283.1055908203125,56,33.9665,3125.5,1940.41,280000,56.9092,56
-1562.6597900390625,57,29.8709,3584.8,2882.11,285000,56.3599,57
-1208.1649169921875,58,42.1916,3146.14,2416.16,290000,60.1214,58
-1706.547119140625,59,33.24,4007.41,2992.14,295000,58.424,59
-1901.4884033203125,60,31.1778,4267.12,2898.35,300000,58.8506,60
-1469.366455078125,61,38.0879,4212.47,2650.33,305000,57.7861,61
-1293.5281982421875,62,46.0928,3847.33,3735.84,310000,62.2658,62
-2006.8070068359375,63,34.45,3791.24,2311.82,315000,59.572,63
-1641.296875,64,33.2453,3807.02,3141.53,320000,57.3641,64
-1299.425537109375,65,43.3351,4288.51,2935.5,325000,60.8243,65
-1672.82373046875,66,41.3499,4227.19,3605.57,330000,60.3178,66
-1765.864990234375,67,36.6598,3269.64,3401.41,335000,58.5543,67
-1778.941650390625,68,34.8616,3955.92,3215.1,340000,58.3129,68
-1759.843017578125,69,39.2244,4169.12,3378.23,345000,59.6409,69
-1533.557861328125,70,49.8114,3550.71,3280.12,350000,64.8504,70
-1921.280029296875,71,40.6908,4371.36,3239.37,355000,60.2191,71
-1944.08056640625,72,38.9507,3822.41,3073.2,360000,59.766,72
