Itration,Running Forward KL,Reward Loss,Running Reverse KL,Real Det Return,Running Env Steps,Running Update Time,Real Sto Return
78,21.981,-832.9776000976562,13.864,3496.39,390000,78,3496.72
79,21.7052,-811.4839477539062,12.1244,3565.93,395000,79,3317.9
80,21.8353,-769.3477783203125,14.0729,3517.58,400000,80,3542.4
81,20.7783,-776.0701293945312,11.7943,3530.94,405000,81,3414.92
82,22.167,-743.0657348632812,14.8471,3554.35,410000,82,3525.68
83,21.3552,-799.0625,13.3734,3503.13,415000,83,3324.07
84,21.5107,-768.7239990234375,13.4125,3527.88,420000,84,3153.41
85,20.835,-804.1387329101562,13.0902,3506.78,425000,85,3496.78
86,21.5236,-884.913818359375,12.6223,3576.31,430000,86,3279.19
87,21.2896,-819.989990234375,13.4642,3489.17,435000,87,3491.87
88,21.6474,-872.9940185546875,14.0913,3527.19,440000,88,3512.03
89,20.2882,-898.1806030273438,12.6451,3476.33,445000,89,3426.52
90,20.4799,-831.8040771484375,13.0304,3504.83,450000,90,3444.26
91,20.7438,-885.9882202148438,12.6304,3514.35,455000,91,3406.8
92,20.8822,-956.1593017578125,21.7072,3555.82,460000,92,3211.04
93,21.0947,-922.561767578125,13.4988,3596.59,465000,93,2608.62
94,21.0512,-966.6769409179688,11.7929,3553.08,470000,94,3330.55
95,21.2686,-970.985595703125,10.4384,3581.42,475000,95,2284.22
96,21.4393,-986.3888549804688,14.0333,3568.71,480000,96,3461.75
97,20.756,-911.9506225585938,14.2335,3574.16,485000,97,3285.42
98,20.608,-905.4834594726562,13.4317,3541.67,490000,98,3150.86
99,20.6742,-934.4467163085938,12.4688,3547.23,495000,99,3201.97
100,20.7909,-889.939453125,11.9813,3557.02,500000,100,2888.91
101,20.6809,-895.4278564453125,12.9559,3528.87,505000,101,3290.35
102,20.4137,-956.7871704101562,12.2417,3562.24,510000,102,3262.2
103,20.4926,-895.063232421875,12.8451,3529.58,515000,103,3412.94
104,20.606,-931.9227905273438,12.9951,3534.52,520000,104,3504.76
105,20.3467,-906.8426513671875,12.3293,3549.66,525000,105,3278.12
106,19.2365,-841.184814453125,11.3611,3530.38,530000,106,2570.25
107,20.2427,-939.1141357421875,11.4335,3512.9,535000,107,2898.96
108,19.5714,-870.6146240234375,12.2265,3465.22,540000,108,3429.94
109,19.5938,-1009.7628173828125,11.6027,3530.12,545000,109,3114.52
110,19.6559,-994.3135986328125,12.3765,3500.71,550000,110,2925.96
111,19.5743,-987.7014770507812,12.2519,3491.15,555000,111,3485.92
112,18.6824,-887.094482421875,11.3613,3524.3,560000,112,3310.77
113,20.085,-1061.4813232421875,11.9784,3548.65,565000,113,2527.04
114,19.1615,-997.8641357421875,11.2651,3525.63,570000,114,3454.2
115,19.5396,-964.9469604492188,11.0294,3536.18,575000,115,2815.97
116,18.6478,-957.35986328125,11.094,3504.49,580000,116,3427.43
117,18.4747,-933.115234375,11.7526,3533.79,585000,117,3220.0
118,19.1645,-1014.13916015625,9.9675,3531.07,590000,118,3280.69
119,19.2289,-1036.6239013671875,10.786,3567.5,595000,119,3355.72
120,19.1911,-1072.3116455078125,11.5225,3510.16,600000,120,3421.77
121,19.4991,-1120.7515869140625,11.8081,3536.46,605000,121,3504.1
122,19.6325,-1093.572265625,11.5431,3544.17,610000,122,3361.36
123,20.6858,-1241.9583740234375,16.6308,3544.4,615000,123,1914.55
124,18.4508,-992.5156860351562,11.4586,3555.6,620000,124,3457.22
125,18.8595,-1069.855224609375,11.5739,3533.83,625000,125,3455.6
126,19.0331,-1061.325439453125,10.8369,3558.22,630000,126,3458.83
127,19.1669,-1156.4034423828125,11.0252,3563.37,635000,127,3318.49
128,18.8655,-1124.2691650390625,11.5736,3535.23,640000,128,3507.47
129,19.6201,-1148.7470703125,12.4516,3551.12,645000,129,3378.3
130,19.4917,-1250.945068359375,11.0302,3555.41,650000,130,3068.18
131,18.8447,-1095.6629638671875,11.4103,3549.44,655000,131,3423.17
132,18.4569,-1185.037841796875,10.8928,3538.63,660000,132,3362.19
133,19.0043,-1149.1708984375,11.0097,3556.8,665000,133,3511.17
134,19.4224,-1317.8328857421875,13.4093,3556.06,670000,134,2826.68
135,18.7288,-1104.5899658203125,10.5314,3548.8,675000,135,3423.3
136,19.1353,-1304.2130126953125,11.5668,3541.06,680000,136,3330.73
