Running Reverse KL,Real Det Return,Running Forward KL,Running Env Steps,Running Update Time,Real Sto Return,Itration,Reward Loss
12.7895,177.3,50.2096,0,0,305.94,0,-57.69749069213867
33.5249,239.57,51.2075,5000,1,252.02,1,-169.89572143554688
15.8473,355.89,49.623,10000,2,382.87,2,-156.42181396484375
42.3711,439.98,50.6086,15000,3,357.36,3,-100.830078125
38.645,355.69,50.2356,20000,4,357.71,4,-74.45701599121094
15.2975,388.59,48.9813,25000,5,380.35,5,-93.42723846435547
16.265,404.94,47.8227,30000,6,380.57,6,-92.8296890258789
21.7242,502.77,49.1243,35000,7,495.25,7,-134.2252655029297
17.9396,407.56,49.3327,40000,8,428.4,8,-150.37950134277344
18.5064,631.83,49.0889,45000,9,551.22,9,-173.23118591308594
19.7908,483.54,49.5444,50000,10,417.26,10,-205.4935302734375
18.3357,608.84,49.0346,55000,11,580.88,11,-205.3414764404297
14.9961,616.27,48.2819,60000,12,426.14,12,-246.0563201904297
15.8734,520.13,48.8198,65000,13,423.91,13,-255.98072814941406
22.6022,523.39,48.7807,70000,14,534.58,14,-272.6145324707031
15.4286,432.76,48.9719,75000,15,450.82,15,-253.03762817382812
19.2642,560.13,48.7505,80000,16,529.41,16,-277.8316650390625
13.7993,683.01,48.9662,85000,17,569.26,17,-272.3297119140625
23.6366,930.88,48.3417,90000,18,756.07,18,-270.0513000488281
29.5805,759.86,47.7227,95000,19,747.53,19,-274.0218505859375
27.2267,748.53,48.6917,100000,20,729.71,20,-284.8218994140625
22.0827,947.06,48.2021,105000,21,899.09,21,-292.4764404296875
20.4499,793.97,47.2616,110000,22,772.39,22,-312.92327880859375
33.223,1020.26,47.4487,115000,23,1003.64,23,-308.1966247558594
35.7101,899.08,47.8895,120000,24,766.88,24,-334.67333984375
26.2058,1181.63,47.4512,125000,25,947.65,25,-356.91888427734375
25.685,1096.44,47.0837,130000,26,1009.94,26,-362.2319030761719
26.0791,920.37,47.6095,135000,27,990.1,27,-385.4234313964844
28.0322,866.98,48.0396,140000,28,849.89,28,-388.8030700683594
17.7319,831.54,47.2379,145000,29,886.73,29,-405.4830627441406
17.2857,736.81,47.1089,150000,30,829.87,30,-364.5563659667969
28.0085,703.22,47.2331,155000,31,809.93,31,-385.6650390625
14.4292,735.11,47.5974,160000,32,836.21,32,-350.4476623535156
