Real Det Return,Running Reverse KL,Reward Loss,Running Forward KL,Itration,Running Env Steps,Real Sto Return,Running Update Time
219.6,14.9695,-1037.9874267578125,31.1583,0,0,216.85,0
225.22,19.8222,-786.3103637695312,30.8254,1,5000,232.8,1
287.29,33.0481,-1151.753662109375,30.8067,2,10000,280.58,2
373.1,34.8524,-1279.53369140625,29.8718,3,15000,367.64,3
421.48,31.7022,-1274.142822265625,28.4737,4,20000,405.84,4
212.1,17.0858,-1254.763671875,29.744,5,25000,251.94,5
1034.1,19.7721,-1332.0672607421875,25.467,6,30000,757.35,6
570.58,17.3449,-1383.901611328125,29.2501,7,35000,501.67,7
970.15,31.7223,-2186.860107421875,37.1126,8,40000,181.88,8
757.01,24.8027,-2059.283935546875,33.6025,9,45000,759.99,9
294.96,25.4162,-1571.5242919921875,30.9804,10,50000,270.22,10
288.94,45.2032,-1579.940673828125,29.724,11,55000,302.6,11
310.56,42.227,-1510.8406982421875,29.4145,12,60000,325.79,12
251.98,20.7407,-1663.120361328125,27.8984,13,65000,296.38,13
387.65,42.6815,-1817.21826171875,28.0129,14,70000,335.41,14
470.56,23.9603,-1917.7117919921875,32.1107,15,75000,456.74,15
10.56,27.6259,-2148.2099609375,32.8818,16,80000,10.69,16
13.26,150.3775,-1416.52392578125,32.465,17,85000,13.45,17
398.09,72.0041,-2356.03759765625,33.8374,18,90000,396.35,18
278.5,118.3912,-1704.330322265625,33.6823,19,95000,280.92,19
977.92,41.4987,-2637.3125,37.8005,20,100000,978.57,20
134.25,70.2216,-2643.136474609375,32.418,21,105000,128.23,21
481.68,16.1063,-1695.445556640625,30.7086,22,110000,484.47,22
346.54,41.5679,-1611.9320068359375,29.8333,23,115000,347.22,23
1286.85,22.2276,-1345.09033203125,30.3651,24,120000,1260.16,24
429.44,93.6769,-2719.0087890625,29.2653,25,125000,418.85,25
438.99,90.6206,-3012.6552734375,30.2196,26,130000,441.39,26
386.1,34.6272,-2897.57470703125,31.1256,27,135000,411.39,27
177.55,55.1978,-3272.306884765625,32.8803,28,140000,177.89,28
253.18,97.8947,-3148.08447265625,29.8703,29,145000,265.27,29
107.07,71.6446,-3198.21826171875,34.8197,30,150000,124.91,30
564.88,32.6464,-2515.273681640625,32.3509,31,155000,463.66,31
326.73,18.512,-1878.2911376953125,29.3636,32,160000,319.86,32
430.96,69.9071,-2659.1220703125,30.6298,33,165000,587.89,33
952.02,64.8719,-2855.3310546875,32.7949,34,170000,1036.93,34
965.91,19.942,-2567.797607421875,32.6714,35,175000,951.5,35
1269.17,24.9861,-2575.19970703125,33.334,36,180000,1246.4,36
921.29,20.9599,-3109.077880859375,33.4418,37,185000,929.08,37
769.54,22.9827,-3141.030517578125,33.5058,38,190000,884.75,38
738.58,27.907,-3163.45361328125,33.8179,39,195000,732.27,39
900.03,26.9597,-3153.444580078125,28.8515,40,200000,961.35,40
720.87,19.4111,-2767.73046875,30.3295,41,205000,751.58,41
474.73,24.1763,-2786.742919921875,31.0941,42,210000,437.77,42
976.42,14.8939,-2281.716064453125,27.9716,43,215000,863.29,43
892.16,23.8466,-3111.745849609375,30.307,44,220000,887.86,44
998.15,36.9198,-3705.46484375,36.5284,45,225000,997.4,45
988.09,37.8523,-3692.775146484375,36.5991,46,230000,987.33,46
995.24,28.9174,-3650.16650390625,36.442,47,235000,994.87,47
1016.35,55.4633,-3844.724365234375,36.2483,48,240000,1016.48,48
1002.67,37.9194,-4038.817138671875,37.273,49,245000,1002.87,49
1011.46,38.3146,-3955.2900390625,36.8665,50,250000,1012.38,50
667.81,75.781,-3721.210693359375,30.1449,51,255000,661.4,51
1010.02,39.9584,-4002.40283203125,35.2789,52,260000,1008.92,52
1207.01,18.885,-3387.653076171875,32.1526,53,265000,1197.01,53
1001.79,26.582,-4107.923828125,35.8846,54,270000,1001.93,54
999.52,62.6227,-4322.42822265625,37.2641,55,275000,999.5,55
991.91,37.4378,-4261.24853515625,37.3337,56,280000,991.89,56
988.7,36.6658,-4302.86669921875,37.1078,57,285000,989.08,57
985.34,30.973,-3988.112060546875,35.5574,58,290000,985.06,58
1001.92,19.8271,-3744.806884765625,33.6563,59,295000,1005.54,59
1073.62,26.5115,-3861.155029296875,34.1494,60,300000,1076.26,60
1077.31,27.5171,-3974.22216796875,34.278,61,305000,1077.7,61
1007.67,25.9368,-4309.310546875,34.5678,62,310000,1009.0,62
994.42,49.696,-4960.3486328125,37.7222,63,315000,993.73,63
977.41,32.7182,-4636.6171875,33.6645,64,320000,984.11,64
969.08,52.8078,-5015.08935546875,34.5232,65,325000,968.87,65
133.0,156.8329,-4429.2626953125,33.0651,66,330000,140.81,66
16.79,208.0227,-3439.10546875,33.6403,67,335000,16.68,67
334.51,74.4254,-3702.528564453125,28.0869,68,340000,319.49,68
1143.32,44.6356,-2937.364501953125,29.9823,69,345000,1228.15,69
1027.15,72.5088,-5325.9501953125,39.6326,70,350000,1027.12,70
1030.13,23.77,-4682.11083984375,34.963,71,355000,1030.48,71
1061.36,22.3233,-4449.1142578125,34.2873,72,360000,1061.09,72
1039.15,22.3995,-5193.9638671875,34.508,73,365000,1039.55,73
1029.11,23.4115,-5276.6796875,35.7508,74,370000,1029.04,74
1215.73,26.0547,-4197.43115234375,33.7943,75,375000,1217.27,75
104.98,198.4862,-6012.00439453125,34.1684,76,380000,94.67,76
1340.89,17.6906,-3990.087890625,30.6835,77,385000,1398.81,77
825.38,16.5179,-3962.9404296875,29.0558,78,390000,690.62,78
516.17,25.2294,-3424.52392578125,29.44,79,395000,641.12,79
360.73,153.7325,-4034.4306640625,31.3311,80,400000,363.39,80
1001.33,36.3407,-5870.1337890625,36.2536,81,405000,1001.64,81
993.7,23.9805,-5716.1298828125,35.6126,82,410000,994.73,82
984.49,27.2105,-5475.322265625,35.2468,83,415000,982.94,83
934.15,45.4127,-6104.06005859375,35.6945,84,420000,954.31,84
615.43,61.1949,-6160.86376953125,34.3934,85,425000,627.31,85
1004.23,63.6959,-6134.529296875,34.4681,86,430000,1005.54,86
1291.15,31.1926,-5212.29150390625,33.6394,87,435000,1290.44,87
1056.81,71.9006,-6448.83349609375,35.7098,88,440000,1057.1,88
1054.3,54.204,-6503.8056640625,35.5686,89,445000,1054.11,89
982.79,40.6753,-6444.34423828125,36.1878,90,450000,983.32,90
989.56,37.5859,-6382.91357421875,34.1355,91,455000,992.37,91
929.65,30.6926,-5415.8203125,33.2552,92,460000,904.71,92
