Real Sto Return,Itration,Reward Loss,Running Update Time,Running Reverse KL,Real Det Return,Running Env Steps,Running Forward KL
173.31,0,245.1863250732422,0,20.6486,156.98,0,37.8776
261.49,1,242.1682586669922,1,27.1477,254.92,5000,36.6416
269.77,2,168.93658447265625,2,19.3107,242.58,10000,37.4184
313.65,3,194.08543395996094,3,20.7769,315.18,15000,36.7946
370.51,4,111.86048126220703,4,21.5264,386.6,20000,37.041
395.01,5,118.5516586303711,5,19.4583,400.46,25000,36.0666
383.52,6,-12.148767471313477,6,21.0638,398.25,30000,35.9056
430.98,7,100.6924819946289,7,17.0927,421.74,35000,34.2946
262.68,8,86.52543640136719,8,19.0823,243.43,40000,35.6919
1014.58,9,158.67742919921875,9,27.7606,1014.73,45000,43.5713
1013.55,10,168.36904907226562,10,26.8036,1011.16,50000,42.9046
1004.94,11,125.57511138916016,11,23.8422,1004.2,55000,40.9752
74.98,12,125.73395538330078,12,31.9419,74.53,60000,37.4513
467.8,13,120.3776626586914,13,25.869,370.9,65000,37.9046
980.08,14,105.24954223632812,14,44.4551,982.6,70000,42.8521
981.12,15,82.05230712890625,15,44.1396,984.2,75000,42.3714
920.44,16,52.74449157714844,16,23.0179,940.28,80000,40.9821
237.34,17,13.756765365600586,17,28.2865,238.68,85000,37.6987
170.53,18,68.82205963134766,18,54.7172,164.71,90000,38.5632
982.6,19,66.62052154541016,19,42.3598,981.62,95000,44.2351
1041.22,20,93.73272705078125,20,29.5359,1040.44,100000,44.6253
313.75,21,32.4006462097168,21,20.6995,320.26,105000,38.2045
598.74,22,56.17727279663086,22,34.1612,578.94,110000,37.5247
1009.25,23,48.65210723876953,23,42.5404,1009.01,115000,45.7708
1031.83,24,37.40782928466797,24,22.3896,1031.91,120000,42.0207
1034.14,25,39.3857536315918,25,26.1369,1032.13,125000,40.2676
163.67,26,-49.8481330871582,26,28.5046,162.79,130000,38.1009
483.23,27,18.21277618408203,27,33.0584,500.72,135000,38.9506
297.46,28,-32.73823928833008,28,30.9673,300.49,140000,38.397
334.68,29,-3.4221484661102295,29,33.5504,341.04,145000,39.48
971.74,30,-58.34404373168945,30,50.0773,971.68,150000,44.2845
997.76,31,-23.165761947631836,31,30.5179,998.59,155000,42.8539
1033.5,32,-19.728683471679688,32,36.4717,1032.88,160000,42.8917
1011.74,33,-60.80634689331055,33,41.7595,1008.17,165000,44.4112
984.39,34,-77.87936401367188,34,31.1612,987.06,170000,44.2954
341.65,35,-66.50613403320312,35,19.5865,339.31,175000,36.5642
1034.63,36,-66.52565002441406,36,31.8352,1034.66,180000,42.8414
407.77,37,-75.50364685058594,37,19.2132,507.7,185000,37.59
944.04,38,-80.8729019165039,38,32.0213,1025.9,190000,42.712
1047.79,39,-91.76905059814453,39,33.4358,1051.41,195000,41.6804
1056.77,40,-105.25711059570312,40,40.0996,1056.62,200000,41.6071
1047.97,41,-127.06169128417969,41,37.1863,1044.22,205000,39.9919
990.42,42,-163.74720764160156,42,46.6602,989.63,210000,45.7861
1036.5,43,-126.03761291503906,43,33.3059,1036.13,215000,41.0669
1054.01,44,-148.91615295410156,44,43.8101,1054.15,220000,41.6722
1055.28,45,-150.91482543945312,45,45.1341,1055.6,225000,41.8498
1028.12,46,-159.9524688720703,46,31.02,1028.14,230000,42.6865
230.69,47,-250.4917755126953,47,62.4938,232.61,235000,43.4124
