Real Det Return,Itration,Running Update Time,Reward Loss,Running Forward KL,Running Reverse KL,Running Env Steps,Real Sto Return
376.81,0,0,16.29131317138672,73.1162,24.098,0,-58.53
415.42,1,1,-0.9327977895736694,73.291,25.4051,5000,-41.8
568.18,2,2,-17.41345977783203,72.569,26.2484,10000,-23.72
695.33,3,3,-36.07352066040039,72.4976,26.6848,15000,19.68
605.23,4,4,-47.36245346069336,71.6192,27.7921,20000,65.58
689.94,5,5,-63.57916259765625,71.3104,28.3601,25000,133.95
802.8,6,6,-74.36433410644531,69.7333,28.972,30000,130.79
696.71,7,7,-96.14923858642578,70.1805,31.8287,35000,148.11
825.72,8,8,-116.23709869384766,71.8451,30.4122,40000,180.41
961.67,9,9,-134.01535034179688,71.4299,30.609,45000,116.89
816.06,10,10,-140.15689086914062,70.8854,30.8866,50000,113.64
872.67,11,11,-153.8893585205078,72.1123,31.2892,55000,138.15
850.15,12,12,-163.03875732421875,71.6244,31.047,60000,141.16
875.79,13,13,-178.79653930664062,71.013,31.1678,65000,164.72
743.53,14,14,-196.711669921875,72.2449,31.3202,70000,141.16
743.63,15,15,-206.28366088867188,72.2062,30.8071,75000,165.41
893.37,16,16,-215.1815185546875,71.2419,30.6907,80000,154.97
834.06,17,17,-227.80247497558594,71.8147,31.0652,85000,145.96
779.33,18,18,-243.05731201171875,70.7126,30.9039,90000,180.07
810.1,19,19,-258.1424560546875,70.8399,31.1337,95000,173.68
887.81,20,20,-269.9570007324219,71.1264,30.8977,100000,200.03
930.69,21,21,-283.8807678222656,72.3808,30.5727,105000,185.13
935.79,22,22,-291.6813049316406,70.3649,30.4003,110000,173.54
963.28,23,23,-306.6620178222656,71.2624,30.5193,115000,191.15
896.0,24,24,-318.9932556152344,71.4339,30.4976,120000,158.58
856.74,25,25,-334.1581726074219,70.0057,30.7822,125000,217.87
809.21,26,26,-347.9810791015625,70.1524,30.7848,130000,212.43
803.12,27,27,-357.9169921875,70.3539,30.184,135000,197.94
956.47,28,28,-368.8807373046875,71.9214,30.8531,140000,237.04
807.8,29,29,-385.36798095703125,71.8298,30.6633,145000,210.09
840.42,30,30,-404.546142578125,71.705,31.1324,150000,228.48
796.33,31,31,-414.8622131347656,73.4565,30.8172,155000,211.03
778.57,32,32,-419.5766906738281,71.067,30.9044,160000,197.33
972.23,33,33,-449.0185852050781,72.5173,31.2358,165000,239.25
917.59,34,34,-455.7962951660156,73.4452,31.1653,170000,223.08
939.74,35,35,-464.6423034667969,70.9982,30.666,175000,223.32
944.23,36,36,-488.9726257324219,72.2557,30.8714,180000,242.12
791.97,37,37,-503.3448791503906,72.7082,31.2041,185000,238.86
832.03,38,38,-515.7070922851562,72.6266,30.7884,190000,222.09
620.89,39,39,-534.885986328125,74.8681,32.0917,195000,228.99
890.31,40,40,-540.7854614257812,72.1011,30.807,200000,277.15
783.88,41,41,-561.6910400390625,74.4147,31.2262,205000,245.85
942.63,42,42,-570.1063842773438,71.2014,30.4494,210000,254.07
705.84,43,43,-582.8684692382812,71.8374,30.5955,215000,199.04
655.85,44,44,-604.9054565429688,73.5374,30.6012,220000,199.33
648.59,45,45,-612.9237670898438,71.8356,30.7246,225000,221.21
829.52,46,46,-636.9613647460938,70.117,30.4227,230000,214.78
861.04,47,47,-644.4110717773438,69.9661,30.6895,235000,256.56
882.71,48,48,-671.0416259765625,72.0842,31.0075,240000,237.12
653.39,49,49,-685.2055053710938,74.0275,30.7953,245000,231.7
793.34,50,50,-699.3715209960938,73.7848,31.0458,250000,242.25
607.36,51,51,-717.9569702148438,72.7789,30.9729,255000,190.93
901.25,52,52,-728.3659057617188,72.8428,30.6174,260000,254.02
596.36,53,53,-750.6569213867188,71.8609,30.6875,265000,193.58
751.84,54,54,-767.9794921875,72.7997,30.5386,270000,232.76
803.67,55,55,-777.9690551757812,71.6232,30.418,275000,235.02
659.68,56,56,-787.5825805664062,71.6035,30.4858,280000,270.76
751.26,57,57,-822.2886352539062,72.2633,30.8887,285000,246.58
701.26,58,58,-835.7371215820312,72.113,30.822,290000,241.12
948.87,59,59,-859.7625122070312,71.6229,30.9611,295000,245.29
890.62,60,60,-873.4786376953125,73.1208,30.8917,300000,244.41
706.93,61,61,-890.8348999023438,72.5573,30.747,305000,284.85
958.25,62,62,-901.281005859375,72.2338,30.8464,310000,262.22
860.38,63,63,-930.8401489257812,73.8176,30.7663,315000,273.44
895.14,64,64,-940.357421875,73.654,30.8293,320000,287.82
752.22,65,65,-963.6006469726562,72.8297,31.0176,325000,244.18
808.94,66,66,-981.470703125,72.6959,30.0956,330000,219.85
563.18,67,67,-1012.0923461914062,71.2574,30.6984,335000,294.89
801.39,68,68,-1031.1961669921875,74.2868,31.0442,340000,238.74
663.95,69,69,-1051.583740234375,74.1942,31.3561,345000,290.39
653.95,70,70,-1073.8662109375,74.5654,30.9916,350000,257.78
750.21,71,71,-1083.365478515625,72.1189,30.5295,355000,249.23
710.11,72,72,-1110.1395263671875,72.2157,31.0895,360000,254.08
759.86,73,73,-1132.4556884765625,73.7287,30.8689,365000,270.08
757.49,74,74,-1157.6396484375,74.6078,30.7299,370000,267.3
