Running Reverse KL,Running Forward KL,Itration,Running Update Time,Running Env Steps,Reward Loss,Real Sto Return,Real Det Return
274.8888,461.3515,0,0,0,-437.6563720703125,327.66,348.43
277.4393,447.5415,1,1,5000,-426.8454895019531,300.74,291.35
244.5102,433.8894,2,2,10000,-332.18829345703125,414.83,574.97
248.2837,427.8575,3,3,15000,-1026.5858154296875,411.28,339.15
252.4234,419.2069,4,4,20000,-886.2774047851562,482.78,558.06
263.2612,421.7198,5,5,25000,-1342.191650390625,471.73,558.0
247.0931,412.0039,6,6,30000,-1312.2818603515625,466.31,516.5
254.14,432.5705,7,7,35000,-1402.3868408203125,428.03,518.33
288.8567,433.4666,8,8,40000,-1792.68115234375,515.04,480.94
255.47,419.878,9,9,45000,-2110.111083984375,526.2,580.77
262.4599,430.0847,10,10,50000,-2542.406982421875,475.74,504.94
283.4616,416.9519,11,11,55000,-2752.751708984375,460.85,409.21
309.1172,421.4933,12,12,60000,-3410.69580078125,505.64,482.82
323.0573,428.9658,13,13,65000,-3769.033447265625,470.98,422.67
306.6267,437.9257,14,14,70000,-4165.927734375,468.74,409.89
308.2289,435.8035,15,15,75000,-4183.400390625,508.46,505.0
306.5711,428.2138,16,16,80000,-4370.88916015625,475.29,467.41
279.8682,417.3705,17,17,85000,-4591.470703125,527.29,535.41
276.1321,420.0374,18,18,90000,-4673.1181640625,521.9,579.68
267.1958,400.1635,19,19,95000,-4987.37548828125,594.12,678.49
268.3631,399.0015,20,20,100000,-5110.2724609375,537.48,618.89
250.6917,406.2838,21,21,105000,-4863.1435546875,567.31,619.5
256.0077,398.3532,22,22,110000,-4976.64501953125,558.71,704.26
295.5227,399.378,23,23,115000,-6341.40771484375,617.24,707.08
256.1882,398.4354,24,24,120000,-5464.08203125,580.93,598.64
269.1448,404.3214,25,25,125000,-5580.59716796875,498.89,606.12
264.6994,397.1705,26,26,130000,-6419.86962890625,672.84,843.34
245.3912,398.3418,27,27,135000,-5999.951171875,583.5,667.43
253.5969,406.58,28,28,140000,-6930.2626953125,592.48,659.05
262.6931,392.713,29,29,145000,-6875.4970703125,629.64,668.06
262.8022,410.6235,30,30,150000,-7160.45703125,511.06,565.95
252.9321,388.6477,31,31,155000,-7012.70068359375,609.74,715.66
269.1473,402.0855,32,32,160000,-7749.8291015625,636.2,720.22
266.4793,402.2136,33,33,165000,-7655.11376953125,654.06,565.51
276.9666,403.629,34,34,170000,-8177.1962890625,643.65,669.03
235.1303,382.8352,35,35,175000,-7629.82666015625,667.4,728.8
266.7753,394.3586,36,36,180000,-8377.3779296875,678.59,548.81
256.4754,394.9471,37,37,185000,-8431.4521484375,617.73,691.82
259.7346,388.0234,38,38,190000,-8303.90234375,582.82,562.43
259.4504,396.2617,39,39,195000,-8889.3330078125,689.11,725.08
249.1985,391.4864,40,40,200000,-8982.3779296875,741.11,943.12
260.6184,397.6922,41,41,205000,-9017.6884765625,895.69,871.85
259.914,392.2067,42,42,210000,-9465.01171875,838.72,852.17
256.0071,397.7839,43,43,215000,-9476.5791015625,732.86,673.56
259.1747,386.1608,44,44,220000,-9738.9892578125,827.4,665.32
276.7249,390.9693,45,45,225000,-10225.95703125,795.85,669.23
263.4476,386.5857,46,46,230000,-10039.78125,925.94,801.53
244.7176,389.9418,47,47,235000,-9826.1337890625,852.71,927.83
258.6129,396.8892,48,48,240000,-10180.55078125,892.14,755.41
250.1693,388.9982,49,49,245000,-10066.40234375,885.47,695.79
258.1384,390.3707,50,50,250000,-10525.5693359375,923.23,758.45
254.7083,390.4494,51,51,255000,-10587.6953125,809.36,707.65
250.4816,384.3623,52,52,260000,-10473.9990234375,841.18,718.26
258.7198,377.7753,53,53,265000,-10801.7255859375,840.59,651.17
239.0197,380.3812,54,54,270000,-10140.8544921875,910.45,603.48
263.2828,383.7259,55,55,275000,-10916.5556640625,915.5,809.1
230.8785,374.985,56,56,280000,-10256.671875,930.89,844.3
259.5168,377.7892,57,57,285000,-11086.11328125,924.08,879.64
251.5961,379.4071,58,58,290000,-11161.4228515625,845.37,815.67
256.4904,375.3289,59,59,295000,-11568.8798828125,810.68,680.57
247.6018,371.093,60,60,300000,-11086.416015625,1270.13,817.13
280.6505,374.8216,61,61,305000,-11741.841796875,923.75,731.54
255.8091,369.9967,62,62,310000,-11413.6572265625,961.63,755.87
308.7228,367.5897,63,63,315000,-12141.9189453125,957.93,908.18
250.1875,372.6414,64,64,320000,-10978.4111328125,1037.73,840.04
234.2582,361.5957,65,65,325000,-10512.087890625,1148.67,900.01
264.8746,369.1502,66,66,330000,-11666.349609375,1075.8,882.99
233.4443,354.1097,67,67,335000,-10473.814453125,1406.34,966.04
250.4151,375.7196,68,68,340000,-11321.9619140625,1178.53,839.49
243.4003,378.9271,69,69,345000,-11447.3076171875,1360.12,901.33
239.606,369.8313,70,70,350000,-11409.2578125,1021.01,943.93
222.1812,361.0081,71,71,355000,-10529.943359375,1460.14,957.46
227.8984,358.5764,72,72,360000,-11268.27734375,1244.06,959.6
261.3009,366.0762,73,73,365000,-11692.6494140625,1976.7,1485.06
219.5452,360.121,74,74,370000,-10495.419921875,1166.9,544.7
229.082,363.199,75,75,375000,-11320.1201171875,1428.41,684.95
273.2709,376.469,76,76,380000,-12017.25390625,1249.57,556.53
242.3638,352.3815,77,77,385000,-10763.01171875,1651.11,982.3
234.2174,354.5102,78,78,390000,-11452.6748046875,1424.79,1029.0
250.4656,353.1832,79,79,395000,-10760.4521484375,1635.74,956.7
181.6304,341.5941,80,80,400000,-8589.373046875,2123.77,1152.56
244.037,361.7772,81,81,405000,-11701.84765625,1648.73,938.84
251.4404,359.7367,82,82,410000,-11212.4140625,1852.49,767.18
243.5319,351.8427,83,83,415000,-11141.302734375,1359.61,772.16
295.0539,360.8148,84,84,420000,-12555.0927734375,1569.06,859.55
259.727,355.5417,85,85,425000,-12108.642578125,1382.45,913.01
246.5526,361.0857,86,86,430000,-11413.67578125,1630.75,866.34
181.9821,346.4603,87,87,435000,-10077.1259765625,2314.2,1138.59
184.2726,346.2532,88,88,440000,-9088.130859375,2048.66,872.81
175.7497,350.6501,89,89,445000,-9937.2197265625,2907.09,1193.16
137.2642,335.8463,90,90,450000,-7072.380859375,3265.42,1231.88
159.0802,335.9642,91,91,455000,-8191.73046875,3296.36,1342.6
169.525,352.0372,92,92,460000,-8310.93359375,2949.76,1796.93
183.1008,355.1247,93,93,465000,-10341.4501953125,2796.47,1955.67
183.7744,338.2275,94,94,470000,-9187.3896484375,3611.82,1370.63
152.6838,343.3586,95,95,475000,-6683.00341796875,4067.51,2204.26
160.9315,340.8968,96,96,480000,-8003.693359375,2513.44,2003.4
157.9327,340.4521,97,97,485000,-8479.8505859375,3957.38,2064.11
161.8892,348.0124,98,98,490000,-7769.892578125,4876.09,4272.62
182.2045,347.8383,99,99,495000,-10317.978515625,4466.13,2875.24
173.1069,343.3159,100,100,500000,-10094.6767578125,4801.12,3743.64
143.8862,338.425,101,101,505000,-8994.2978515625,4080.42,1697.51
142.1709,335.4383,102,102,510000,-9052.3642578125,4419.94,1633.27
154.7241,345.9534,103,103,515000,-9338.6044921875,2732.73,1790.67
147.0895,334.7296,104,104,520000,-9663.744140625,4396.99,2521.18
187.935,338.1709,105,105,525000,-11063.4501953125,3637.17,2698.61
174.1093,343.7327,106,106,530000,-11098.634765625,3036.84,1943.39
148.071,335.766,107,107,535000,-10280.908203125,4345.59,4544.08
180.7001,341.0461,108,108,540000,-10474.111328125,4526.63,2826.72
231.0705,347.774,109,109,545000,-12130.3818359375,3397.3,2676.32
247.4393,354.0031,110,110,550000,-12522.048828125,2402.77,1337.78
178.0063,335.6656,111,111,555000,-11650.7509765625,3298.82,842.47
256.4706,361.6537,112,112,560000,-12969.9931640625,2319.86,1141.7
175.4734,343.882,113,113,565000,-11051.6005859375,3702.61,4890.4
173.793,337.7294,114,114,570000,-11962.5224609375,3239.84,2525.41
200.7661,349.5993,115,115,575000,-12647.380859375,3155.63,2207.15
161.7908,333.7464,116,116,580000,-11861.2744140625,4023.8,1376.34
213.5376,352.6289,117,117,585000,-12956.1943359375,3623.81,1866.12
267.2857,353.6749,118,118,590000,-13630.763671875,1409.33,856.45
168.5813,331.6577,119,119,595000,-12370.61328125,3741.39,762.47
203.8811,337.5165,120,120,600000,-13105.2685546875,4127.36,2286.17
223.7875,342.7281,121,121,605000,-13485.193359375,2920.06,945.04
247.9414,346.3009,122,122,610000,-13523.3916015625,2386.26,717.5
198.5693,337.0985,123,123,615000,-12894.94921875,2593.33,730.38
144.4406,331.4139,124,124,620000,-12514.63671875,3731.14,2591.61
165.0434,336.9426,125,125,625000,-13300.1796875,3823.61,3570.43
152.7486,329.9449,126,126,630000,-12947.91796875,3547.99,3089.42
163.0487,331.2799,127,127,635000,-13235.7236328125,4213.71,1334.29
154.8875,329.2062,128,128,640000,-13112.9423828125,4399.3,4637.38
190.7582,334.5937,129,129,645000,-13777.541015625,4033.57,2052.47
174.3518,332.3507,130,130,650000,-13571.728515625,4606.86,4878.43
135.9647,324.7163,131,131,655000,-13351.4140625,4560.28,5027.05
154.057,329.4444,132,132,660000,-13513.546875,4697.15,3532.16
162.5326,329.8669,133,133,665000,-13721.892578125,4612.43,4724.83
163.5629,330.5951,134,134,670000,-14240.591796875,4598.85,5146.76
138.1626,322.8181,135,135,675000,-13807.0029296875,4362.18,4984.2
221.0817,340.7209,136,136,680000,-14839.029296875,3179.7,3406.69
225.3606,347.2746,137,137,685000,-15242.322265625,3715.05,2098.53
205.0949,336.4923,138,138,690000,-14693.9599609375,3345.87,3410.25
191.1462,339.5419,139,139,695000,-14625.048828125,3374.46,2895.43
241.9639,342.7254,140,140,700000,-15288.0234375,2686.01,1505.99
247.6359,345.3648,141,141,705000,-15176.02734375,3397.2,2701.62
267.8663,350.6774,142,142,710000,-15717.2275390625,1176.93,825.88
166.095,334.1018,143,143,715000,-14779.119140625,4462.61,2670.93
171.7289,334.2309,144,144,720000,-15153.2978515625,4327.21,1353.21
195.6865,325.5269,145,145,725000,-15085.7294921875,4402.21,991.11
139.6792,327.6307,146,146,730000,-14514.775390625,5086.92,4494.28
160.6608,333.0676,147,147,735000,-14774.7939453125,4787.52,4043.72
