Itration,Running Env Steps,Running Update Time,Reward Loss,Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return
81,405000,81,-816.1373291015625,38.4482,30.7202,483.98,456.14
82,410000,82,-836.7305908203125,36.7386,32.7919,393.71,398.68
83,415000,83,-838.4008178710938,34.6262,30.5897,385.44,379.64
84,420000,84,-842.274169921875,37.2922,29.1682,400.47,393.17
85,425000,85,-819.2936401367188,27.7665,27.3524,518.03,470.49
86,430000,86,-816.6683959960938,27.4976,26.7939,685.48,635.74
87,435000,87,-866.08642578125,40.6222,30.0559,409.99,405.8
88,440000,88,-783.4717407226562,91.2883,27.9692,692.79,678.16
89,445000,89,-787.7380981445312,62.5406,26.2481,832.64,840.2
90,450000,90,-763.3363037109375,26.0561,27.7858,672.04,896.15
91,455000,91,-720.2481079101562,88.4655,24.6559,923.68,850.68
92,460000,92,-827.6083374023438,142.8811,25.7878,740.7,724.31
93,465000,93,-840.280517578125,36.2181,26.7184,698.56,684.51
94,470000,94,-879.3434448242188,28.9163,25.9923,703.05,716.47
95,475000,95,-848.22412109375,49.3551,25.6226,1023.56,891.28
96,480000,96,-592.704345703125,23.1194,25.3198,2620.62,1541.74
97,485000,97,-736.163818359375,40.2399,26.4596,1359.1,1058.14
98,490000,98,-770.6204833984375,24.6986,25.8201,467.69,723.75
99,495000,99,-439.8593444824219,18.7897,30.3842,343.26,1595.62
100,500000,100,-664.8068237304688,29.9403,25.1054,2129.26,1828.16
101,505000,101,-968.1402587890625,33.4304,25.8187,680.1,634.45
102,510000,102,-864.1546020507812,23.6979,26.0734,1235.12,1108.77
103,515000,103,-776.87939453125,21.5627,24.5442,512.33,1384.92
104,520000,104,-831.9747314453125,36.7448,25.1055,1451.84,1197.76
105,525000,105,-840.1251220703125,39.8698,25.0802,2799.0,1076.12
106,530000,106,-734.0489501953125,26.6063,25.9459,2800.75,1851.67
107,535000,107,-323.6439208984375,15.7259,26.2673,2599.8,2412.47
108,540000,108,-827.5087890625,32.4188,25.7656,2682.65,1404.03
109,545000,109,-689.0277709960938,24.9447,24.4888,1322.41,1774.2
110,550000,110,-762.3372802734375,19.1333,23.9057,2784.02,1320.56
111,555000,111,-307.2393493652344,15.883,26.6648,2385.64,2427.35
112,560000,112,-300.15594482421875,18.1857,26.2645,2817.14,2729.0
113,565000,113,-520.485107421875,38.1656,24.0095,2941.77,2836.98
114,570000,114,-692.790771484375,22.7346,24.3093,2620.48,1571.75
115,575000,115,-383.3755798339844,19.6966,23.9586,2821.38,2783.44
116,580000,116,-454.6104736328125,18.6587,24.4537,2910.06,2613.89
117,585000,117,-431.8829650878906,17.9675,24.2923,2753.71,2678.05
118,590000,118,-489.5822448730469,21.1225,24.827,2873.75,2596.85
119,595000,119,-308.55615234375,14.3121,25.4332,2807.08,2831.29
120,600000,120,-737.9125366210938,21.2809,24.2114,1848.55,1585.94
121,605000,121,-908.6404418945312,41.7896,25.7,1499.91,1429.7
122,610000,122,-953.6759643554688,32.0386,25.2981,1364.9,1192.9
123,615000,123,-837.2235717773438,40.2525,24.3956,1534.52,1546.92
124,620000,124,-562.0374755859375,17.343,24.068,3128.68,2344.97
125,625000,125,-632.0977783203125,15.4281,24.3399,3124.07,2421.01
126,630000,126,-693.0833740234375,19.0825,24.6304,2597.55,2064.67
127,635000,127,-613.137939453125,14.3998,23.4906,2453.88,1875.84
128,640000,128,-963.4183349609375,18.9686,25.3326,1517.54,1201.99
129,645000,129,-910.7841796875,24.2021,23.8851,1480.83,1251.0
130,650000,130,-881.4226684570312,24.0056,22.8168,1870.04,1348.34
131,655000,131,-687.4122314453125,19.9955,23.1944,3131.83,2296.95
132,660000,132,-533.568115234375,15.1993,23.2308,3143.74,2232.81
133,665000,133,-527.21484375,17.0767,23.6104,3142.94,2520.92
134,670000,134,-547.5973510742188,16.5431,24.296,3101.43,2600.24
135,675000,135,-989.5825805664062,17.6409,24.6587,1569.85,1340.84
136,680000,136,-304.99017333984375,14.3189,22.7651,3147.41,3178.77
137,685000,137,-715.4966430664062,19.5282,23.6238,1735.67,1572.88
138,690000,138,-551.6158447265625,13.2264,22.3186,2973.6,2087.41
