Running Reverse KL,Real Det Return,Running Update Time,Real Sto Return,Running Forward KL,Reward Loss,Itration,Running Env Steps
65.4083,180.46,0,197.2,39.3275,-41.30915451049805,0,0
49.4159,286.3,1,292.23,37.9994,-25.327354431152344,1,5000
24.5636,244.55,2,250.7,37.4197,-51.440208435058594,2,10000
123.8436,327.47,3,322.72,35.8734,-97.67266082763672,3,15000
110.3143,415.79,4,386.74,33.8041,-50.978919982910156,4,20000
69.3272,405.1,5,397.14,33.2853,-116.45403289794922,5,25000
128.1692,414.24,6,397.92,35.5686,-76.8050308227539,6,30000
23.2999,784.82,7,717.76,30.3949,-81.42412567138672,7,35000
56.1625,217.6,8,282.31,31.7398,-99.3685302734375,8,40000
24.291,648.97,9,649.27,33.1802,-128.34703063964844,9,45000
81.8185,1240.03,10,1134.52,31.61,-100.76544952392578,10,50000
67.0944,884.97,11,545.19,30.8964,-91.8957290649414,11,55000
52.8864,2347.75,12,1180.81,30.9377,-103.44186401367188,12,60000
35.512,1255.06,13,1456.36,29.3754,-70.5665054321289,13,65000
46.9241,950.21,14,2289.68,30.1959,-79.1145248413086,14,70000
39.3249,1427.0,15,1523.72,30.6688,-121.79876708984375,15,75000
38.2585,1692.77,16,1318.16,29.7185,-110.44912719726562,16,80000
83.403,2466.95,17,1380.76,30.1379,-182.2293701171875,17,85000
97.8702,2840.14,18,1751.32,30.5472,-174.689453125,18,90000
42.1648,2896.42,19,2217.34,29.8157,-106.09789276123047,19,95000
36.5621,2690.38,20,2252.06,28.9526,-90.22793579101562,20,100000
76.2941,932.71,21,936.08,30.8069,-234.71328735351562,21,105000
19.8931,2850.01,22,2491.65,28.2914,-49.166351318359375,22,110000
13.3371,2584.87,23,2350.79,28.9143,-24.9179744720459,23,115000
25.787,3065.42,24,2071.35,29.4578,-120.18637084960938,24,120000
15.5899,2885.25,25,2772.57,28.4179,-57.0444450378418,25,125000
17.5832,1504.24,26,2002.51,27.9103,-106.82969665527344,26,130000
48.5569,3038.23,27,1897.86,28.6606,-187.1970672607422,27,135000
68.0983,2971.92,28,1272.07,30.7643,-247.81597900390625,28,140000
13.7397,2941.19,29,2831.95,27.872,-49.08533477783203,29,145000
65.4997,3029.63,30,1461.47,29.6012,-200.30215454101562,30,150000
14.2659,2732.81,31,2756.82,29.3201,-55.474327087402344,31,155000
18.2319,2898.36,32,2185.06,28.726,-114.56566619873047,32,160000
30.7547,2926.14,33,1211.85,30.2283,-270.6656799316406,33,165000
25.9889,2814.67,34,1721.65,29.1435,-157.82762145996094,34,170000
67.3875,2248.04,35,1300.49,29.7609,-352.8504943847656,35,175000
15.2776,2954.77,36,2975.55,28.1727,-59.83574676513672,36,180000
65.8102,2569.23,37,1438.29,29.1709,-290.942626953125,37,185000
26.9905,2919.41,38,1942.29,28.5403,-156.7779541015625,38,190000
30.5981,1240.92,39,1367.8,29.0256,-388.3581237792969,39,195000
49.9727,1308.63,40,1185.08,29.349,-391.89434814453125,40,200000
20.1689,2931.67,41,2099.59,27.8123,-226.0868377685547,41,205000
52.7426,1149.26,42,1154.89,28.8009,-374.8763732910156,42,210000
27.2034,1817.47,43,1642.48,27.173,-261.4019470214844,43,215000
32.2938,1247.34,44,1560.84,27.9589,-268.59979248046875,44,220000
61.3644,1236.79,45,1188.89,29.1684,-392.655029296875,45,225000
39.6724,3005.33,46,2462.4,28.2662,-226.68667602539062,46,230000
38.0824,1196.14,47,1176.4,29.1026,-392.7730712890625,47,235000
12.7076,2936.2,48,1982.56,27.4497,-108.2831802368164,48,240000
31.1436,1214.09,49,1343.2,29.3968,-394.6548767089844,49,245000
28.5653,3109.74,50,1981.17,27.7643,-312.6712341308594,50,250000
