Running Env Steps,Real Det Return,Running Forward KL,Reward Loss,Running Update Time,Itration,Running Reverse KL,Real Sto Return
600000,3913.52,44.2637,-791.6527709960938,120,120,17.4235,3878.11
605000,3724.15,44.0178,-805.99462890625,121,121,16.0907,3712.64
610000,3888.69,43.6901,-791.75341796875,122,122,16.7538,3862.99
615000,3826.96,43.8655,-818.6642456054688,123,123,16.6424,3809.6
620000,3909.43,44.3242,-815.8966064453125,124,124,15.6194,3833.32
625000,3976.04,43.7299,-804.2166137695312,125,125,16.4915,3880.76
630000,3945.67,44.1334,-878.7865600585938,126,126,17.5341,3884.37
635000,3745.87,43.797,-862.6868286132812,127,127,16.4259,3072.73
640000,3981.46,43.2539,-838.15869140625,128,128,15.823,3544.23
645000,3946.21,43.589,-854.0182495117188,129,129,15.625,3897.75
650000,3845.93,43.9849,-855.7201538085938,130,130,15.7447,3819.5
655000,3933.92,42.8281,-835.4278564453125,131,131,15.4256,3897.02
660000,3915.54,43.6118,-861.63916015625,132,132,16.0054,3893.48
665000,3962.31,43.7788,-862.1475830078125,133,133,17.5237,3935.99
670000,3826.43,43.5406,-882.9074096679688,134,134,16.5333,3839.13
675000,3905.69,44.3244,-897.3232421875,135,135,16.5745,3845.53
680000,3900.85,43.2846,-873.4696655273438,136,136,16.657,3883.87
685000,3761.55,43.4537,-919.9886474609375,137,137,14.968,3794.15
690000,3920.65,43.0771,-905.28369140625,138,138,16.1249,3843.67
695000,3844.27,43.7522,-931.3474731445312,139,139,16.4239,3826.7
700000,3857.8,44.2666,-1002.1962890625,140,140,17.9352,3551.62
705000,3793.3,43.8694,-942.4774780273438,141,141,15.3283,3821.45
710000,3880.28,44.1386,-1016.6693725585938,142,142,20.0967,3889.41
715000,3927.58,43.2342,-961.089111328125,143,143,15.1417,3869.75
720000,3914.34,43.1936,-960.7332153320312,144,144,16.0197,3917.59
725000,3903.72,42.8904,-957.276611328125,145,145,15.3106,3806.95
730000,3795.77,43.4434,-990.312255859375,146,146,15.1852,3816.06
735000,3880.1,43.6093,-995.0242919921875,147,147,16.3108,3606.95
740000,4018.37,43.2623,-982.83203125,148,148,15.2879,3913.99
745000,3967.05,42.9331,-1031.2431640625,149,149,15.5254,3909.67
750000,3928.34,43.4904,-1015.3516235351562,150,150,15.8823,3874.24
755000,3925.33,42.8627,-994.5582275390625,151,151,15.5512,3898.55
760000,4013.29,43.6848,-1017.4292602539062,152,152,15.4271,3934.46
765000,3887.79,43.2934,-1043.5648193359375,153,153,15.7633,3860.0
770000,4052.98,42.8418,-1016.245361328125,154,154,15.6027,3969.81
775000,4085.7,43.2368,-1034.6446533203125,155,155,15.488,3941.38
780000,2752.27,44.0045,-1132.4683837890625,156,156,17.3538,3724.47
785000,3732.88,43.1675,-1112.951904296875,157,157,17.5938,3525.16
790000,388.1,46.8739,-1340.818359375,158,158,18.8652,594.89
795000,3970.28,43.1815,-1102.2392578125,159,159,15.4532,3884.9
800000,4108.75,43.0103,-1078.8074951171875,160,160,15.7257,3898.05
805000,4101.32,42.4225,-1083.12158203125,161,161,16.6794,3632.55
810000,3888.16,43.7461,-1133.1636962890625,162,162,15.8668,3850.35
