Real Sto Return,Real Det Return,Running Reverse KL,Itration,Running Forward KL,Running Env Steps,Reward Loss,Running Update Time
221.63,224.86,16.2888,0,31.8165,0,-1223.2337646484375,0
205.28,206.41,25.641,1,32.8258,5000,-1537.3526611328125,1
279.6,265.47,31.9718,2,30.9044,10000,-1259.5311279296875,2
303.54,299.86,22.2346,3,29.8961,15000,-1475.5435791015625,3
378.69,385.25,35.813,4,27.3361,20000,-1279.136474609375,4
524.57,518.76,30.2823,5,27.0883,25000,-1206.3734130859375,5
627.86,702.33,26.6562,6,27.5408,30000,-1350.439208984375,6
735.46,706.29,34.1889,7,28.656,35000,-1407.4801025390625,7
694.49,594.16,22.8866,8,28.8209,40000,-1403.217529296875,8
585.51,556.88,23.5956,9,28.1,45000,-1595.3006591796875,9
645.94,355.24,14.5963,10,27.3592,50000,-855.400634765625,10
1344.06,1276.89,15.4945,11,27.3029,55000,-1093.906005859375,11
1225.06,1357.69,25.8548,12,27.7083,60000,-1331.1060791015625,12
2525.97,3004.8,26.2167,13,27.2994,65000,-863.2491455078125,13
2089.1,3051.11,19.6412,14,26.9915,70000,-869.8070068359375,14
1588.05,3087.48,19.4734,15,27.7696,75000,-1058.3861083984375,15
1047.2,1009.72,28.0594,16,28.2218,80000,-1657.796142578125,16
1573.82,1318.53,29.2661,17,27.9253,85000,-1383.9478759765625,17
1777.4,1095.3,24.5693,18,27.2566,90000,-1324.5333251953125,18
1445.91,3099.07,22.2471,19,27.1919,95000,-1064.6468505859375,19
1501.15,1363.45,23.9959,20,26.5814,100000,-1183.4903564453125,20
1968.1,3083.25,22.1959,21,26.7988,105000,-1012.0424194335938,21
1479.57,1133.56,28.0207,22,27.2195,110000,-1427.7659912109375,22
1972.1,3148.91,22.1613,23,26.9368,115000,-1106.42822265625,23
1163.79,1036.87,25.831,24,27.801,120000,-1751.5263671875,24
1094.55,1757.77,23.9549,25,27.462,125000,-1674.1378173828125,25
1203.38,1220.61,26.256,26,27.0462,130000,-1812.4119873046875,26
2295.74,3062.61,21.6356,27,26.6293,135000,-1087.4061279296875,27
1983.56,3150.52,20.3561,28,25.8141,140000,-1039.53125,28
1450.84,2600.18,22.9278,29,26.4454,145000,-1609.1715087890625,29
1111.82,1191.52,28.8291,30,27.1927,150000,-1970.85986328125,30
1847.89,3128.71,23.167,31,26.874,155000,-1458.58935546875,31
1104.33,1175.8,24.0881,32,27.176,160000,-1840.371826171875,32
1125.6,1532.29,23.7621,33,27.6772,165000,-2016.3206787109375,33
1834.67,3121.82,20.6505,34,26.0417,170000,-1283.2833251953125,34
2185.07,3139.43,20.4059,35,26.0445,175000,-1295.662841796875,35
1493.81,2386.42,21.8023,36,26.4059,180000,-1674.561279296875,36
1870.46,2947.1,22.0623,37,25.9824,185000,-1593.106689453125,37
2074.22,3132.28,20.3754,38,26.5334,190000,-1287.52783203125,38
1095.29,1723.78,27.3493,39,27.0939,195000,-2237.3623046875,39
1465.22,1484.54,23.4219,40,26.4493,200000,-1838.0343017578125,40
1050.62,1473.31,25.7976,41,26.6572,205000,-2311.7021484375,41
1209.84,1980.62,26.9791,42,26.7212,210000,-2226.181396484375,42
1482.25,1550.35,27.2594,43,26.3244,215000,-2027.5860595703125,43
1596.49,3093.87,26.2599,44,26.3,220000,-2179.408935546875,44
1727.86,1487.88,24.3026,45,26.5745,225000,-1890.7286376953125,45
2175.47,3109.48,20.5701,46,25.5343,230000,-1196.336181640625,46
1261.5,2362.34,26.1311,47,26.7768,235000,-2290.243896484375,47
1174.08,1575.12,28.144,48,26.3025,240000,-2439.37353515625,48
1625.06,3115.53,23.8775,49,25.9645,245000,-1890.56396484375,49
1411.61,1879.68,29.3433,50,26.3853,250000,-2110.47607421875,50
1597.98,3153.77,22.6434,51,26.2275,255000,-1955.0450439453125,51
2047.38,3143.91,20.5428,52,26.0171,260000,-1810.23828125,52
1327.34,3101.55,22.1658,53,26.865,265000,-2477.175048828125,53
1312.74,1961.47,25.6468,54,26.1676,270000,-2427.29443359375,54
1309.55,2894.36,24.131,55,25.5873,275000,-2218.297607421875,55
1620.08,3142.78,24.704,56,25.5006,280000,-2379.477294921875,56
1896.84,3105.19,19.1443,57,25.4606,285000,-1945.1153564453125,57
1668.37,3134.33,22.9225,58,25.4472,290000,-2441.7646484375,58
1432.9,3131.06,20.8696,59,25.3364,295000,-2239.26318359375,59
1625.19,3013.46,22.1337,60,25.5195,300000,-2246.369140625,60
2149.6,3095.18,20.9322,61,26.0332,305000,-1747.6065673828125,61
1576.32,1372.9,21.1306,62,25.7669,310000,-2752.453857421875,62
1408.85,2475.04,23.3188,63,25.6484,315000,-2519.32421875,63
1428.7,3157.03,23.3698,64,25.7147,320000,-2663.435791015625,64
2082.35,3081.01,21.0225,65,25.4396,325000,-2308.571044921875,65
1252.96,3139.68,23.1323,66,25.8424,330000,-2818.24609375,66
1286.48,1146.18,23.7543,67,25.747,335000,-2975.092041015625,67
1560.89,3148.19,22.345,68,25.5819,340000,-2805.7509765625,68
1122.5,1232.3,24.0068,69,26.555,345000,-3100.84228515625,69
1534.63,3166.01,23.7782,70,25.6708,350000,-2961.15185546875,70
1302.84,1730.41,25.8279,71,26.1498,355000,-3322.455078125,71
1137.02,1223.34,24.7779,72,25.7935,360000,-3127.0224609375,72
1123.16,1187.27,26.4312,73,26.3472,365000,-3379.814453125,73
2003.56,3129.29,24.1395,74,25.4763,370000,-2979.779541015625,74
1478.07,1176.2,22.3638,75,25.316,375000,-2926.540283203125,75
1296.23,1238.93,26.3986,76,26.354,380000,-3527.6572265625,76
1583.92,1470.13,23.612,77,25.6348,385000,-3120.010498046875,77
1350.3,1176.66,26.8714,78,25.5558,390000,-3122.784423828125,78
1342.39,1676.94,23.692,79,25.657,395000,-3252.6923828125,79
2152.36,3128.86,20.1352,80,24.3377,400000,-2139.58203125,80
1708.87,3146.31,26.1861,81,25.5641,405000,-3160.724609375,81
1502.41,1268.65,25.4319,82,26.1126,410000,-3706.92626953125,82
1325.72,1158.93,24.1042,83,26.2341,415000,-3757.833740234375,83
1278.44,1255.68,28.2852,84,26.0346,420000,-3739.536865234375,84
