Running Reverse KL,Itration,Real Sto Return,Running Env Steps,Running Forward KL,Running Update Time,Reward Loss,Real Det Return
20.1035,0,197.86,0,39.7871,0,94.71402740478516,193.61
19.285,1,255.96,5000,37.7901,1,41.481361389160156,282.23
31.6903,2,291.48,10000,36.9136,2,23.812644958496094,279.97
45.7491,3,226.19,15000,36.1964,3,3.1533613204956055,219.1
33.8193,4,401.02,20000,34.4958,4,-14.260008811950684,409.62
44.2646,5,306.85,25000,38.5904,5,18.984426498413086,253.56
29.1138,6,508.62,30000,34.453,6,-24.109363555908203,512.86
26.1359,7,393.88,35000,36.5579,7,20.479463577270508,1049.68
22.864,8,78.28,40000,36.4701,8,62.32339859008789,74.5
30.3482,9,989.26,45000,44.0988,9,-13.667839050292969,989.34
38.9273,10,110.08,50000,43.89,10,-43.24375915527344,110.49
140.8363,11,153.21,55000,42.5012,11,-59.05194854736328,156.07
36.4218,12,359.88,60000,41.4908,12,-46.73834991455078,410.09
60.1644,13,1012.06,65000,44.1404,13,-55.26654815673828,1011.98
192.1602,14,233.57,70000,38.1267,14,-124.07575225830078,254.32
84.4466,15,800.99,75000,41.7474,15,-37.94647979736328,800.36
22.6282,16,1547.56,80000,37.8656,16,-37.10107421875,1519.28
39.2513,17,383.17,85000,36.6344,17,-151.17919921875,371.63
38.6313,18,105.67,90000,42.5689,18,-114.40083312988281,113.2
29.8197,19,980.38,95000,40.4633,19,-116.82093048095703,980.41
24.7395,20,699.74,100000,39.0144,20,-119.39923095703125,704.21
20.0394,21,966.1,105000,39.5454,21,-117.00016784667969,969.38
20.4737,22,1027.37,110000,41.7769,22,-138.09117126464844,1030.3
17.7592,23,978.71,115000,35.8215,23,-104.08901977539062,852.35
37.5486,24,1012.08,120000,35.1178,24,-130.69004821777344,1005.44
33.7278,25,1103.65,125000,39.1996,25,-148.32754516601562,1081.4
69.2615,26,343.39,130000,35.9379,26,-132.3982391357422,353.3
154.815,27,55.08,135000,39.0166,27,-188.10345458984375,54.74
100.0565,28,172.19,140000,39.981,28,-210.0712890625,170.85
48.5063,29,971.72,145000,43.1225,29,-217.40841674804688,971.03
28.5107,30,996.56,150000,41.3367,30,-218.14527893066406,995.73
27.7109,31,955.72,155000,39.7071,31,-206.68276977539062,955.0
28.9441,32,388.45,160000,36.0035,32,-178.45318603515625,388.77
24.8422,33,356.44,165000,36.9354,33,-183.86172485351562,363.03
57.1878,34,1040.67,170000,42.7609,34,-288.00457763671875,1040.64
83.9151,35,328.51,175000,36.0459,35,-173.7440185546875,330.83
35.7945,36,1199.47,180000,37.5523,36,-160.4541473388672,1141.32
19.2195,37,1118.02,185000,37.2697,37,-121.68183898925781,1083.81
20.0382,38,1355.17,190000,38.4101,38,-205.09115600585938,1354.6
56.9928,39,402.48,195000,36.6538,39,-214.13453674316406,268.67
18.3821,40,1080.21,200000,38.3421,40,-195.78573608398438,1021.86
44.3274,41,380.73,205000,37.9819,41,-180.9918670654297,384.7
19.2215,42,1405.61,210000,38.6822,42,-209.1531219482422,1406.64
51.2546,43,1184.18,215000,36.4396,43,-164.07550048828125,1211.71
70.4042,44,686.29,220000,35.5718,44,-271.40625,734.01
68.5339,45,491.97,225000,36.091,45,-343.7182922363281,688.01
125.5627,46,492.25,230000,34.9496,46,-399.4497985839844,542.81
155.85,47,415.6,235000,34.7183,47,-413.9132080078125,431.18
48.0891,48,900.33,240000,36.46,48,-249.13787841796875,970.62
22.3316,49,1216.21,245000,37.0283,49,-260.6793212890625,1188.69
69.1603,50,583.95,250000,35.8272,50,-254.46791076660156,712.19
142.2328,51,453.85,255000,33.1203,51,-331.95794677734375,518.52
22.8829,52,1153.94,260000,38.0117,52,-179.89039611816406,1370.41
44.172,53,915.34,265000,35.8327,53,-263.6734619140625,847.43
89.4308,54,972.58,270000,44.9578,54,-444.8210144042969,972.58
139.8426,55,680.37,275000,35.793,55,-472.04736328125,643.8
72.9036,56,-2.37,280000,45.5733,56,-488.6256103515625,-2.37
128.4091,57,139.84,285000,38.2459,57,-564.8108520507812,129.03
73.4693,58,96.2,290000,33.8686,58,-192.01966857910156,95.71
43.9719,59,436.16,295000,38.4346,59,-343.8933410644531,432.18
47.307,60,230.04,300000,38.909,60,-469.2778015136719,227.61
33.6969,61,225.8,305000,40.5946,61,-508.78125,228.47
47.6483,62,231.38,310000,40.0134,62,-533.7557983398438,235.86
36.3167,63,446.23,315000,39.2935,63,-491.9591064453125,390.66
46.2608,64,540.67,320000,37.8353,64,-469.0238952636719,507.81
42.3555,65,988.8,325000,43.1837,65,-516.0942993164062,988.79
33.3484,66,961.34,330000,41.3356,66,-481.2193603515625,956.95
25.5967,67,191.09,335000,40.8028,67,-454.1605224609375,179.89
27.2688,68,95.83,340000,41.2005,68,-456.14178466796875,91.43
66.5145,69,974.63,345000,43.7618,69,-581.385986328125,984.94
24.0545,70,1054.77,350000,39.9466,70,-524.5631103515625,1053.63
18.1922,71,1231.47,355000,38.8089,71,-476.12017822265625,1228.1
41.1614,72,320.34,360000,38.1723,72,-532.0074462890625,325.09
144.6199,73,387.0,365000,37.8727,73,-515.3406372070312,377.17
69.6446,74,542.94,370000,35.6605,74,-431.3523254394531,548.71
16.3863,75,551.53,375000,34.3879,75,-307.4896240234375,533.22
117.3317,76,381.56,380000,36.1118,76,-519.8958740234375,400.93
44.7346,77,945.23,385000,44.0153,77,-661.82470703125,945.31
46.3469,78,966.96,390000,43.6731,78,-666.9037475585938,966.96
32.1143,79,973.16,395000,42.8499,79,-651.0282592773438,973.26
28.9784,80,976.23,400000,42.6683,80,-635.4899291992188,976.78
29.4697,81,964.31,405000,42.0486,81,-590.8861083984375,963.89
29.2941,82,982.35,410000,42.9882,82,-685.0558471679688,981.29
28.4396,83,763.33,415000,37.2308,83,-549.7632446289062,706.46
28.1532,84,520.55,420000,36.1296,84,-530.2550659179688,553.04
172.238,85,341.56,425000,38.5101,85,-749.5145874023438,335.41
47.6598,86,907.18,430000,38.7373,86,-679.0491943359375,921.3
20.8451,87,888.77,435000,40.5276,87,-539.9771728515625,913.71
31.7099,88,1009.9,440000,42.6826,88,-740.638427734375,1012.12
27.8015,89,338.47,445000,40.1041,89,-798.1903686523438,338.24
21.1268,90,257.52,450000,37.8353,90,-665.6055908203125,239.69
