Running Forward KL,Itration,Running Reverse KL,Real Sto Return,Real Det Return
158.4631,0,11.3725,-170.04,-28.63
158.3158,1,11.7355,-88.82,15.09
158.1814,2,11.8216,31.16,556.39
158.0514,3,12.221,180.3,683.42
157.9606,4,12.9579,339.51,665.97
157.9493,5,14.1008,554.23,1038.84
157.8883,6,15.0474,644.32,913.13
157.8882,7,14.8036,803.1,1169.41
157.6549,8,14.7506,774.42,1229.71
157.4784,9,15.1264,900.32,1365.04
157.2702,10,15.1913,1025.75,1383.2
157.4589,11,15.7546,1137.24,1553.14
157.2944,12,15.9702,1189.01,1621.52
157.2369,13,15.7605,1199.84,1522.87
157.2393,14,15.8982,1282.37,1746.99
157.3687,15,15.668,1285.97,1684.17
157.3989,16,15.8875,1307.82,1677.06
157.4506,17,15.8646,1337.21,1855.66
157.3423,18,15.9116,1389.54,1865.6
157.2155,19,15.5935,1441.69,1877.72
157.3048,20,15.8674,1476.39,1928.99
157.33,21,16.252,1479.89,1919.61
157.2874,22,16.2426,1551.44,1954.3
157.1271,23,15.9078,1571.41,1945.56
157.1494,24,15.5575,1552.94,1947.03
157.2495,25,15.5576,1563.43,1875.14
157.2648,26,15.9495,1580.52,1996.04
157.0082,27,15.7921,1603.2,1984.75
157.09,28,15.7055,1605.48,1978.37
156.9498,29,15.3998,1606.5,2032.45
156.9622,30,15.5553,1652.04,2038.7
156.9883,31,16.1074,1668.1,2057.04
157.0517,32,15.7854,1685.78,2055.43
157.0279,33,15.3712,1637.07,1937.84
156.899,34,15.8759,1700.2,2083.81
157.0389,35,15.7694,1693.84,2079.71
156.9313,36,15.3353,1698.18,2009.49
157.0541,37,15.6724,1718.83,2098.48
157.0758,38,15.8324,1695.67,2080.18
157.0256,39,15.9852,1725.18,2087.99
156.9247,40,15.7852,1707.42,2055.02
156.931,41,15.7448,1721.02,2075.39
156.82,42,15.5503,1701.99,2054.37
156.9662,43,16.0369,1746.88,2108.64
156.8057,44,15.8163,1763.05,2109.88
156.9931,45,15.4371,1736.54,2076.15
156.7196,46,15.8959,1762.18,2097.56
156.7419,47,15.2825,1763.09,2111.05
156.9173,48,15.6175,1758.41,2078.39
156.7596,49,15.922,1797.45,2124.82
156.7927,50,15.6655,1772.82,2144.72
156.8463,51,15.6632,1802.19,2141.21
156.8681,52,15.6433,1760.73,2108.22
156.8566,53,15.764,1793.04,2129.32
156.8313,54,15.7809,1758.77,2126.37
156.824,55,15.8756,1801.25,2149.74
156.9084,56,15.8426,1800.13,2152.82
156.8369,57,15.8714,1793.73,2113.04
156.919,58,15.6662,1811.35,2127.61
156.8726,59,15.4658,1774.36,2114.15
156.7921,60,15.5318,1826.1,2142.29
156.8256,61,15.7329,1813.37,2154.99
156.659,62,15.6938,1830.09,2211.39
156.5522,63,15.4303,1794.89,2149.97
156.7504,64,15.344,1776.01,2066.56
156.6326,65,15.3314,1766.13,2059.91
156.6101,66,15.5387,1809.25,2128.94
156.746,67,15.2944,1780.46,2078.27
156.9773,68,15.5451,1810.14,2172.29
156.7567,69,15.6442,1814.15,2177.14
156.7984,70,15.7219,1838.02,2220.09
156.7664,71,15.5169,1821.39,2177.01
156.7443,72,15.5805,1808.86,2148.96
