Real Det Return,Real Sto Return,Running Reverse KL,Itration,Running Forward KL
249.2,245.78,25.0478,0,37.8428
254.95,267.16,18.2729,1,36.0845
267.95,256.58,21.0594,2,36.8487
259.93,279.83,25.5089,3,35.5149
345.06,339.95,32.027,4,35.4524
345.31,335.37,25.7789,5,36.2518
415.36,403.93,27.8602,6,36.0651
333.25,345.32,21.0852,7,36.4995
406.33,402.06,21.6037,8,35.7574
503.34,485.82,26.3936,9,34.4586
393.52,397.43,25.6239,10,36.3629
391.75,386.42,35.5029,11,38.002
473.71,464.55,22.7843,12,34.1285
434.49,427.33,29.7923,13,35.1867
462.71,471.28,27.8867,14,34.036
455.39,467.34,23.6069,15,34.1374
543.89,512.02,25.6764,16,33.1736
1216.1,960.51,23.2546,17,31.7475
744.09,1604.52,13.1336,18,28.8433
3049.07,1551.11,15.8766,19,29.7584
2938.79,1875.81,17.1205,20,29.7424
226.92,1105.22,15.7337,21,30.1082
2942.97,2860.15,15.7826,22,29.7304
778.72,830.91,24.732,23,31.9372
3111.52,1525.52,21.1317,24,30.3127
2983.52,1593.65,19.4234,25,30.0212
1532.37,1354.54,17.4554,26,30.4562
3127.32,2127.54,16.5317,27,30.513
2984.46,2981.96,16.3786,28,30.657
3055.27,2617.3,13.9339,29,28.9226
