Real Det Return,Real Sto Return,Itration,Running Reverse KL,Running Forward KL
409.41,-39.35,0,26.0438,75.3459
589.65,-73.3,1,25.2716,74.183
559.97,-43.54,2,26.5467,73.4376
598.07,6.64,3,28.6073,73.09
572.82,23.65,4,28.6155,72.4716
689.46,50.66,5,30.1932,72.5217
426.0,75.95,6,31.1283,72.3389
693.64,75.9,7,31.0982,72.6486
773.87,121.63,8,31.8168,72.9419
683.49,90.62,9,30.9454,71.6565
809.39,148.16,10,30.6421,70.5844
980.84,144.64,11,30.2135,69.336
897.55,220.96,12,31.8842,71.2542
884.23,215.41,13,31.4661,71.7499
833.09,169.74,14,30.9806,68.829
544.57,136.47,15,29.8429,68.4796
694.86,170.2,16,31.8708,72.2908
908.37,234.45,17,29.9465,68.2099
830.53,198.97,18,30.3938,69.2333
1015.78,216.7,19,31.2591,70.8068
866.48,256.92,20,30.6206,69.6959
1008.66,261.36,21,31.134,70.2275
909.61,269.29,22,30.8184,68.2432
1043.55,259.0,23,29.7525,67.4024
763.77,320.91,24,29.6511,65.9039
891.71,289.74,25,31.7942,71.0843
900.52,221.43,26,31.7278,71.3025
846.67,230.61,27,30.9357,68.5936
812.6,252.79,28,31.7406,71.5803
748.79,249.26,29,31.0111,70.4223
891.63,274.75,30,29.5789,67.0034
876.67,271.85,31,30.4915,70.4053
834.82,282.17,32,30.1122,67.467
908.01,203.16,33,30.9229,70.5393
934.53,227.38,34,30.8938,71.2344
818.83,278.38,35,30.5719,72.8787
938.22,238.93,36,30.2164,68.0701
898.11,237.49,37,30.9792,69.5818
909.77,280.92,38,30.2329,69.3923
1017.51,207.27,39,30.3902,69.646
920.31,233.6,40,31.5063,71.6121
981.22,308.1,41,29.2969,66.7351
875.91,249.58,42,30.9655,70.9946
872.52,243.16,43,29.7921,68.0214
900.96,293.42,44,29.335,67.0093
874.22,312.24,45,29.7423,69.7386
903.96,248.98,46,31.2825,71.8005
917.78,264.92,47,31.3304,73.7466
900.77,268.02,48,30.3723,68.9391
867.62,272.35,49,31.142,71.5122
807.87,331.7,50,30.7645,70.9653
956.84,307.02,51,31.0745,69.9537
799.36,279.03,52,31.4678,71.8242
908.74,309.88,53,31.309,69.6155
1048.16,321.13,54,30.3303,68.2456
920.43,341.08,55,30.4592,69.69
955.71,261.66,56,30.952,69.8191
812.76,265.22,57,31.1336,71.0835
824.02,207.94,58,31.3593,72.7063
789.69,284.43,59,31.3184,72.5748
909.88,279.79,60,31.3054,72.0499
875.2,315.13,61,31.1231,73.5495
858.64,239.05,62,31.0491,72.5247
870.37,245.74,63,31.2296,71.2451
811.8,261.44,64,30.8207,71.6491
899.43,288.89,65,30.9088,71.9591
781.82,241.36,66,31.1499,70.6403
911.01,273.4,67,30.7748,71.0581
731.42,244.15,68,31.9352,72.6
942.15,285.62,69,30.8041,70.5694
956.48,319.99,70,31.6698,73.3499
925.63,272.5,71,31.2302,71.9769
856.04,287.44,72,31.5974,72.9742
1022.91,325.66,73,31.3632,72.0592
1022.41,246.99,74,30.9737,72.6535
921.24,290.4,75,31.1063,71.9889
1012.95,290.81,76,30.4177,68.2781
857.37,232.81,77,31.3127,72.432
894.78,290.13,78,31.5362,73.3668
929.69,283.18,79,30.9366,70.9033
834.61,243.93,80,30.6596,69.7547
1017.98,329.84,81,30.6226,71.7412
985.04,313.15,82,30.4777,71.2216
910.87,318.71,83,31.3683,70.856
1046.63,294.52,84,30.7673,72.1867
1023.86,338.67,85,30.9411,72.0701
952.22,282.07,86,29.8071,69.1684
929.54,311.41,87,30.4859,70.5613
916.79,322.62,88,30.971,71.196
973.89,315.71,89,31.4513,72.2335
906.76,296.36,90,31.2087,73.169
964.02,366.34,91,31.26,71.6781
979.11,238.6,92,30.8608,71.6715
1034.27,283.6,93,30.7652,71.2614
1052.8,361.95,94,31.5196,73.4404
845.76,235.6,95,30.6666,70.6512
924.36,297.54,96,31.1899,72.2144
931.35,246.88,97,30.9276,72.561
905.53,336.54,98,30.9043,70.3346
1004.52,329.34,99,30.6433,70.7934
1017.84,221.95,100,31.1747,73.0582
901.01,303.94,101,30.7635,69.256
954.19,384.6,102,30.6103,70.3373
914.09,298.37,103,31.3077,72.6361
1037.13,348.76,104,31.0683,72.7902
907.5,287.87,105,31.0245,70.7834
888.54,266.13,106,30.5097,71.2712
947.3,294.82,107,30.6577,69.2261
990.83,333.43,108,30.7095,70.297
1025.17,317.28,109,30.5636,71.0231
962.9,302.18,110,30.2315,69.6553
1036.45,342.26,111,30.5946,68.9728
1018.25,328.76,112,30.7937,71.3542
889.79,276.07,113,30.9492,73.7419
978.95,265.76,114,30.9569,71.8403
1023.7,353.6,115,30.7798,71.1226
977.65,295.6,116,30.8311,71.4754
874.68,327.29,117,30.4344,71.8176
879.0,341.42,118,31.2428,72.2987
1030.89,371.12,119,30.591,70.6606
968.68,300.93,120,31.0838,72.2395
1020.13,325.82,121,29.788,69.053
970.51,297.7,122,30.8897,71.9995
1034.1,289.67,123,30.0438,69.6922
769.9,320.4,124,29.6073,70.5
1053.79,291.77,125,30.2165,69.5216
967.35,305.84,126,30.9258,72.3958
966.75,312.9,127,31.1475,72.6068
1023.66,347.38,128,31.0981,73.1381
1031.49,305.88,129,30.5837,71.7423
1020.64,339.29,130,30.4359,72.0967
910.49,331.24,131,31.3643,72.6635
898.89,309.0,132,30.7488,71.2365
990.0,328.7,133,31.01,71.8385
946.59,311.98,134,30.4991,72.177
969.51,353.98,135,31.0195,71.7236
877.62,272.33,136,30.5725,71.9733
