Running Env Steps,Real Det Return,Real Sto Return,Itration,Running Update Time,Reward Loss,Running Forward KL,Running Reverse KL
0,-19.38,-187.74,0,0,2.787262201309204,158.5103,11.4786
5000,368.7,-64.95,1,1,-40.26600646972656,158.3017,11.6737
10000,707.99,130.16,2,2,-94.67292022705078,158.2908,12.4717
15000,429.2,412.4,3,3,-153.2129669189453,158.1839,13.7468
20000,973.61,546.48,4,4,-208.48312377929688,158.0877,14.5064
25000,1023.43,623.58,5,5,-254.50881958007812,158.128,14.3383
30000,582.79,656.96,6,6,-298.38543701171875,158.0953,14.693
35000,631.12,724.84,7,7,-343.9929504394531,158.0054,14.5662
40000,1206.74,864.7,8,8,-404.81927490234375,158.0223,15.3777
45000,1293.28,865.48,9,9,-440.4286804199219,158.1087,15.4173
50000,1376.07,850.84,10,10,-477.3010559082031,157.9432,15.8378
55000,1498.08,945.32,11,11,-515.0424194335938,157.8924,16.4099
60000,1585.92,1111.16,12,12,-553.0463256835938,157.7245,17.1007
65000,1545.6,1084.58,13,13,-584.9392700195312,157.916,16.5053
70000,1600.6,1182.88,14,14,-637.4298706054688,157.626,16.4005
75000,1608.64,1200.51,15,15,-669.2592163085938,157.7755,16.0189
80000,1672.44,1287.41,16,16,-709.31787109375,157.9714,16.5839
85000,1721.31,1313.18,17,17,-760.5489501953125,157.983,16.7809
90000,1812.63,1377.55,18,18,-798.1948852539062,157.7265,16.0347
95000,1829.7,1335.98,19,19,-818.0670776367188,157.7783,16.2431
100000,1775.48,1378.71,20,20,-858.9816284179688,157.8228,16.2509
105000,1810.97,1445.82,21,21,-905.8945922851562,157.7202,16.2018
110000,1871.09,1480.93,22,22,-932.1560668945312,157.5493,16.0101
115000,1861.51,1433.8,23,23,-953.8831787109375,157.4575,15.5037
120000,1883.26,1501.98,24,24,-1007.416748046875,157.5069,16.2358
125000,1910.38,1542.19,25,25,-1039.8330078125,157.7606,16.2378
130000,1923.88,1552.73,26,26,-1064.105712890625,157.3662,16.0979
135000,1979.74,1566.82,27,27,-1099.0682373046875,157.3753,16.9032
140000,1938.38,1571.79,28,28,-1143.7503662109375,157.4141,16.058
145000,1859.2,1546.01,29,29,-1187.9801025390625,157.3074,16.0121
150000,1974.85,1631.49,30,30,-1223.196044921875,157.3454,16.4932
155000,1990.26,1626.36,31,31,-1250.810546875,157.2781,15.8694
160000,1996.17,1619.61,32,32,-1288.3157958984375,157.4608,16.2172
165000,1940.4,1641.68,33,33,-1307.959716796875,157.1926,15.8342
170000,2034.94,1655.76,34,34,-1340.23095703125,157.3157,16.4553
175000,1976.84,1619.46,35,35,-1406.006103515625,157.2477,16.3467
180000,1955.8,1634.14,36,36,-1431.8399658203125,157.3452,16.2698
185000,2006.67,1625.6,37,37,-1482.4278564453125,157.1366,16.0607
190000,2062.42,1693.79,38,38,-1504.8697509765625,157.4077,16.6714
195000,1955.86,1648.01,39,39,-1539.206787109375,157.1849,15.9617
200000,2047.94,1715.49,40,40,-1574.9873046875,157.1331,16.0915
205000,2065.58,1685.98,41,41,-1618.10107421875,157.17,16.288
210000,2005.0,1710.38,42,42,-1664.53125,157.4378,16.7011
215000,2013.59,1665.48,43,43,-1674.1025390625,157.1345,15.9457
220000,2041.03,1668.79,44,44,-1713.350341796875,157.2208,15.8504
225000,2000.04,1679.08,45,45,-1762.3428955078125,157.1843,15.9519
230000,2064.23,1709.3,46,46,-1812.1575927734375,157.3552,16.7083
235000,2032.27,1675.32,47,47,-1836.6378173828125,157.014,16.1492
240000,2078.8,1735.42,48,48,-1872.0460205078125,157.3033,16.1099
245000,2014.8,1704.93,49,49,-1918.0321044921875,157.0025,16.2142
250000,2080.47,1695.54,50,50,-1960.8753662109375,157.1149,16.3269
255000,2079.83,1763.84,51,51,-2009.3624267578125,157.0482,16.8682
260000,2114.16,1770.18,52,52,-2021.20947265625,157.0479,16.3124
265000,2114.1,1768.78,53,53,-2055.5478515625,156.9945,16.3921
270000,2043.85,1718.15,54,54,-2101.999755859375,157.2005,16.1378
275000,2122.38,1756.98,55,55,-2147.089111328125,157.1911,16.4497
280000,2095.22,1748.24,56,56,-2183.0654296875,157.1254,16.0191
285000,2039.29,1716.41,57,57,-2229.57568359375,157.2679,15.8417
290000,2000.46,1646.74,58,58,-2229.813720703125,156.9231,15.4412
295000,2017.96,1693.28,59,59,-2285.765380859375,157.1169,15.731
300000,1991.78,1680.43,60,60,-2313.24365234375,156.9607,15.6261
305000,2111.58,1745.08,61,61,-2353.63916015625,156.7943,15.5639
310000,2052.78,1749.25,62,62,-2424.8349609375,156.86,15.7989
315000,2082.42,1725.67,63,63,-2448.264404296875,157.062,15.8627
320000,2092.11,1724.41,64,64,-2479.650146484375,156.9537,15.6915
325000,2061.81,1728.1,65,65,-2500.788330078125,156.6987,15.5492
330000,2122.16,1731.98,66,66,-2569.406494140625,157.0215,15.6885
335000,2154.33,1762.62,67,67,-2627.200927734375,156.9236,15.835
340000,2051.21,1727.23,68,68,-2646.131591796875,156.9415,15.8017
345000,2129.74,1762.11,69,69,-2671.546630859375,156.9136,15.8735
350000,2150.48,1804.49,70,70,-2710.21435546875,156.936,16.4906
355000,2099.04,1762.22,71,71,-2756.03466796875,157.1608,15.9718
360000,2085.75,1754.08,72,72,-2786.96142578125,157.1667,15.7729
365000,2130.38,1772.42,73,73,-2804.279052734375,156.7972,15.6816
370000,2157.91,1785.79,74,74,-2879.173828125,157.0547,16.1678
375000,2077.22,1773.07,75,75,-2918.229736328125,156.9339,15.7231
380000,2177.89,1855.88,76,76,-2966.924072265625,157.0776,16.7342
385000,2114.73,1764.44,77,77,-2983.19140625,157.0256,15.7882
390000,2123.74,1771.05,78,78,-3049.164306640625,156.9666,15.9648
395000,2162.05,1801.3,79,79,-3076.72265625,156.85,16.3314
400000,2152.88,1783.68,80,80,-3118.654296875,156.9978,16.4048
