Real Det Return,Running Update Time,Real Sto Return,Running Reverse KL,Reward Loss,Running Forward KL,Itration,Running Env Steps
-35.82,0,-208.77,11.1995,-24.980932235717773,158.4189,0,0
10.15,1,-65.77,11.8017,-71.176025390625,158.3988,1,5000
-110.17,2,-58.44,11.5802,-126.89256286621094,158.318,2,10000
-13.71,3,-15.07,13.6442,-138.29165649414062,158.8293,3,15000
12.19,4,209.55,12.6012,-160.52976989746094,158.395,4,20000
715.14,5,458.4,13.6288,-184.43772888183594,158.1429,5,25000
698.25,6,651.06,14.0288,-163.36764526367188,157.6277,6,30000
1101.4,7,690.44,14.5256,-206.3686065673828,157.9401,7,35000
824.0,8,754.19,15.1716,-217.07106018066406,158.0533,8,40000
8.89,9,771.6,14.2362,-240.4908905029297,157.9102,9,45000
1387.17,10,1043.37,15.4247,-284.5478515625,157.6749,10,50000
1476.36,11,1008.56,16.2264,-292.17547607421875,157.8521,11,55000
1237.19,12,1025.64,15.477,-324.85614013671875,157.4747,12,60000
1528.11,13,1090.19,16.6336,-345.1741638183594,157.7699,13,65000
1017.96,14,1146.87,16.187,-361.27685546875,157.6004,14,70000
1730.72,15,1279.99,16.7998,-387.8824157714844,157.7853,15,75000
1672.55,16,1258.66,16.0839,-442.6656188964844,157.8011,16,80000
1700.52,17,1294.65,16.699,-448.049560546875,157.6615,17,85000
1727.68,18,1235.57,16.2151,-489.23785400390625,157.7372,18,90000
1718.12,19,1287.1,16.4461,-523.123046875,157.8443,19,95000
1789.45,20,1361.44,16.2581,-547.9261474609375,157.7046,20,100000
1771.89,21,1346.7,15.9347,-562.7322387695312,157.4124,21,105000
1794.62,22,1371.8,16.0517,-601.7223510742188,157.6107,22,110000
1810.66,23,1426.04,16.3353,-624.7725219726562,157.6507,23,115000
1805.1,24,1441.14,16.1257,-659.2811889648438,157.6486,24,120000
1837.75,25,1461.05,16.0945,-664.9204711914062,157.3282,25,125000
1877.33,26,1511.81,16.2816,-709.9935913085938,157.7497,26,130000
1923.49,27,1503.82,16.2794,-723.2294311523438,157.4815,27,135000
1931.71,28,1493.36,16.0122,-760.6989135742188,157.5045,28,140000
1930.87,29,1531.93,15.8524,-769.9136962890625,157.4198,29,145000
1923.67,30,1536.77,16.0321,-805.9549560546875,157.3609,30,150000
1938.4,31,1550.84,15.9693,-816.015380859375,157.5317,31,155000
1927.38,32,1570.67,15.7752,-829.4398803710938,157.1761,32,160000
1991.69,33,1611.49,15.952,-856.1363525390625,157.1421,33,165000
1976.37,34,1588.54,15.712,-877.7352905273438,157.0893,34,170000
2014.53,35,1625.66,15.9728,-905.298095703125,157.0167,35,175000
1968.95,36,1606.18,15.5949,-931.2406005859375,157.0586,36,180000
1986.64,37,1622.08,15.5826,-962.8429565429688,156.8333,37,185000
1993.53,38,1602.41,15.3368,-970.5765380859375,156.7871,38,190000
1999.42,39,1631.27,15.5657,-1021.7874145507812,157.0117,39,195000
2061.19,40,1661.15,15.6509,-1023.8772583007812,156.8988,40,200000
1994.96,41,1657.69,15.8178,-1064.51953125,157.2111,41,205000
2019.99,42,1639.91,15.4792,-1078.548095703125,156.9656,42,210000
2021.96,43,1631.64,15.7025,-1096.708984375,156.9631,43,215000
2004.45,44,1653.61,15.3505,-1117.26953125,156.7185,44,220000
2068.85,45,1722.46,15.8594,-1148.0784912109375,156.765,45,225000
2064.68,46,1712.97,15.9341,-1185.193359375,156.9159,46,230000
2041.4,47,1687.32,15.386,-1196.455322265625,156.6805,47,235000
1988.85,48,1646.58,15.1709,-1243.8223876953125,156.7821,48,240000
2065.13,49,1681.02,15.6084,-1265.77587890625,156.7024,49,245000
2039.87,50,1657.17,15.3842,-1282.0654296875,156.8337,50,250000
2044.44,51,1698.97,16.2606,-1314.0399169921875,157.085,51,255000
1952.38,52,1641.22,15.1296,-1337.31298828125,156.6398,52,260000
2084.51,53,1685.94,15.4849,-1354.951171875,156.8236,53,265000
2052.43,54,1702.79,15.3865,-1386.867919921875,156.7053,54,270000
2032.16,55,1655.23,15.4576,-1427.912353515625,157.046,55,275000
2047.91,56,1680.55,15.6288,-1451.438232421875,156.8921,56,280000
2069.52,57,1698.57,15.5161,-1480.916748046875,156.8894,57,285000
2100.97,58,1717.95,15.5764,-1502.9432373046875,156.9094,58,290000
2054.03,59,1693.66,15.4051,-1511.58544921875,156.8611,59,295000
2043.08,60,1685.46,15.6989,-1580.6512451171875,156.8834,60,300000
2116.21,61,1719.34,15.3303,-1564.04833984375,156.7078,61,305000
2047.79,62,1726.96,15.7411,-1625.1666259765625,156.7437,62,310000
2121.5,63,1738.86,15.7573,-1645.919921875,156.8771,63,315000
2093.42,64,1726.65,15.6037,-1659.472900390625,156.8286,64,320000
2121.2,65,1748.24,15.7672,-1709.0897216796875,156.8829,65,325000
2123.57,66,1757.66,15.8194,-1718.15966796875,156.7498,66,330000
2109.26,67,1695.28,15.3526,-1738.640869140625,156.648,67,335000
2076.14,68,1716.91,15.5117,-1779.125244140625,156.7948,68,340000
2077.87,69,1725.96,15.1016,-1799.720458984375,156.7432,69,345000
2108.22,70,1736.5,15.3196,-1818.1829833984375,156.6497,70,350000
2057.69,71,1722.94,15.4313,-1858.501708984375,156.8355,71,355000
2075.38,72,1753.26,15.6997,-1878.0086669921875,156.7685,72,360000
2062.24,73,1676.18,14.9954,-1889.7578125,156.6995,73,365000
