Running Update Time,Running Reverse KL,Itration,Reward Loss,Real Sto Return,Real Det Return,Running Forward KL,Running Env Steps
0,23.454,0,540.0146484375,166.36,117.17,32.0455,0
1,46.4198,1,101.63571166992188,218.47,218.84,32.4775,5000
2,55.6068,2,606.5208129882812,236.72,219.27,31.9306,10000
3,68.4739,3,602.11962890625,290.31,283.62,30.4436,15000
4,49.9266,4,477.68829345703125,297.85,308.55,31.912,20000
5,29.8077,5,50.25749588012695,272.98,101.63,37.4674,25000
6,30.6697,6,225.87391662597656,437.68,452.22,28.2109,30000
7,76.8447,7,261.91363525390625,325.48,329.95,30.7944,35000
8,57.5846,8,283.90826416015625,482.79,569.83,27.8695,40000
9,32.6565,9,268.0389709472656,391.75,309.21,28.6921,45000
10,21.9895,10,-227.0679473876953,359.91,376.2,27.8798,50000
11,15.857,11,81.58027648925781,525.14,1109.93,28.8118,55000
12,79.904,12,-333.0138244628906,129.36,618.78,35.498,60000
13,31.9682,13,-239.18405151367188,104.78,94.68,31.7418,65000
14,28.8164,14,-142.9092559814453,5.94,3.73,34.725,70000
15,36.4503,15,-413.3805236816406,1020.2,1020.72,34.9856,75000
16,31.6159,16,-274.265625,671.21,719.97,32.295,80000
17,56.3579,17,-684.388427734375,299.51,287.52,30.8708,85000
18,57.7171,18,-676.5828857421875,280.35,262.26,32.2063,90000
19,60.5523,19,-528.822509765625,390.93,382.04,28.8068,95000
20,45.7957,20,-612.7250366210938,378.87,316.2,30.8605,100000
21,31.1886,21,-610.9961547851562,303.15,350.29,29.325,105000
22,22.712,22,-407.43414306640625,126.14,133.04,32.6876,110000
23,38.2906,23,-769.1346435546875,239.33,231.72,33.6701,115000
24,54.5595,24,-438.5746765136719,415.41,403.72,29.563,120000
25,25.4741,25,-522.9356079101562,222.17,242.11,30.9459,125000
26,39.6222,26,-459.0367431640625,202.74,201.22,31.5619,130000
27,37.5366,27,-660.8571166992188,209.57,210.33,30.8027,135000
28,45.7099,28,-1053.8916015625,239.7,242.97,30.4799,140000
29,61.5507,29,-1077.398193359375,73.45,73.71,29.3297,145000
30,55.4943,30,-1182.1285400390625,6.07,6.11,39.1758,150000
31,56.3809,31,-525.2193603515625,0.69,0.72,35.1269,155000
32,221.2394,32,-1281.6837158203125,5.99,6.89,33.6108,160000
33,237.7427,33,-1361.4873046875,1.55,1.62,39.6455,165000
34,233.5613,34,-1123.5628662109375,37.82,37.89,35.772,170000
35,54.0906,35,-1660.1917724609375,129.08,130.09,35.1743,175000
36,57.0329,36,-1768.4669189453125,76.6,79.17,35.3604,180000
37,19.3382,37,-952.24853515625,60.85,58.24,30.7363,185000
38,16.9581,38,-621.702880859375,151.01,137.31,31.1894,190000
39,40.0688,39,-989.336181640625,173.61,206.27,31.4896,195000
40,69.9084,40,-1278.5426025390625,188.49,189.53,32.3854,200000
41,17.1841,41,-703.9526977539062,233.99,223.97,31.3107,205000
42,31.4375,42,-862.3738403320312,256.18,256.39,30.9116,210000
43,108.5626,43,-1511.3206787109375,315.8,308.38,31.0322,215000
44,19.6591,44,-1524.3533935546875,910.85,958.73,32.6466,220000
45,21.6008,45,-1092.3865966796875,1025.55,1025.22,34.2986,225000
46,66.8841,46,-937.1157836914062,373.06,301.19,31.135,230000
47,15.2855,47,-461.4586181640625,199.95,206.44,31.1232,235000
48,34.908,48,-1104.783203125,315.15,354.5,30.6663,240000
49,27.8958,49,-1536.3995361328125,179.16,114.86,35.0,245000
50,22.0661,50,-1305.0770263671875,744.72,716.03,32.9158,250000
51,72.8992,51,-1711.1221923828125,559.84,733.72,32.8351,255000
52,42.5747,52,-1899.1217041015625,967.66,969.73,36.9269,260000
53,30.8191,53,-1875.174560546875,968.32,968.74,36.2624,265000
54,32.6705,54,-1922.137451171875,969.98,969.52,37.1728,270000
55,30.0698,55,-1858.634033203125,964.58,964.47,36.1643,275000
56,36.395,56,-1891.9532470703125,969.31,970.07,35.8247,280000
57,24.2622,57,-1735.7034912109375,957.66,962.68,35.1352,285000
58,26.2055,58,-1676.933837890625,934.89,940.42,35.1196,290000
59,20.251,59,-1312.404296875,869.36,867.36,34.3544,295000
60,36.3107,60,-1259.0894775390625,759.17,838.84,31.0526,300000
61,42.5229,61,-1201.79296875,521.38,365.0,30.955,305000
62,61.8446,62,-1284.689697265625,324.79,354.54,30.5625,310000
63,70.1895,63,-1308.404296875,221.95,238.4,30.6991,315000
64,59.0085,64,-1100.5142822265625,248.86,249.93,29.1825,320000
65,60.0659,65,-1435.274169921875,240.98,229.57,30.0278,325000
66,34.1107,66,-1472.570068359375,224.61,215.12,30.3425,330000
67,55.9972,67,-1719.5970458984375,380.69,524.83,32.9993,335000
68,26.9271,68,-1455.4642333984375,561.41,555.99,30.4756,340000
69,31.057,69,-1839.4267578125,361.06,327.94,29.9709,345000
70,30.3612,70,-1906.3824462890625,594.61,548.11,28.6362,350000
71,25.0495,71,-2005.5211181640625,527.83,541.72,35.4928,355000
72,40.1072,72,-2259.45068359375,567.71,547.85,30.6443,360000
73,17.753,73,-2038.8717041015625,927.11,926.52,33.6557,365000
74,18.0201,74,-2180.929931640625,923.14,931.52,33.5145,370000
75,18.6362,75,-2189.79638671875,939.92,941.97,34.1123,375000
76,18.2134,76,-2202.9462890625,906.98,966.81,33.1487,380000
77,18.7401,77,-2513.090087890625,953.37,983.95,33.3437,385000
78,17.667,78,-2287.9619140625,993.2,989.94,33.4559,390000
79,83.6269,79,-1784.399658203125,388.02,415.4,27.3943,395000
80,67.5309,80,-1640.7825927734375,647.79,590.84,29.2006,400000
81,74.049,81,-2521.7021484375,581.71,485.29,30.0049,405000
82,133.6401,82,-2339.378173828125,564.64,522.86,28.8697,410000
83,96.7691,83,-2144.500732421875,536.78,499.96,28.1325,415000
84,121.2163,84,-2759.36328125,554.18,547.06,27.8693,420000
85,89.9191,85,-2498.9775390625,714.49,775.26,28.3213,425000
86,19.791,86,-2488.383544921875,897.02,890.69,29.5429,430000
87,87.1899,87,-2588.524169921875,578.63,553.58,28.7618,435000
88,115.9953,88,-2336.6044921875,545.92,528.23,27.6891,440000
89,107.1199,89,-2872.0732421875,607.96,540.45,28.6513,445000
90,111.6272,90,-2656.7177734375,568.03,570.13,28.9485,450000
91,81.8554,91,-2887.88330078125,359.15,409.27,28.806,455000
92,48.3561,92,-2293.9951171875,610.1,593.45,28.5436,460000
93,96.216,93,-3199.273681640625,344.21,361.02,28.8971,465000
94,54.8879,94,-2710.99951171875,346.0,362.88,29.0291,470000
95,30.7932,95,-2050.157958984375,510.38,604.63,29.0487,475000
96,90.1121,96,-2977.304931640625,469.59,406.83,29.5356,480000
97,14.5392,97,-3092.769775390625,944.94,1032.05,30.9591,485000
98,52.6296,98,-3301.267333984375,805.81,744.09,29.8073,490000
99,16.4082,99,-3234.826171875,1001.1,963.73,30.5298,495000
100,55.6196,100,-3359.4658203125,319.92,328.94,29.3965,500000
101,21.8625,101,-3732.74365234375,505.26,401.63,30.6254,505000
102,35.4529,102,-4109.14306640625,258.05,257.34,29.9578,510000
103,26.0421,103,-3980.347900390625,302.25,289.37,29.9509,515000
104,82.8527,104,-3888.490478515625,366.59,437.57,30.2199,520000
105,27.2939,105,-4215.92822265625,405.25,472.09,30.7166,525000
106,14.3445,106,-2899.610595703125,648.22,645.49,30.2329,530000
107,27.1963,107,-3076.435302734375,355.12,354.45,29.0467,535000
108,16.9039,108,-3342.39599609375,318.99,337.82,30.2601,540000
