Real Det Return,Real Sto Return,Running Env Steps,Running Update Time,Running Reverse KL,Running Forward KL,Itration,Reward Loss
331.09,395.98,0,0,13.3669,48.6024,0,80.01805877685547
545.61,451.7,5000,1,12.6193,47.9961,1,74.72827911376953
330.41,400.32,10000,2,13.958,48.3017,2,30.796066284179688
387.62,484.68,15000,3,13.3109,48.5709,3,27.355470657348633
403.66,400.72,20000,4,13.9883,48.9015,4,32.91295623779297
561.92,569.5,25000,5,15.0548,48.7314,5,-19.039072036743164
1071.13,1000.02,30000,6,13.93,47.9096,6,-7.417537212371826
510.49,393.26,35000,7,15.7629,49.8631,7,-14.810264587402344
1904.71,1319.68,40000,8,17.5556,47.5382,8,-2.369903087615967
2146.76,1695.0,45000,9,16.5145,47.4835,9,29.11704444885254
1395.05,1004.47,50000,10,16.0749,47.2688,10,-27.699920654296875
2108.96,1443.0,55000,11,20.439,47.7143,11,-3.1589455604553223
1442.25,1004.71,60000,12,20.1941,47.3584,12,5.882102966308594
1191.79,898.0,65000,13,21.0323,47.6848,13,-3.532787799835205
1243.72,1172.34,70000,14,33.9726,46.9248,14,-8.85344123840332
1074.61,1155.71,75000,15,26.5476,46.9441,15,-32.12017822265625
1254.92,1172.67,80000,16,40.4766,48.0247,16,-34.044883728027344
1283.03,996.38,85000,17,42.8157,47.8505,17,-45.3498420715332
1605.32,1097.24,90000,18,56.2345,47.946,18,-39.353450775146484
1853.57,1590.58,95000,19,32.6374,46.8608,19,-39.71638107299805
2129.48,1630.58,100000,20,19.4935,46.6411,20,-52.566131591796875
1419.44,976.65,105000,21,21.043,47.3127,21,-69.99895477294922
1325.08,1219.25,110000,22,24.5813,47.4602,22,-75.24906921386719
1302.57,1152.99,115000,23,26.481,46.7754,23,-78.9686050415039
1026.48,920.26,120000,24,20.639,47.2926,24,-101.00454711914062
1689.64,1361.91,125000,25,27.27,47.2449,25,-94.22584533691406
1899.13,1413.99,130000,26,15.9533,45.9076,26,-118.80371856689453
1550.05,1462.68,135000,27,23.711,45.6305,27,-95.00031280517578
2809.18,1975.37,140000,28,19.268,44.9445,28,-108.14708709716797
1884.73,1407.37,145000,29,30.7596,45.7418,29,-133.79827880859375
1665.7,1316.02,150000,30,31.9311,46.2475,30,-141.85731506347656
1306.45,1283.4,155000,31,25.7126,46.5521,31,-147.63775634765625
2101.95,1707.58,160000,32,15.0324,45.3335,32,-167.9404296875
464.11,462.54,165000,33,26.245,47.9464,33,-235.92349243164062
