Running Env Steps,Running Update Time,Itration,Real Det Return,Real Sto Return,Running Reverse KL,Running Forward KL,Reward Loss
0,0,0,423.71,306.86,13.5133,48.7907,711.4393920898438
5000,1,1,282.04,317.42,16.124,48.8644,-37.8396110534668
10000,2,2,405.63,350.87,13.5198,49.3719,133.0418701171875
15000,3,3,408.63,293.33,14.3794,49.5816,596.434814453125
20000,4,4,364.5,367.53,13.7938,49.794,155.36631774902344
25000,5,5,312.44,365.88,27.5275,49.871,-46.157962799072266
30000,6,6,365.92,343.33,20.5333,49.1336,-233.592529296875
35000,7,7,389.19,470.14,13.9269,47.9688,99.46772003173828
40000,8,8,459.46,456.22,13.3879,48.5861,-89.1703109741211
45000,9,9,422.99,416.06,13.9225,49.1677,-18.309961318969727
50000,10,10,578.23,501.01,14.7533,49.54,-45.12995529174805
55000,11,11,461.09,463.94,18.2801,49.2319,-613.2544555664062
60000,12,12,584.38,501.9,14.8951,48.904,-306.86431884765625
65000,13,13,709.93,569.34,13.9991,47.4948,-145.8925018310547
70000,14,14,622.0,614.4,19.5188,47.8319,-693.5223388671875
75000,15,15,1879.47,978.95,15.0122,47.9632,-318.2980651855469
80000,16,16,1155.25,732.28,13.0443,47.4884,-263.2892150878906
85000,17,17,610.63,624.33,14.0966,48.0663,-180.5017547607422
90000,18,18,693.03,675.59,15.1041,46.9591,63.246089935302734
95000,19,19,2170.17,1549.16,14.8923,46.6143,-258.6606140136719
100000,20,20,1939.24,1321.82,17.6267,47.098,-824.977294921875
105000,21,21,606.43,711.27,49.4545,46.3831,-1320.838134765625
110000,22,22,2090.49,2080.56,14.7307,46.9634,-1280.7122802734375
115000,23,23,2473.66,2339.85,20.2579,45.9898,-1252.0330810546875
120000,24,24,1395.19,1473.77,27.53,45.9175,-1300.8551025390625
125000,25,25,761.38,1504.81,30.1265,44.9247,-1065.228759765625
130000,26,26,1916.62,1520.09,32.5121,45.2277,-1064.607177734375
135000,27,27,2098.22,2472.13,15.9743,44.9273,-973.5213623046875
140000,28,28,2960.23,2787.92,22.2401,43.9962,-1045.4041748046875
145000,29,29,3014.93,2810.46,14.9087,44.427,-934.2177734375
150000,30,30,1886.48,2203.58,13.1467,43.9649,-1130.65234375
155000,31,31,3169.93,3032.71,13.6746,43.1083,-1045.9417724609375
160000,32,32,3245.08,2777.93,13.3883,43.1762,-1023.2276000976562
165000,33,33,3149.73,2825.19,14.2258,43.7738,-1148.7086181640625
170000,34,34,3158.45,3024.22,15.5889,43.8195,-1161.218505859375
175000,35,35,3432.83,3331.11,13.5272,43.0587,-1220.493408203125
180000,36,36,3415.51,3285.48,13.5676,43.1144,-1069.2210693359375
185000,37,37,3064.41,3351.19,14.9411,43.8315,-1103.352294921875
190000,38,38,2243.05,2882.99,13.3727,43.7227,-1042.644287109375
195000,39,39,3610.18,3353.94,13.1324,42.7748,-1055.674560546875
200000,40,40,3518.77,3412.87,14.9789,42.8456,-1057.1729736328125
205000,41,41,3757.35,3445.75,14.3998,42.1535,-1108.56982421875
210000,42,42,3827.06,3692.06,14.1507,41.66,-1091.66455078125
215000,43,43,3743.33,3495.06,14.3635,41.9865,-1111.1142578125
220000,44,44,3546.59,3510.02,14.1611,42.8026,-1177.3575439453125
225000,45,45,3641.72,3717.88,16.1493,41.6575,-1118.1212158203125
230000,46,46,3717.62,3365.0,14.4515,42.5409,-1173.4970703125
235000,47,47,3789.27,3844.02,15.5896,41.2578,-1100.8131103515625
240000,48,48,3653.84,3668.89,15.6995,42.4252,-1087.6046142578125
245000,49,49,3999.28,3909.34,16.4839,42.0729,-1138.947509765625
250000,50,50,3788.34,3667.97,14.9463,42.0797,-1259.3453369140625
255000,51,51,4069.23,3706.29,13.2886,41.0636,-1274.0166015625
260000,52,52,4007.47,3952.62,13.6897,41.1027,-1291.8460693359375
265000,53,53,4058.57,3622.01,14.0019,40.3901,-1405.17822265625
270000,54,54,4001.61,3616.64,12.6836,40.8361,-1351.6226806640625
275000,55,55,3969.58,3846.25,14.1153,40.9607,-1235.615478515625
280000,56,56,4113.42,3966.71,14.2612,40.0972,-1342.5899658203125
285000,57,57,4014.03,4024.05,14.3164,40.1217,-1330.014404296875
290000,58,58,3963.92,3943.67,12.9498,40.5163,-1313.0269775390625
295000,59,59,4028.28,3973.41,13.568,40.1457,-1346.2117919921875
300000,60,60,4069.16,4097.9,16.1065,40.3364,-1166.322021484375
305000,61,61,3905.38,3837.23,13.6771,40.0566,-1335.095458984375
310000,62,62,3868.83,4002.95,15.8027,40.1154,-1525.2440185546875
315000,63,63,3756.64,3902.69,14.9898,40.4986,-1373.023681640625
320000,64,64,4104.35,4159.86,13.8997,39.6051,-1500.4039306640625
325000,65,65,3939.78,3993.37,13.8878,40.4261,-1379.2098388671875
330000,66,66,3987.83,4001.0,16.0249,41.1687,-1510.2037353515625
335000,67,67,4203.4,4011.09,13.9285,39.5755,-1451.0469970703125
340000,68,68,3852.6,3943.06,14.348,39.623,-1579.417236328125
345000,69,69,4312.98,4136.85,13.115,38.8194,-1505.1959228515625
350000,70,70,4301.41,3318.95,12.1666,39.4528,-1548.457763671875
355000,71,71,4341.15,4213.16,13.2193,37.9258,-1537.162353515625
360000,72,72,4264.79,3926.57,14.3074,38.1444,-1483.09375
