Itration,Running Env Steps,Running Update Time,Real Det Return,Running Forward KL,Reward Loss,Real Sto Return,Running Reverse KL
0,0,0,-21.31,158.6338,36.74551773071289,-200.56,11.6693
1,5000,1,22.25,158.152,-25.208324432373047,-64.85,11.4426
2,10000,2,357.09,158.1657,-201.14210510253906,176.93,11.9429
3,15000,3,94.67,158.4379,-245.29202270507812,5.37,12.2813
4,20000,4,495.61,158.6473,-186.16954040527344,204.63,13.9639
5,25000,5,1635.54,157.6257,-251.51112365722656,913.12,12.2738
6,30000,6,2115.65,156.7924,-299.4544372558594,1475.49,12.5099
7,35000,7,1622.51,156.5245,-218.83998107910156,1167.0,11.9879
8,40000,8,2859.32,156.6383,-404.73651123046875,2108.65,13.7722
9,45000,9,3020.49,156.4437,-403.5329895019531,2288.15,13.3377
10,50000,10,3331.44,156.3255,-460.7127685546875,2690.34,13.9627
11,55000,11,3297.01,156.0808,-499.01214599609375,2871.96,14.3386
12,60000,12,3673.45,156.0299,-501.04571533203125,2993.26,13.9496
13,65000,13,3750.39,155.7377,-569.2279663085938,3336.73,15.0628
14,70000,14,4117.0,155.731,-578.2394409179688,3510.37,14.4877
15,75000,15,3993.69,155.3295,-599.00244140625,3611.27,14.8635
16,80000,16,4325.06,155.2808,-653.98779296875,3845.78,15.8692
17,85000,17,4530.2,154.0602,-647.244140625,4046.18,14.6217
18,90000,18,4688.93,154.5975,-685.32080078125,3954.04,14.7991
19,95000,19,4817.75,154.8469,-738.4598388671875,4356.04,15.8685
20,100000,20,5119.68,154.1497,-731.1286010742188,4537.76,15.7353
21,105000,21,5167.12,154.1656,-768.8060913085938,4606.47,15.7536
22,110000,22,5407.8,154.0049,-840.3453979492188,4857.9,16.8014
23,115000,23,5442.68,153.6729,-787.6813354492188,4734.78,15.2442
24,120000,24,5439.97,154.1734,-838.23681640625,4893.49,15.4512
25,125000,25,5658.1,154.0918,-883.566162109375,5139.12,16.3772
26,130000,26,5731.58,153.666,-866.1597900390625,5168.76,16.058
27,135000,27,6077.5,153.2732,-869.0272827148438,5263.85,15.2436
28,140000,28,5982.26,153.271,-922.6548461914062,5492.9,16.7475
29,145000,29,6108.54,153.0698,-931.3692016601562,5236.27,16.6062
30,150000,30,6411.27,153.0589,-953.3013305664062,5758.06,16.2686
31,155000,31,6159.57,152.9415,-920.9179077148438,5673.4,14.8318
32,160000,32,6624.01,152.6785,-913.8826293945312,5947.18,14.9344
33,165000,33,6489.72,153.0425,-989.441650390625,5931.13,15.6938
34,170000,34,6305.41,152.8857,-1002.384765625,5895.61,15.7994
35,175000,35,6698.97,152.2994,-987.5523071289062,6069.71,15.2607
36,180000,36,6711.28,152.6727,-1004.1083984375,6193.59,15.1565
37,185000,37,6929.55,152.5454,-1049.0528564453125,6074.34,14.7612
38,190000,38,6995.4,151.7607,-1067.9876708984375,6301.76,15.9585
39,195000,39,7066.59,152.0495,-1082.37451171875,6647.17,16.2562
40,200000,40,6878.46,151.7758,-1097.409423828125,6470.07,16.0505
41,205000,41,7100.9,152.3963,-1107.0074462890625,6234.23,15.6691
42,210000,42,7552.84,151.7043,-1122.9996337890625,6696.79,15.0313
43,215000,43,7286.72,151.8155,-1138.732421875,6564.34,15.1907
44,220000,44,7356.89,151.1332,-1127.0760498046875,6908.36,15.4547
45,225000,45,7410.01,151.5257,-1182.579833984375,6931.95,15.9903
46,230000,46,7455.89,151.7967,-1203.8861083984375,6850.4,15.6332
47,235000,47,7518.06,151.6729,-1192.576416015625,6982.23,15.525
48,240000,48,7699.7,151.2636,-1197.893798828125,7046.32,15.5462
49,245000,49,7640.79,151.5958,-1292.5859375,7212.86,17.1665
