Running Forward KL,Running Reverse KL,Itration,Reward Loss,Running Update Time,Real Det Return,Real Sto Return,Running Env Steps
158.5732,11.768,0,12.187421798706055,0,-14.05,-175.72,0
158.4682,11.7012,1,-32.76875686645508,1,17.41,-100.94,5000
158.0799,11.4973,2,-64.17113494873047,2,52.41,41.93,10000
157.7563,11.6328,3,-98.64566040039062,3,699.49,170.97,15000
157.912,12.0963,4,-167.50120544433594,4,587.01,246.6,20000
157.6315,12.3149,5,-212.45205688476562,5,847.28,359.47,25000
157.7705,13.2017,6,-251.94837951660156,6,972.48,471.84,30000
157.868,14.3036,7,-304.9334716796875,7,1009.71,633.24,35000
158.1922,15.7629,8,-343.0862731933594,8,1304.49,838.06,40000
157.8403,15.2391,9,-399.7914733886719,9,1236.94,874.83,45000
158.0221,15.2637,10,-452.56341552734375,10,1337.91,886.85,50000
158.0187,15.9119,11,-494.92919921875,11,1460.4,1059.96,55000
157.8554,16.004,12,-523.3458251953125,12,1512.11,1124.56,60000
157.8111,16.0363,13,-558.3709716796875,13,1552.78,1138.05,65000
157.8742,15.9632,14,-599.5860595703125,14,1659.89,1159.04,70000
157.9216,16.3338,15,-630.0806274414062,15,1612.23,1197.27,75000
157.7615,16.4207,16,-665.8023681640625,16,1737.74,1315.26,80000
157.6274,16.28,17,-705.7755126953125,17,1814.25,1335.0,85000
157.8638,16.4368,18,-752.9381103515625,18,1807.92,1307.95,90000
157.3681,16.0458,19,-789.3999633789062,19,1845.15,1417.03,95000
157.8905,16.7809,20,-838.2584838867188,20,1846.51,1467.46,100000
157.7492,16.2157,21,-870.468994140625,21,1859.75,1453.02,105000
157.3485,16.3602,22,-902.884033203125,22,1923.56,1480.86,110000
157.4324,16.3084,23,-951.3423461914062,23,1914.89,1525.31,115000
157.5499,16.3593,24,-998.4335327148438,24,1882.93,1545.4,120000
157.2744,15.2707,25,-1014.1823120117188,25,1796.3,1456.51,125000
157.5032,16.0705,26,-1069.0064697265625,26,1944.26,1535.77,130000
157.8467,13.8413,27,-990.6292724609375,27,-86.06,320.78,135000
157.5401,16.1736,28,-1136.7725830078125,28,1905.24,1589.15,140000
157.5952,16.3257,29,-1173.82666015625,29,1958.36,1584.11,145000
157.4986,16.1603,30,-1211.2579345703125,30,1958.25,1599.04,150000
157.3625,15.6763,31,-1242.67919921875,31,2001.62,1608.74,155000
157.3072,16.1315,32,-1275.05126953125,32,1934.63,1595.67,160000
157.3889,16.1794,33,-1323.4830322265625,33,2040.54,1638.02,165000
157.2789,16.0803,34,-1350.2119140625,34,2080.24,1665.49,170000
157.4219,16.6299,35,-1388.574462890625,35,2034.85,1676.61,175000
157.3056,16.0462,36,-1431.1121826171875,36,2031.79,1648.49,180000
157.4002,15.823,37,-1460.318115234375,37,2032.99,1658.27,185000
157.0802,15.8946,38,-1487.195068359375,38,2034.06,1671.6,190000
157.2104,16.2241,39,-1533.3922119140625,39,2094.9,1702.33,195000
156.9269,15.7475,40,-1575.6363525390625,40,2048.36,1683.41,200000
157.2663,15.8574,41,-1608.829833984375,41,2045.08,1646.9,205000
157.1887,16.0761,42,-1645.6094970703125,42,2050.12,1685.77,210000
157.3131,15.7457,43,-1689.5357666015625,43,2050.82,1702.6,215000
157.1486,15.5884,44,-1723.4249267578125,44,2033.08,1683.94,220000
156.9164,16.1309,45,-1741.793212890625,45,2094.11,1733.68,225000
156.9485,16.1713,46,-1790.3978271484375,46,2115.82,1730.15,230000
157.1209,15.8772,47,-1833.4613037109375,47,2101.9,1743.38,235000
156.9017,15.6646,48,-1867.5426025390625,48,2086.99,1720.96,240000
156.8001,15.7783,49,-1905.5401611328125,49,2097.49,1741.86,245000
157.0696,15.441,50,-1957.52587890625,50,2011.55,1689.4,250000
156.9354,15.7037,51,-1996.144287109375,51,2086.47,1722.87,255000
156.9387,15.8136,52,-2013.44970703125,52,2073.41,1737.77,260000
157.0228,15.6513,53,-2056.8720703125,53,2075.06,1706.48,265000
157.0956,15.8733,54,-2099.460205078125,54,2097.97,1743.95,270000
157.0404,15.7766,55,-2137.97802734375,55,2076.08,1736.9,275000
157.0864,15.7821,56,-2170.53564453125,56,2116.77,1763.23,280000
156.9549,15.8868,57,-2228.8857421875,57,2099.92,1727.86,285000
156.8062,15.3665,58,-2227.294189453125,58,2051.37,1739.37,290000
156.9404,16.2035,59,-2299.77197265625,59,2107.79,1777.37,295000
156.8926,15.6103,60,-2329.184814453125,60,2120.36,1754.46,300000
157.0327,15.9708,61,-2380.382568359375,61,2138.27,1733.56,305000
156.7693,15.6926,62,-2382.52197265625,62,2128.86,1791.22,310000
