Running Forward KL,Reward Loss,Itration,Real Sto Return,Running Update Time,Running Env Steps,Running Reverse KL,Real Det Return
75.6993,-42.93437957763672,0,-100.92,0,0,26.0695,294.96
75.0261,-57.19511413574219,1,-81.36,1,5000,25.9557,490.89
73.4312,-66.23696899414062,2,-17.72,2,10000,26.381,425.14
72.8859,-77.52438354492188,3,9.97,3,15000,27.2701,496.46
73.4399,-90.411865234375,4,28.13,4,20000,28.5956,567.0
70.3655,-105.51351165771484,5,79.25,5,25000,29.5762,534.33
72.2026,-122.04164123535156,6,96.78,6,30000,29.5615,689.8
70.7769,-134.51950073242188,7,88.65,7,35000,29.6232,689.53
69.8702,-151.56942749023438,8,79.63,8,40000,29.6929,664.51
70.6643,-164.19358825683594,9,196.09,9,45000,30.5557,883.69
69.9376,-171.32229614257812,10,148.25,10,50000,28.4076,592.14
69.164,-188.4938201904297,11,136.18,11,55000,29.0784,621.87
66.2999,-198.38088989257812,12,180.07,12,60000,28.1626,724.54
70.573,-214.07376098632812,13,166.43,13,65000,29.3681,601.55
65.021,-224.3665008544922,14,267.23,14,70000,28.0315,869.94
68.4489,-237.95932006835938,15,219.06,15,75000,29.667,800.43
67.0034,-246.52542114257812,16,172.51,16,80000,27.8811,665.68
69.4811,-268.0326843261719,17,206.18,17,85000,28.8422,748.82
69.5978,-282.1444396972656,18,274.7,18,90000,29.4756,735.24
67.3647,-286.2553405761719,19,195.82,19,95000,28.1763,797.68
68.5746,-306.6874694824219,20,202.24,20,100000,28.3762,793.36
64.7225,-309.68048095703125,21,188.86,21,105000,27.1001,795.9
63.0466,-316.2240295410156,22,245.85,22,110000,27.3745,756.27
67.7674,-341.94683837890625,23,194.81,23,115000,28.8367,850.77
63.7157,-345.5445556640625,24,223.8,24,120000,27.0694,793.79
58.3235,-327.5870666503906,25,352.52,25,125000,25.8144,997.7
64.1283,-368.98358154296875,26,376.04,26,130000,27.6771,977.6
60.2251,-371.18353271484375,27,311.41,27,135000,25.3308,606.54
63.8766,-402.93585205078125,28,258.81,28,140000,28.0411,934.86
60.0832,-396.57147216796875,29,314.99,29,145000,26.7812,1142.49
62.2571,-415.5660095214844,30,319.08,30,150000,26.766,999.1
61.665,-433.77020263671875,31,496.77,31,155000,26.755,1167.98
62.6581,-451.7218322753906,32,548.19,32,160000,27.3358,1248.67
58.4258,-437.2002868652344,33,345.36,33,165000,24.2108,882.96
60.4393,-466.3202819824219,34,418.27,34,170000,25.977,899.42
66.658,-500.6452331542969,35,449.16,35,175000,28.7536,952.97
55.2566,-435.4888000488281,36,683.77,36,180000,23.3613,1294.9
56.3865,-427.64263916015625,37,590.81,37,185000,25.6244,1434.93
64.1806,-533.2833862304688,38,411.51,38,190000,27.231,737.18
57.6657,-496.9861755371094,39,384.59,39,195000,24.6321,1203.54
56.0277,-485.6866149902344,40,469.26,40,200000,22.8181,1200.63
56.3246,-492.8341064453125,41,979.1,41,205000,23.8994,2228.69
58.3879,-542.7083129882812,42,884.85,42,210000,25.2772,1637.53
54.5902,-489.3882141113281,43,968.48,43,215000,23.2487,1789.94
55.1497,-509.00531005859375,44,928.23,44,220000,23.9934,1748.25
59.3284,-596.1316528320312,45,886.0,45,225000,25.6501,1536.39
60.0661,-609.9035034179688,46,657.26,46,230000,25.514,1326.16
57.5333,-585.5524291992188,47,1257.72,47,235000,25.3487,2162.29
54.7187,-529.1483154296875,48,971.98,48,240000,23.9408,2324.99
52.934,-500.1405944824219,49,1750.45,49,245000,22.1944,2220.86
58.4024,-596.6312866210938,50,867.97,50,250000,24.3025,886.49
53.5378,-540.8724975585938,51,1279.58,51,255000,21.6992,2054.13
52.5481,-514.6387329101562,52,1338.04,52,260000,22.0455,2899.66
56.9367,-660.9532470703125,53,832.34,53,265000,23.5792,1482.11
54.8362,-511.0231628417969,54,1739.46,54,270000,25.4161,2477.02
56.4852,-610.6956176757812,55,1112.02,55,275000,23.5663,1414.78
52.6138,-417.3513488769531,56,1471.61,56,280000,28.0318,2115.56
56.2913,-668.3261108398438,57,944.13,57,285000,24.4557,1185.02
57.2281,-634.2816162109375,58,1035.27,58,290000,25.5919,1811.9
54.1675,-523.1967163085938,59,2541.09,59,295000,27.4036,2931.2
52.8425,-424.2051086425781,60,2321.24,60,300000,34.0599,3072.09
54.3025,-532.337158203125,61,2060.96,61,305000,27.1103,2634.95
55.521,-678.0186767578125,62,1481.61,62,310000,24.4559,2321.53
55.1582,-628.7702026367188,63,1148.94,63,315000,25.914,1625.58
55.1273,-464.2187805175781,64,2679.65,64,320000,34.6307,3485.74
55.2451,-509.1413879394531,65,2846.86,65,325000,30.2597,2782.87
58.3995,-836.1106567382812,66,1281.75,66,330000,24.383,1489.33
55.5573,-747.5213012695312,67,909.1,67,335000,23.845,1619.78
54.6267,-402.37127685546875,68,2550.36,68,340000,36.8511,3689.7
55.9153,-549.1849365234375,69,2698.93,69,345000,31.4305,3621.19
53.8435,-624.287109375,70,1311.63,70,350000,25.1799,2094.19
55.9362,-478.012451171875,71,3023.14,71,355000,34.9548,3774.02
56.356,-481.1692199707031,72,2824.3,72,360000,38.9599,3326.42
55.1949,-585.1223754882812,73,1952.91,73,365000,29.4072,3199.27
56.4537,-559.3803100585938,74,2865.08,74,370000,33.4437,3174.41
55.2895,-470.49920654296875,75,3288.9,75,375000,36.361,3944.75
54.0997,-629.0557250976562,76,2823.12,76,380000,28.9775,3370.24
54.0427,-561.7837524414062,77,2442.11,77,385000,31.1478,3507.83
54.8311,-573.3013916015625,78,2241.69,78,390000,32.6061,3281.51
55.9427,-709.9530639648438,79,2296.67,79,395000,27.8747,3329.19
54.9068,-678.3121948242188,80,2309.61,80,400000,29.0798,3483.92
54.7036,-532.787353515625,81,2654.14,81,405000,35.3275,3836.22
55.6008,-842.1903686523438,82,677.92,82,410000,24.3245,1524.31
55.5474,-559.688232421875,83,3097.05,83,415000,36.939,4213.44
54.2284,-589.1998901367188,84,3423.44,84,420000,33.9113,4021.13
54.5163,-644.3685302734375,85,3107.02,85,425000,29.294,4309.47
56.0958,-732.4859008789062,86,3580.33,86,430000,29.9902,3974.82
55.4472,-610.7230834960938,87,2931.98,87,435000,33.6242,3797.6
58.6311,-592.1770629882812,88,3858.62,88,440000,42.4777,4404.72
56.8459,-965.2596435546875,89,2282.9,89,445000,24.4441,3644.91
58.0455,-611.0601196289062,90,3886.29,90,450000,44.6414,4406.71
55.6583,-697.33544921875,91,2955.26,91,455000,33.0828,4385.52
55.3501,-807.0703125,92,3160.3,92,460000,29.133,4290.42
56.001,-642.1218872070312,93,3850.36,93,465000,38.6374,4455.55
53.5973,-667.0744018554688,94,3286.8,94,470000,31.241,4054.51
56.2578,-625.2304077148438,95,3606.68,95,475000,34.7729,4181.64
59.0797,-603.1361694335938,96,3825.98,96,480000,46.8148,4554.59
54.6518,-730.3141479492188,97,2847.35,97,485000,30.2902,3642.5
56.6968,-641.2073364257812,98,4207.24,98,490000,39.6281,4719.36
59.1758,-650.318603515625,99,3659.02,99,495000,45.856,4634.66
57.2815,-719.016845703125,100,2911.97,100,500000,38.2351,4060.74
60.3136,-704.6458740234375,101,3322.8,101,505000,46.472,4261.3
57.0716,-803.9640502929688,102,2811.21,102,510000,34.8311,4441.23
56.2906,-796.109130859375,103,4052.05,103,515000,34.1096,4153.09
57.6604,-956.8720092773438,104,4137.88,104,520000,34.7885,4319.18
55.4753,-824.2301635742188,105,2691.14,105,525000,31.9479,2811.7
58.7671,-696.196533203125,106,3728.43,106,530000,45.8273,4565.08
56.7619,-694.5748291015625,107,3058.09,107,535000,38.6908,3990.52
57.1644,-833.2019653320312,108,3047.14,108,540000,35.7134,3510.97
59.3341,-867.6403198242188,109,2442.11,109,545000,41.3286,2833.9
56.1509,-934.2320556640625,110,2881.57,110,550000,29.454,4059.6
57.1571,-841.717529296875,111,2823.18,111,555000,39.0406,4187.77
58.5857,-888.6046752929688,112,3684.38,112,560000,42.3111,4799.23
56.2607,-811.3035888671875,113,3401.68,113,565000,38.6768,4473.14
57.1756,-923.0445556640625,114,3106.89,114,570000,37.8913,4059.31
58.8399,-856.4234008789062,115,4532.21,115,575000,42.5022,4723.24
59.1546,-856.2281494140625,116,4302.73,116,580000,41.3438,5007.23
56.8619,-965.2344360351562,117,3602.31,117,585000,40.1231,5115.06
58.9886,-913.8215942382812,118,3769.29,118,590000,41.939,4541.68
58.5165,-961.888671875,119,4474.69,119,595000,40.115,4833.94
