Real Det Return,Real Sto Return,Reward Loss,Running Forward KL,Running Reverse KL,Running Env Steps,Itration,Running Update Time
-37.74,-212.96,86.54891204833984,158.2597,11.2434,0,0,0
653.46,-31.29,-84.02072143554688,158.1799,11.5442,5000,1,1
711.0,250.82,-418.5430908203125,158.0587,13.0543,10000,2,2
812.41,376.96,-621.1129760742188,157.9144,13.2943,15000,3,3
-24.81,385.84,-744.4632568359375,157.789,12.8933,20000,4,4
949.12,563.94,-1028.11328125,157.8936,13.6089,25000,5,5
823.49,723.91,-1176.28271484375,158.0771,14.7692,30000,6,6
1084.4,837.75,-1447.6748046875,158.1469,15.056,35000,7,7
1075.41,918.13,-1653.649169921875,157.9207,15.8259,40000,8,8
1358.95,840.96,-1833.097412109375,157.8846,15.695,45000,9,9
1465.77,1108.24,-2077.337158203125,157.9325,16.4249,50000,10,10
1387.08,1153.75,-2308.982177734375,157.7094,16.3015,55000,11,11
1581.76,1174.6,-2440.120849609375,157.6886,16.2769,60000,12,12
1651.33,1249.63,-2667.7646484375,157.507,16.2939,65000,13,13
1713.83,1249.96,-2838.342041015625,157.6508,16.2641,70000,14,14
1752.46,1306.71,-3019.059814453125,157.4686,16.2838,75000,15,15
1780.68,1342.47,-3256.136474609375,157.5887,16.2973,80000,16,16
1784.92,1333.03,-3426.21142578125,157.5767,16.1063,85000,17,17
1880.69,1411.0,-3652.225830078125,157.6625,16.3702,90000,18,18
1893.33,1431.69,-3833.0283203125,157.4748,16.3614,95000,19,19
1900.09,1469.46,-4066.533203125,157.5443,16.2246,100000,20,20
1919.8,1525.95,-4269.8642578125,157.5183,16.4272,105000,21,21
1938.3,1498.67,-4451.419921875,157.3957,16.0784,110000,22,22
1913.14,1522.1,-4659.36767578125,157.4467,16.1091,115000,23,23
1980.18,1588.95,-4847.865234375,157.44,16.4443,120000,24,24
1926.32,1553.26,-5020.95703125,157.451,16.0633,125000,25,25
1977.02,1595.31,-5192.4130859375,157.2319,16.2769,130000,26,26
1975.28,1597.78,-5366.67431640625,157.4239,15.9888,135000,27,27
1999.25,1628.95,-5501.12744140625,157.1875,16.1243,140000,28,28
1992.34,1632.69,-5714.541015625,157.1549,15.9862,145000,29,29
2025.81,1639.87,-5983.20556640625,157.334,16.5893,150000,30,30
2020.29,1624.18,-6125.09912109375,157.165,15.9866,155000,31,31
2028.81,1661.89,-6286.4482421875,157.3105,16.1291,160000,32,32
2002.46,1672.29,-6538.859375,157.4673,16.1568,165000,33,33
2028.26,1697.02,-6689.48046875,157.3208,16.4058,170000,34,34
2002.6,1699.32,-6825.21533203125,157.1036,16.2173,175000,35,35
1924.01,1642.9,-7109.14501953125,157.2878,15.7522,180000,36,36
2050.92,1670.14,-7237.7001953125,157.2117,15.9646,185000,37,37
2073.74,1701.43,-7379.97314453125,157.0859,16.2198,190000,38,38
2097.21,1729.77,-7616.84619140625,157.1597,16.2486,195000,39,39
2137.43,1739.81,-7778.10498046875,157.1039,16.5556,200000,40,40
