Running Forward KL,Real Sto Return,Real Det Return,Running Reverse KL,Running Env Steps,Itration,Reward Loss,Running Update Time
74.2978,-70.96,186.69,23.5357,0,0,11.660628318786621,0
74.1406,-27.24,446.25,25.4783,5000,1,-4.155389785766602,1
74.1755,-51.6,454.77,26.3262,10000,2,-25.579757690429688,2
72.9644,-37.03,607.3,25.8845,15000,3,-40.87089920043945,3
70.4786,12.65,660.62,26.6872,20000,4,-53.96202087402344,4
70.1229,13.53,707.09,27.1649,25000,5,-67.77410125732422,5
68.6688,71.1,643.58,28.154,30000,6,-82.37557983398438,6
69.7685,91.25,688.73,30.0175,35000,7,-98.842041015625,7
70.1075,91.66,656.49,30.7495,40000,8,-110.84064483642578,8
68.6335,146.39,746.75,30.1447,45000,9,-121.01787567138672,9
70.9133,140.53,523.6,32.0926,50000,10,-134.13699340820312,10
69.6485,186.53,659.4,30.946,55000,11,-147.72044372558594,11
70.2697,164.43,771.31,32.2116,60000,12,-168.350830078125,12
70.9049,154.69,655.79,32.4052,65000,13,-172.5789794921875,13
69.9156,159.03,775.77,31.8945,70000,14,-191.36338806152344,14
71.366,216.95,837.62,31.7795,75000,15,-199.58912658691406,15
71.2615,156.93,926.85,31.525,80000,16,-213.2292022705078,16
69.1057,177.52,845.58,30.5538,85000,17,-219.06202697753906,17
70.3931,202.96,932.67,31.1149,90000,18,-239.53660583496094,18
69.6779,216.64,902.93,31.0036,95000,19,-249.75550842285156,19
71.7528,183.69,866.17,31.4924,100000,20,-263.13720703125,20
70.9313,212.04,913.14,31.9752,105000,21,-283.5619201660156,21
72.2815,213.56,946.48,31.1908,110000,22,-293.7389831542969,22
73.6919,185.97,871.38,31.9453,115000,23,-309.9444580078125,23
70.9097,221.97,777.14,31.5596,120000,24,-320.7390441894531,24
73.142,211.19,920.16,32.1061,125000,25,-339.67596435546875,25
72.4469,193.42,923.03,30.8049,130000,26,-343.0173645019531,26
72.2852,226.03,921.68,32.1865,135000,27,-362.92498779296875,27
74.1541,216.86,998.15,31.9978,140000,28,-384.40966796875,28
73.1225,215.77,810.05,32.0075,145000,29,-392.8802795410156,29
