Running Reverse KL,Reward Loss,Itration,Running Env Steps,Running Update Time,Real Sto Return,Real Det Return,Running Forward KL
25.3025,-42.221866607666016,0,0,0,-58.02,350.23,75.5103
25.0052,-50.74618148803711,1,5000,1,-74.79,338.11,74.1678
26.5109,-66.28948974609375,2,10000,2,-31.5,568.89,74.848
28.342,-84.58052062988281,3,15000,3,-17.69,554.19,75.5209
28.7396,-97.34036254882812,4,20000,4,-5.68,483.53,75.5068
29.1031,-113.76712036132812,5,25000,5,35.43,499.28,72.7511
29.8495,-123.77882385253906,6,30000,6,48.41,671.4,73.7731
29.3723,-138.5962371826172,7,35000,7,101.81,820.03,73.1809
30.2297,-150.77040100097656,8,40000,8,135.51,570.77,72.1981
31.4305,-165.36734008789062,9,45000,9,136.25,735.44,72.333
31.612,-180.65716552734375,10,50000,10,182.89,697.72,70.6956
31.0602,-194.34951782226562,11,55000,11,143.24,762.6,71.6405
29.854,-201.4905548095703,12,60000,12,197.74,842.26,70.8775
30.3247,-217.10618591308594,13,65000,13,205.5,907.1,71.2481
31.6213,-231.04275512695312,14,70000,14,253.36,1013.03,73.0306
31.8961,-248.07052612304688,15,75000,15,138.57,1005.73,72.7651
31.2374,-259.1561584472656,16,80000,16,190.76,830.9,71.3943
31.5644,-272.0075378417969,17,85000,17,245.25,838.05,72.8258
30.8219,-279.1837158203125,18,90000,18,243.64,880.07,70.9773
29.901,-293.543212890625,19,95000,19,262.72,848.19,70.5741
30.2032,-311.9108581542969,20,100000,20,182.69,904.49,69.5214
30.211,-315.154296875,21,105000,21,297.15,787.09,68.3398
29.8453,-332.6274108886719,22,110000,22,313.59,1049.02,69.0374
30.1075,-342.0599670410156,23,115000,23,351.3,981.62,67.1948
29.0695,-356.41204833984375,24,120000,24,389.69,1109.4,68.9092
29.4455,-371.1072082519531,25,125000,25,339.61,784.94,67.576
28.6446,-384.2756042480469,26,130000,26,271.16,904.5,67.493
28.3057,-394.7088623046875,27,135000,27,389.83,1163.92,65.8796
28.3548,-395.1640930175781,28,140000,28,380.58,1126.36,64.6017
27.9065,-408.5942077636719,29,145000,29,435.17,1395.91,63.6269
28.3762,-430.27252197265625,30,150000,30,436.55,1150.78,65.7337
28.054,-429.9716491699219,31,155000,31,269.63,1016.21,63.4085
26.1369,-431.7214660644531,32,160000,32,479.87,1353.26,60.4373
26.9361,-461.1893615722656,33,165000,33,330.16,938.42,63.4834
