Running Forward KL,Itration,Running Env Steps,Real Sto Return,Reward Loss,Running Reverse KL,Running Update Time,Real Det Return
33.8355,0,0,180.0,-1576.3907470703125,31.9891,0,176.77
31.281,1,5000,279.33,-1335.035888671875,14.1794,1,295.33
31.2245,2,10000,237.27,-1283.4149169921875,15.5482,2,195.76
28.8801,3,15000,374.4,-1142.177978515625,14.6816,3,389.89
29.4322,4,20000,200.02,-1416.6904296875,16.4808,4,120.01
27.0394,5,25000,385.42,-1332.5994873046875,47.6799,5,411.99
23.0585,6,30000,289.25,-1128.5950927734375,21.9447,6,202.28
25.9063,7,35000,553.52,-1498.1983642578125,23.5607,7,542.68
27.5896,8,40000,645.08,-1463.75,29.0683,8,654.56
26.4453,9,45000,366.88,-1160.152587890625,14.5747,9,243.29
25.8493,10,50000,1047.69,-993.2485961914062,16.1416,10,569.47
23.9161,11,55000,643.13,-945.0697021484375,14.2411,11,1469.7
24.6648,12,60000,981.72,-1127.3538818359375,15.1294,12,832.6
24.7163,13,65000,973.38,-1482.6727294921875,16.0865,13,1925.89
25.5565,14,70000,922.88,-1110.1605224609375,19.075,14,848.51
25.0941,15,75000,775.19,-1314.480224609375,26.0615,15,395.66
21.8099,16,80000,2657.01,-520.9899291992188,15.8303,16,2624.99
24.1579,17,85000,2520.71,-661.9786987304688,14.3309,17,2670.87
22.8083,18,90000,3013.43,-331.3400573730469,14.7347,18,3162.02
21.2985,19,95000,2869.89,-106.5680160522461,13.8896,19,3103.4
20.3867,20,100000,2669.37,-564.2235107421875,11.8498,20,2699.59
21.5346,21,105000,2414.13,-408.00775146484375,12.8902,21,1005.35
20.7708,22,110000,2668.75,-477.2923889160156,13.7233,22,2587.05
21.1959,23,115000,2900.37,-301.5345764160156,13.579,23,3077.36
21.8232,24,120000,186.79,-520.5432739257812,13.6625,24,602.29
23.0955,25,125000,997.57,-351.125,14.5608,25,2426.99
22.6675,26,130000,1923.53,-609.0126342773438,13.4037,26,3162.09
22.2142,27,135000,2819.78,-667.6729125976562,13.2273,27,3103.15
21.8875,28,140000,1875.21,-927.7534790039062,13.4595,28,690.47
23.5007,29,145000,890.61,-1273.6298828125,16.1705,29,572.57
24.0851,30,150000,1096.23,-1460.7962646484375,20.3524,30,1074.22
21.3454,31,155000,1105.23,-1280.1781005859375,19.6576,31,2685.0
23.4369,32,160000,1055.69,-1668.115966796875,54.0334,32,1054.44
23.8443,33,165000,1010.49,-1993.860107421875,24.2467,33,978.52
21.6883,34,170000,833.08,-1636.8853759765625,39.1308,34,440.11
23.7344,35,175000,963.49,-1965.9158935546875,46.446,35,990.22
22.3152,36,180000,1100.12,-1911.7677001953125,86.3334,36,1026.46
22.3503,37,185000,1173.02,-2012.3594970703125,60.0284,37,1035.23
22.3537,38,190000,1253.43,-2136.572509765625,39.8601,38,1191.26
20.2606,39,195000,1430.8,-1400.88916015625,32.6428,39,1073.22
20.6238,40,200000,1558.69,-1595.557373046875,52.4086,40,3003.92
21.8081,41,205000,1325.64,-2052.896728515625,33.2693,41,1792.97
19.8434,42,210000,1765.58,-1378.97802734375,43.7164,42,3204.53
20.883,43,215000,1765.96,-1611.7584228515625,23.1244,43,2255.06
21.458,44,220000,739.03,-1958.19921875,21.742,44,969.54
21.3671,45,225000,1658.94,-1659.87890625,33.6575,45,1726.15
20.7944,46,230000,1444.58,-1530.3563232421875,28.1194,46,2847.98
22.6647,47,235000,1404.66,-2236.29345703125,55.303,47,1308.93
22.187,48,240000,1551.61,-1906.5780029296875,21.762,48,1322.28
22.1183,49,245000,1398.24,-1974.76806640625,25.7922,49,3197.8
22.3136,50,250000,1219.13,-2367.109130859375,43.409,50,2749.92
18.6873,51,255000,2968.94,-399.8913879394531,11.8276,51,3352.93
21.2199,52,260000,1406.26,-2472.21142578125,37.7298,52,2604.54
18.8477,53,265000,2553.48,-1167.3990478515625,14.5145,53,1933.98
21.8461,54,270000,1604.69,-2536.724853515625,34.9609,54,3304.45
18.8708,55,275000,2443.27,-1436.3892822265625,24.1445,55,3203.69
19.6368,56,280000,938.61,-1503.8192138671875,17.045,56,563.69
19.1624,57,285000,2324.43,-1346.2940673828125,13.7246,57,3371.76
20.5448,58,290000,1418.14,-2005.22314453125,16.5418,58,3272.05
19.5212,59,295000,1986.54,-1598.853759765625,13.2799,59,1718.3
20.1958,60,300000,1831.04,-2103.164794921875,17.9447,60,3068.77
19.5747,61,305000,1538.04,-1590.3680419921875,13.8771,61,3279.26
20.7929,62,310000,1594.32,-2789.916259765625,33.2175,62,3272.73
23.3267,63,315000,1225.7,-3070.918701171875,21.975,63,981.69
22.8102,64,320000,1088.67,-3032.67529296875,26.8322,64,1469.55
22.0885,65,325000,1474.18,-2713.0107421875,43.337,65,1123.29
19.3018,66,330000,1795.45,-1666.154541015625,14.4463,66,3366.82
23.4155,67,335000,1189.46,-3377.698974609375,20.23,67,987.66
20.1682,68,340000,1354.01,-1781.543701171875,18.3214,68,3238.68
21.1828,69,345000,1250.85,-2556.162353515625,31.3529,69,1973.17
20.9831,70,350000,1220.56,-2854.0380859375,25.4356,70,1319.3
18.9229,71,355000,1686.21,-1912.067138671875,15.2211,71,2463.05
21.3153,72,360000,1456.14,-2946.767333984375,23.4488,72,3340.86
20.5649,73,365000,1702.62,-2221.42138671875,18.9881,73,1346.27
20.464,74,370000,2030.98,-2268.706787109375,26.0449,74,3389.5
20.4065,75,375000,1422.27,-2580.52734375,22.814,75,1781.11
21.9431,76,380000,1895.28,-3121.7021484375,30.4421,76,1380.5
21.9088,77,385000,1751.74,-3135.79150390625,20.4506,77,2476.1
19.7312,78,390000,1867.34,-1669.0146484375,15.5111,78,3333.82
21.0764,79,395000,1967.62,-2487.53564453125,25.9806,79,2506.74
19.8384,80,400000,2430.55,-1987.143798828125,12.1747,80,3269.0
21.0829,81,405000,1933.98,-2199.7509765625,14.2294,81,2911.27
21.0814,82,410000,1373.22,-2905.326416015625,32.228,82,1520.41
19.9934,83,415000,1190.28,-1388.3311767578125,13.5672,83,3474.51
21.7902,84,420000,1661.36,-3128.570068359375,31.6515,84,1274.62
20.7149,85,425000,2073.34,-2939.110595703125,31.2212,85,3414.92
