Itration,Reward Loss,Running Forward KL,Running Env Steps,Real Det Return,Real Sto Return,Running Update Time,Running Reverse KL
73,-627.9578857421875,23.8899,365000,3076.01,3092.52,73,14.3375
74,-905.4981079101562,24.6899,370000,3077.92,3059.81,74,16.605
75,-548.1207885742188,23.1299,375000,3047.63,3059.15,75,13.3907
76,-642.6953735351562,23.5083,380000,3102.86,3079.42,76,14.0999
77,-932.7608642578125,24.6922,385000,3099.58,3055.83,77,16.1695
78,-760.8759765625,24.1717,390000,3101.84,2999.07,78,14.8424
79,-1045.419921875,23.5334,395000,3109.88,2840.74,79,16.1362
80,-1545.0521240234375,25.2595,400000,1355.17,1812.8,80,22.4696
81,-783.6697387695312,22.0138,405000,3027.3,2918.05,81,11.9253
82,-797.232666015625,22.5607,410000,3127.8,3107.41,82,14.5823
83,-820.9382934570312,22.4441,415000,3040.76,2956.55,83,13.5792
84,-871.7163696289062,23.423,420000,3096.12,3065.9,84,16.2112
85,-659.8945922851562,22.7032,425000,3117.01,3108.41,85,14.1933
86,-906.6076049804688,24.6146,430000,2991.74,3015.11,86,16.7405
87,-679.500732421875,22.5379,435000,3053.33,3041.94,87,13.5202
88,-957.57177734375,26.4944,440000,3078.98,3095.73,88,19.2515
89,-960.7832641601562,24.4662,445000,3042.14,2888.18,89,16.4229
90,-762.0048217773438,21.1765,450000,3092.88,3100.02,90,11.9886
91,-1031.1549072265625,25.8217,455000,3097.79,3095.1,91,17.6932
92,-894.8807983398438,24.2981,460000,3143.22,3134.44,92,15.0233
93,-949.87646484375,25.1116,465000,3104.72,3106.1,93,15.9241
94,-770.5753173828125,24.1469,470000,3114.04,3096.56,94,14.7458
95,-917.2823486328125,24.4813,475000,3123.16,3121.96,95,16.5905
96,-574.64306640625,23.3947,480000,3132.2,2968.61,96,14.4469
97,-909.4402465820312,24.0171,485000,3132.35,3109.53,97,17.4453
98,-736.8690795898438,23.7483,490000,3058.3,2974.07,98,16.5275
99,-864.7904052734375,24.0306,495000,3089.78,3059.14,99,16.2496
100,-921.85498046875,24.0503,500000,3112.1,3098.28,100,15.1428
101,-1064.8861083984375,23.204,505000,2652.89,2645.37,101,14.0404
102,-1038.916748046875,24.7139,510000,3155.75,3123.39,102,16.1572
103,-869.9129028320312,21.8847,515000,3153.04,3122.13,103,12.5549
104,-1260.945068359375,22.7511,520000,3116.66,3095.57,104,15.2504
105,-1175.531005859375,24.4299,525000,3101.57,3086.6,105,16.027
106,-1015.5598754882812,23.0228,530000,3079.34,3066.35,106,14.6057
107,-1148.6417236328125,23.7335,535000,3145.3,2256.24,107,14.5113
108,-1218.3189697265625,23.6977,540000,3203.99,2264.37,108,16.9991
109,-1097.9739990234375,20.7371,545000,3142.7,3003.38,109,11.3466
110,-1215.56591796875,22.8876,550000,3211.3,2254.61,110,14.4323
111,-931.367919921875,21.4111,555000,2080.85,2370.0,111,12.2857
112,-1197.919677734375,22.2586,560000,2836.86,2650.49,112,12.8599
113,-1243.023193359375,21.5891,565000,2996.82,2096.03,113,13.5253
114,-1207.3404541015625,22.0059,570000,3088.22,2370.85,114,13.0163
115,-940.6510009765625,21.6276,575000,3097.29,2646.88,115,12.2098
116,-931.9303588867188,21.6046,580000,3001.25,2962.81,116,11.9192
117,-948.97802734375,21.0394,585000,3193.22,2534.2,117,11.812
118,-1340.9981689453125,23.5164,590000,3143.33,2936.32,118,15.9014
119,-1095.638916015625,24.0071,595000,3145.04,3020.66,119,15.827
120,-1482.060546875,22.5264,600000,3052.72,2748.3,120,14.6298
121,-1441.3363037109375,22.4208,605000,3148.26,2682.75,121,14.7527
122,-1185.247314453125,22.121,610000,3121.15,2303.9,122,15.5625
123,-1023.4840087890625,22.8835,615000,3140.88,3126.26,123,13.8895
