Running Update Time,Running Env Steps,Running Forward KL,Itration,Real Det Return,Running Reverse KL,Real Sto Return,Reward Loss
0,0,453.6376,0,308.29,273.9312,331.69,-6300.73388671875
1,5000,430.8032,1,397.1,293.3003,360.73,-3278.90869140625
2,10000,425.8528,2,483.36,321.1539,386.78,-6140.4462890625
3,15000,426.2809,3,327.95,255.8699,399.59,-8375.5439453125
4,20000,421.1641,4,341.72,254.4756,375.96,-4481.69189453125
5,25000,400.521,5,599.88,253.5039,458.06,-9686.3671875
6,30000,419.2112,6,462.35,252.7708,500.13,-10575.740234375
7,35000,410.2786,7,413.41,269.7553,442.97,-14241.5712890625
8,40000,408.3262,8,612.24,248.8504,583.37,-13792.134765625
9,45000,401.8156,9,593.36,264.2605,484.53,-17480.384765625
10,50000,407.9899,10,445.17,286.6888,507.79,-21759.919921875
11,55000,385.4608,11,527.16,254.1157,505.12,-18549.09765625
12,60000,394.4649,12,513.13,246.9011,555.9,-20678.12890625
13,65000,386.1724,13,568.89,248.8307,611.16,-20896.18359375
14,70000,399.5487,14,544.53,251.5851,641.78,-23245.453125
15,75000,406.9255,15,489.1,289.5247,529.18,-27210.34765625
16,80000,403.2051,16,460.83,278.7024,592.33,-28473.62890625
17,85000,393.428,17,449.94,272.9916,641.17,-26929.072265625
18,90000,389.1983,18,648.94,264.1428,633.93,-27202.21875
19,95000,390.7224,19,518.74,273.3954,639.9,-30187.5703125
20,100000,381.4141,20,425.18,262.6567,708.27,-29609.822265625
21,105000,371.6627,21,533.35,273.7682,562.38,-35133.8984375
22,110000,389.4817,22,615.95,264.9265,719.32,-33333.51171875
23,115000,398.9434,23,595.48,278.036,642.65,-33448.3515625
24,120000,387.8239,24,640.24,267.2064,600.46,-34309.03125
25,125000,362.9248,25,775.6,223.7634,947.5,-32386.705078125
26,130000,372.4294,26,598.32,226.2797,1048.78,-31176.48828125
27,135000,381.1611,27,380.31,245.4609,894.28,-29409.828125
28,140000,377.7732,28,531.22,224.0115,916.91,-34775.94140625
29,145000,372.3088,29,511.15,234.0963,670.09,-34123.80078125
30,150000,378.9206,30,786.7,229.658,1089.77,-32612.53515625
31,155000,383.1875,31,710.92,252.5153,841.16,-40935.328125
32,160000,385.7395,32,700.56,248.143,926.97,-43368.40625
33,165000,386.7029,33,861.4,245.1747,804.07,-44230.88671875
34,170000,379.2292,34,692.56,232.2268,970.6,-42450.12890625
35,175000,368.3602,35,1187.28,223.5056,1306.94,-35756.484375
36,180000,367.807,36,878.49,237.1903,1173.6,-39609.37109375
37,185000,367.8288,37,966.89,235.5395,1322.74,-45342.75390625
38,190000,365.2078,38,810.43,228.1258,1217.15,-41323.12890625
39,195000,352.7441,39,969.7,219.1386,1485.45,-40705.69140625
40,200000,370.5696,40,1162.42,204.5254,1554.51,-39591.890625
41,205000,377.721,41,1031.39,229.5166,1469.19,-39925.00390625
42,210000,378.3236,42,1030.07,234.5901,1331.37,-50030.65625
43,215000,367.6195,43,942.56,208.7217,1526.56,-41683.80859375
44,220000,346.1562,44,1245.1,180.1666,1729.57,-36881.94921875
45,225000,366.994,45,813.73,204.0313,1351.51,-40599.2265625
46,230000,349.2459,46,1069.78,183.2383,1498.38,-37377.84765625
47,235000,342.5702,47,1204.31,181.5152,2285.56,-36786.171875
48,240000,335.8326,48,1440.06,158.4685,1978.61,-34381.67578125
49,245000,372.5524,49,1034.39,229.2685,1485.7,-45880.43359375
50,250000,350.273,50,838.93,194.995,1769.12,-36448.26171875
51,255000,355.9986,51,1260.09,186.6553,1489.84,-41252.54296875
52,260000,341.537,52,1057.45,176.8657,2679.91,-37883.78515625
53,265000,348.0989,53,841.58,171.6181,2146.81,-36310.8125
54,270000,356.7971,54,1174.04,213.4475,2633.73,-47874.84765625
55,275000,332.9178,55,976.75,154.016,1782.55,-33502.05078125
56,280000,330.3504,56,954.46,160.7543,2504.19,-36134.37890625
57,285000,358.2337,57,787.74,207.0066,2000.92,-49247.05078125
