Itration,Running Reverse KL,Running Update Time,Reward Loss,Real Sto Return,Running Forward KL,Real Det Return,Running Env Steps
75,23.805,75,-946.6491088867188,1125.54,63.3931,1936.6,375000
76,28.5358,76,-851.8384399414062,2518.19,61.5823,3509.28,380000
77,24.0471,77,-899.3798217773438,2014.16,59.9645,2667.81,385000
78,25.2257,78,-905.6004028320312,1325.12,61.7392,1728.77,390000
79,24.0306,79,-945.2551879882812,992.54,61.7475,1275.72,395000
80,31.9027,80,-838.62158203125,2766.83,61.8826,2389.16,400000
81,23.2446,81,-959.725830078125,1371.02,62.3635,2792.35,405000
82,24.819,82,-947.091796875,1982.81,61.6579,2914.7,410000
83,30.8582,83,-901.2024536132812,2787.84,61.3882,3334.35,415000
84,26.2006,84,-966.1830444335938,1952.73,61.3716,1914.2,420000
85,33.1839,85,-901.3722534179688,2935.3,62.2138,4703.17,425000
86,29.5781,86,-959.2301635742188,2741.75,61.7152,3771.03,430000
87,28.5864,87,-1003.7763061523438,2876.52,61.7868,3510.54,435000
88,35.9058,88,-1016.3416748046875,2550.03,64.8415,3513.19,440000
89,33.0688,89,-1004.86865234375,2637.22,62.8423,3419.51,445000
90,31.845,90,-976.3229370117188,3071.61,59.6976,4167.24,450000
91,34.762,91,-1064.8126220703125,2082.36,64.8093,3088.62,455000
92,27.5571,92,-1063.234130859375,2168.08,62.4583,2893.89,460000
93,24.8796,93,-1184.55078125,1816.72,63.2898,3056.48,465000
94,34.711,94,-1091.0338134765625,2831.71,63.4019,3978.58,470000
95,32.1023,95,-1046.853515625,2208.46,61.4956,2880.95,475000
96,28.7138,96,-1061.4298095703125,1839.96,61.2683,2906.56,480000
97,33.4153,97,-1106.1392822265625,2722.37,60.6251,2646.75,485000
98,34.2948,98,-1111.0694580078125,3574.02,62.5566,4064.59,490000
99,31.4063,99,-1077.9346923828125,2841.72,60.4787,3394.39,495000
100,34.1363,100,-1058.277099609375,2488.82,60.9483,3625.99,500000
101,30.0889,101,-1155.2518310546875,2611.65,59.8862,3777.9,505000
102,31.2816,102,-1144.3441162109375,3129.46,61.0049,3798.72,510000
103,33.3327,103,-1145.6551513671875,3736.63,60.6051,4105.31,515000
104,40.5683,104,-1240.429443359375,3578.67,64.052,4339.47,520000
105,38.281,105,-1246.6783447265625,3416.71,63.7337,3645.25,525000
106,28.0075,106,-1400.0526123046875,823.28,64.1214,1238.97,530000
107,35.4694,107,-1228.3271484375,3373.71,61.8462,3876.18,535000
108,25.8096,108,-1443.942626953125,2071.89,65.4082,1385.31,540000
109,27.5342,109,-1360.2806396484375,2570.78,61.5046,3337.99,545000
110,36.9274,110,-1268.5516357421875,2889.52,62.7162,3415.78,550000
111,25.7778,111,-1382.9708251953125,2862.46,61.0538,2142.39,555000
112,35.8784,112,-1264.15283203125,2280.96,60.8081,3874.43,560000
113,27.7033,113,-1370.45654296875,1977.33,60.8533,2516.34,565000
114,35.6655,114,-1389.0377197265625,2561.9,61.5385,4024.49,570000
115,38.0216,115,-1298.5181884765625,2767.2,62.9174,4339.6,575000
116,24.9986,116,-1476.967041015625,2303.15,61.1346,2236.2,580000
117,32.6035,117,-1412.549072265625,3315.98,60.0514,4256.79,585000
118,29.029,118,-1425.1358642578125,2637.98,60.0152,2862.71,590000
119,29.3246,119,-1494.16064453125,1805.78,60.7869,3039.28,595000
120,33.1946,120,-1469.536376953125,3248.71,59.9633,4830.89,600000
121,35.7436,121,-1485.8953857421875,3287.98,61.2738,4629.02,605000
122,26.3211,122,-1566.9849853515625,2623.51,59.6382,3753.11,610000
123,37.6573,123,-1482.929443359375,3695.13,62.651,4368.78,615000
124,38.4548,124,-1500.33642578125,3615.14,64.2911,4558.11,620000
125,32.4947,125,-1534.573974609375,1961.55,60.6841,2731.6,625000
126,24.9564,126,-1638.5037841796875,1537.32,61.0945,1875.34,630000
127,36.7169,127,-1609.3935546875,3181.71,63.7711,4652.2,635000
128,33.0685,128,-1651.6888427734375,3227.09,61.1228,4503.86,640000
129,41.3738,129,-1672.96337890625,3393.81,64.1055,4206.43,645000
130,27.9683,130,-1679.85400390625,3135.45,60.9528,2974.17,650000
131,32.5115,131,-1705.64892578125,3631.91,61.0005,4851.17,655000
132,37.6451,132,-1690.6983642578125,3272.47,62.654,4028.23,660000
133,32.3622,133,-1810.6680908203125,3121.33,63.2873,3080.8,665000
134,37.7299,134,-1897.015869140625,2166.13,67.0271,2776.37,670000
135,37.1186,135,-1724.00341796875,1890.62,63.2334,3289.43,675000
136,41.1661,136,-1786.3026123046875,3802.05,63.8737,3920.76,680000
137,38.9916,137,-1800.578125,3998.49,63.5294,5499.45,685000
138,44.4581,138,-1863.4649658203125,4551.64,65.1135,5037.41,690000
139,42.9329,139,-1883.7132568359375,4200.45,65.0604,5143.44,695000
140,41.524,140,-1914.9024658203125,3535.73,66.0969,4716.65,700000
141,33.381,141,-1927.4095458984375,3136.09,62.4222,3874.38,705000
142,36.9092,142,-1982.8138427734375,4110.91,63.137,4976.8,710000
143,34.8131,143,-1948.7568359375,3212.84,62.0449,3931.64,715000
144,33.6381,144,-2013.887451171875,3509.04,60.7111,4733.12,720000
145,34.1236,145,-2005.805908203125,3526.31,61.6423,3722.57,725000
146,34.1721,146,-2105.135986328125,2661.09,63.1908,3714.88,730000
147,41.0803,147,-2106.7587890625,4600.37,63.4643,5069.06,735000
148,38.9329,148,-2078.5986328125,3997.53,62.8275,4092.7,740000
149,43.6278,149,-2178.503662109375,3562.52,65.6134,4335.49,745000
150,42.6088,150,-2219.983154296875,4035.53,63.1579,4327.27,750000
151,29.6329,151,-2214.851318359375,2531.85,63.334,2705.77,755000
152,38.4856,152,-2177.0478515625,3804.39,62.9351,5248.53,760000
153,29.8945,153,-2282.587890625,2041.15,60.0577,2911.72,765000
154,41.6817,154,-2417.456298828125,3278.84,64.1493,4532.12,770000
155,33.6927,155,-2362.794921875,3724.08,63.8148,3944.5,775000
156,40.5043,156,-2391.52294921875,3880.93,64.4181,5276.38,780000
157,42.939,157,-2341.037841796875,3667.24,62.1671,4383.79,785000
158,35.7913,158,-2404.185302734375,4136.12,62.8095,4808.22,790000
159,38.4884,159,-2450.27587890625,4271.39,63.2934,5310.57,795000
160,59.2761,160,-2411.586669921875,3254.11,62.1686,5021.47,800000
161,37.9285,161,-2496.8916015625,4110.74,62.196,5307.98,805000
162,46.5844,162,-2603.09814453125,4236.33,65.8233,5066.6,810000
163,42.9352,163,-2692.130859375,4011.99,63.0731,5042.22,815000
164,37.6892,164,-2638.91015625,4069.77,63.2817,4240.42,820000
165,30.6681,165,-2802.675537109375,2550.47,62.1828,3469.87,825000
166,60.1479,166,-2809.706787109375,3557.49,65.1523,4747.82,830000
167,49.8856,167,-2799.8271484375,3521.21,63.3181,4380.8,835000
168,32.3708,168,-2693.925048828125,3488.2,61.1387,4431.09,840000
169,40.6668,169,-2848.946533203125,3471.25,63.0212,4790.44,845000
