Real Det Return,Running Update Time,Running Forward KL,Running Env Steps,Itration,Reward Loss,Real Sto Return,Running Reverse KL
261.91,0,38.2075,0,0,119.9501724243164,251.88,31.4991
337.62,1,34.5252,5000,1,74.71890258789062,332.85,19.8704
553.34,2,34.0305,10000,2,129.8926239013672,561.03,19.5147
629.73,3,33.0839,15000,3,142.6510467529297,609.49,17.4703
308.97,4,31.2078,20000,4,44.98295593261719,338.05,13.479
804.04,5,32.0877,25000,5,85.20173645019531,1271.8,16.4789
1146.09,6,30.8489,30000,6,65.11734771728516,1394.92,15.1792
494.68,7,33.7527,35000,7,83.56493377685547,543.65,20.539
716.99,8,32.1702,40000,8,72.85779571533203,681.62,20.122
797.64,9,30.3006,45000,9,57.23979949951172,776.58,19.3708
1324.15,10,29.313,50000,10,58.15816116333008,1098.26,23.5014
1115.38,11,30.2681,55000,11,37.39265441894531,1272.5,19.5091
1021.68,12,29.8926,60000,12,44.56956100463867,906.04,21.5395
1628.02,13,28.2152,65000,13,29.61554718017578,1930.41,15.5755
1943.4,14,27.7723,70000,14,9.892921447753906,1956.52,14.5953
2152.1,15,29.4906,75000,15,25.331640243530273,1319.39,17.448
1533.31,16,29.6248,80000,16,23.83686637878418,1245.31,17.6545
2666.43,17,28.5052,85000,17,10.198145866394043,1678.3,14.8031
1118.29,18,30.0861,90000,18,37.45490646362305,1056.98,16.3191
1830.06,19,28.4153,95000,19,12.33674430847168,1459.31,15.8005
1947.08,20,28.8554,100000,20,21.402477264404297,1382.47,16.6818
2061.59,21,29.1249,105000,21,-8.238024711608887,1263.98,21.1558
1684.41,22,28.7722,110000,22,-1.5137195587158203,1663.02,22.5462
1349.59,23,28.5598,115000,23,0.9244037866592407,1136.83,21.0929
3232.63,24,29.2826,120000,24,-33.127777099609375,2470.82,18.278
1645.85,25,28.6216,125000,25,-29.477161407470703,1332.47,18.2103
2781.3,26,28.1327,130000,26,-47.9853515625,1270.94,23.2034
3194.16,27,28.333,135000,27,-44.3956184387207,2892.51,15.7366
3204.33,28,27.9395,140000,28,-38.26351547241211,3221.67,14.7738
3194.59,29,27.9524,145000,29,-28.92475700378418,3203.27,14.4119
3259.92,30,27.8693,150000,30,-39.03117370605469,3254.06,15.7938
3271.98,31,28.3313,155000,31,-44.71371841430664,3159.44,16.7477
3192.56,32,27.821,160000,32,-42.5452880859375,3197.44,14.5869
3153.12,33,26.587,165000,33,-30.012964248657227,3172.21,12.631
3321.66,34,27.8726,170000,34,-40.45820999145508,3309.79,15.9676
