Real Sto Return,Real Det Return,Running Env Steps,Reward Loss,Running Forward KL,Itration,Running Update Time,Running Reverse KL
327.72,272.44,0,423.263916015625,50.4527,0,0,13.1527
385.91,395.71,5000,363.2295837402344,49.5795,1,1,15.5796
351.98,350.99,10000,348.2199401855469,49.0634,2,2,12.5284
382.52,394.96,15000,392.8917236328125,49.0177,3,3,13.5925
354.39,303.11,20000,44.75603485107422,49.0687,4,4,17.3319
364.69,370.91,25000,8.649887084960938,49.7471,5,5,15.3197
399.68,394.96,30000,-187.6526336669922,49.6916,6,6,18.8862
461.0,522.87,35000,-234.5598907470703,49.0588,7,7,18.6863
405.51,480.07,40000,-69.46934509277344,49.1585,8,8,13.0094
655.03,968.32,45000,-169.23512268066406,47.612,9,9,13.8881
664.53,1401.67,50000,-200.75503540039062,47.3443,10,10,13.7408
809.1,1466.04,55000,-414.6263122558594,46.774,11,11,21.3133
524.6,452.18,60000,-99.08993530273438,47.323,12,12,16.8819
728.25,662.53,65000,-309.7620544433594,47.4868,13,13,14.4452
1251.28,631.27,70000,-290.5687561035156,45.8989,14,14,14.4432
907.15,911.17,75000,-260.5596618652344,46.7126,15,15,13.5677
883.29,695.64,80000,-186.10574340820312,46.6519,16,16,14.6757
961.68,1032.66,85000,-270.25018310546875,46.6773,17,17,13.8908
787.14,768.07,90000,-415.206787109375,46.5951,18,18,13.3654
865.22,880.11,95000,-364.9173583984375,46.6624,19,19,13.879
1082.78,874.6,100000,-508.00933837890625,45.7005,20,20,13.3287
908.53,851.57,105000,-372.1368408203125,46.0823,21,21,12.3499
1064.96,1156.54,110000,-432.0958251953125,45.4356,22,22,12.7069
962.48,1143.31,115000,-604.9171142578125,45.5153,23,23,12.7598
1221.33,1511.98,120000,-720.9235229492188,45.4298,24,24,13.1667
1167.07,1099.32,125000,-798.8114624023438,46.0562,25,25,13.8059
958.76,1274.11,130000,-694.1206665039062,45.849,26,26,13.2303
1183.04,1210.18,135000,-720.771484375,45.8227,27,27,12.9735
1171.52,1546.95,140000,-764.1763916015625,46.0292,28,28,13.6556
919.11,1156.78,145000,-852.7285766601562,45.7872,29,29,16.9828
1072.15,1296.88,150000,-753.6503295898438,45.497,30,30,13.1827
1264.63,1506.81,155000,-854.9111328125,44.8478,31,31,12.9939
1035.06,1180.04,160000,-1234.955810546875,45.5191,32,32,28.0622
1133.75,1604.04,165000,-1107.293212890625,46.0797,33,33,16.1672
1031.54,1210.69,170000,-1390.3988037109375,45.3916,34,34,41.8593
2303.03,2730.62,175000,-1074.8182373046875,45.7595,35,35,15.2902
2379.23,2996.93,180000,-1128.0538330078125,45.1076,36,36,19.7276
2896.58,2999.86,185000,-969.7593383789062,45.2366,37,37,14.2253
2740.93,2676.06,190000,-1032.406005859375,46.1269,38,38,15.757
2930.95,3063.36,195000,-1072.6160888671875,45.2938,39,39,16.7109
2503.55,3098.13,200000,-1077.531005859375,44.954,40,40,15.1138
2907.95,2988.9,205000,-1138.39111328125,45.2175,41,41,17.7344
2975.64,3042.79,210000,-1201.4334716796875,44.6043,42,42,14.9289
2935.65,3187.2,215000,-1149.39794921875,43.2735,43,43,15.1299
2767.18,3036.85,220000,-1269.402099609375,44.3805,44,44,15.664
2775.82,3153.28,225000,-1172.7724609375,43.6617,45,45,14.3275
3274.38,3361.59,230000,-1138.9666748046875,44.2381,46,46,15.3054
3134.59,3182.66,235000,-1283.078125,43.6346,47,47,14.4617
2971.18,3290.96,240000,-1241.714111328125,43.5578,48,48,16.6265
3101.1,3212.16,245000,-1157.7454833984375,45.4066,49,49,18.0635
2978.31,3358.71,250000,-1239.2310791015625,44.1553,50,50,14.8541
3362.33,3325.36,255000,-1253.2135009765625,44.8613,51,51,16.4783
3074.73,3404.6,260000,-1556.3341064453125,43.7029,52,52,16.7902
3107.43,3269.61,265000,-1305.4405517578125,43.577,53,53,14.6926
