Itration,Running Update Time,Real Det Return,Reward Loss,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return
0,0,274.49,-82.74893188476562,0,14.6569,50.0435,273.96
1,1,272.73,57.2397575378418,5000,30.2216,49.6104,298.65
2,2,348.19,-49.798728942871094,10000,22.1339,50.2229,336.99
3,3,365.17,-71.21639251708984,15000,26.7172,50.1631,359.07
4,4,454.42,-82.89124298095703,20000,21.0837,49.1166,445.61
5,5,414.42,-147.9423065185547,25000,13.844,49.5375,422.17
6,6,401.46,-199.9601593017578,30000,14.1913,49.9488,407.68
7,7,411.76,-298.0054016113281,35000,28.602,50.1208,399.1
8,8,510.11,-269.485595703125,40000,38.5049,48.6076,483.64
9,9,460.19,-255.0587615966797,45000,36.4832,49.4213,479.93
10,10,481.81,-297.6040344238281,50000,30.7064,48.1441,503.23
11,11,510.33,-332.2923583984375,55000,17.4487,48.0799,470.87
12,12,582.64,-329.37969970703125,60000,27.7865,47.9972,603.8
13,13,639.82,-308.0096130371094,65000,17.3837,47.7213,590.16
14,14,711.29,-319.2936706542969,70000,22.1071,47.4982,607.55
15,15,804.35,-297.38214111328125,75000,30.407,47.2426,777.73
16,16,1302.55,-291.6406555175781,80000,36.3881,46.5685,1049.32
17,17,1287.29,-324.5274658203125,85000,32.1666,47.1577,943.17
18,18,765.29,-348.5083312988281,90000,39.5677,47.4643,877.22
19,19,2097.6,-246.46966552734375,95000,19.2393,46.352,1844.8
20,20,886.24,-342.548583984375,100000,20.8753,47.0557,1106.85
21,21,2474.03,-197.853759765625,105000,17.2271,46.7398,1936.49
22,22,1135.64,-246.55557250976562,110000,25.0158,46.219,1347.14
23,23,1201.54,-266.27020263671875,115000,29.3131,45.7789,1233.56
24,24,1685.17,-343.8775634765625,120000,19.76,47.0852,1689.56
25,25,1125.83,-289.8064880371094,125000,17.9794,46.3019,1796.82
26,26,1747.04,-279.5633239746094,130000,20.0001,45.6149,1683.77
27,27,1197.14,-369.79400634765625,135000,19.9128,46.2376,1714.5
28,28,1181.53,-406.3399353027344,140000,24.8236,46.2864,1900.66
29,29,1348.83,-368.2031555175781,145000,25.4408,46.6338,1649.63
30,30,1500.6,-457.57794189453125,150000,42.2224,45.8266,1741.82
31,31,1435.34,-401.1974792480469,155000,27.5777,46.7519,1804.81
32,32,2580.28,-448.9996337890625,160000,25.1452,46.2678,1888.33
33,33,2532.26,-294.37725830078125,165000,19.0019,45.7048,2939.42
34,34,2437.07,-386.9468688964844,170000,17.8913,45.3887,1769.25
35,35,3534.49,-396.7802429199219,175000,19.4514,45.455,2346.76
