Real Sto Return,Running Forward KL,Real Det Return,Itration,Running Reverse KL
321.83,49.7693,125.78,0,14.471
293.19,50.0953,416.15,1,16.5663
496.8,49.0081,813.4,2,14.0991
371.67,50.3515,615.66,3,14.7974
485.85,48.4234,550.22,4,13.6997
504.15,48.8515,502.24,5,19.2576
435.45,49.5505,542.57,6,13.5966
737.62,48.3173,559.51,7,16.4625
564.89,49.173,494.27,8,20.0406
859.47,47.9664,1121.83,9,17.7118
788.46,48.3808,694.3,10,13.3473
839.11,47.7057,984.3,11,13.4288
675.67,48.2045,476.17,12,13.6128
690.75,48.4969,941.53,13,14.6294
