Running Reverse KL,Real Det Return,Running Update Time,Itration,Running Forward KL,Reward Loss,Running Env Steps,Real Sto Return
29.519,193.39,0,0,32.5906,140.94129943847656,0,201.11
26.5148,280.47,1,1,31.2863,119.330078125,5000,272.68
19.8955,279.71,2,2,29.1803,120.67503356933594,10000,278.42
12.4635,357.0,3,3,27.9989,112.43319702148438,15000,346.76
11.724,362.35,4,4,27.0573,107.21953582763672,20000,348.18
17.8309,331.53,5,5,26.7046,119.94352722167969,25000,373.43
11.7457,413.55,6,6,26.436,89.91326904296875,30000,407.41
21.8747,561.98,7,7,26.2307,51.600650787353516,35000,585.83
35.4977,406.37,8,8,26.4121,42.2548942565918,40000,442.43
23.9195,690.13,9,9,25.1572,19.913785934448242,45000,734.62
17.3266,1463.16,10,10,25.2614,-2.222172975540161,50000,1072.03
12.5853,996.64,11,11,25.3325,9.169384956359863,55000,1204.36
14.2634,897.32,12,12,25.641,14.767967224121094,60000,976.87
13.613,991.84,13,13,26.056,-5.253143787384033,65000,1160.46
14.5166,1092.22,14,14,26.7304,1.0690093040466309,70000,971.56
19.0171,1223.83,15,15,26.2946,-18.423206329345703,75000,1261.11
18.4957,1267.32,16,16,26.2229,-35.3271598815918,80000,1153.02
18.7163,902.54,17,17,26.3316,-42.189998626708984,85000,1110.92
16.5048,1039.85,18,18,26.2412,-37.557498931884766,90000,1303.67
17.6361,2800.68,19,19,24.9975,-42.88640594482422,95000,1530.82
17.6311,1184.28,20,20,25.2746,-46.50536346435547,100000,1093.08
19.571,2239.29,21,21,24.8944,-44.70854949951172,105000,1575.82
23.9983,1100.23,22,22,27.273,-74.54753875732422,110000,1226.01
25.3738,1036.74,23,23,26.5029,-95.76710510253906,115000,1093.59
20.2998,3046.59,24,24,24.7084,-69.38356018066406,120000,1949.24
36.9928,1047.41,25,25,26.4247,-96.43070220947266,125000,1088.11
15.9821,2871.77,26,26,24.4912,-56.92738342285156,130000,2176.6
19.1383,2935.74,27,27,25.0696,-93.71520233154297,135000,1287.4
19.9093,1142.8,28,28,25.5839,-108.37224578857422,140000,1189.35
16.7066,2961.92,29,29,23.8408,-57.132972717285156,145000,2379.45
16.4053,2955.47,30,30,24.6041,-85.40788269042969,150000,2170.87
18.0212,3029.3,31,31,25.0829,-32.203285217285156,155000,2760.88
