Running Reverse KL,Running Update Time,Real Det Return,Running Forward KL,Reward Loss,Running Env Steps,Itration,Real Sto Return
257.7869,0,393.25,424.0064,1288.1104736328125,0,0,380.68
265.3465,1,357.87,442.328,973.4456787109375,5000,1,365.0
260.4812,2,394.24,422.2291,173.28500366210938,10000,2,378.67
248.407,3,375.68,424.4305,464.609130859375,15000,3,360.59
241.3164,4,422.99,400.7668,-200.73866271972656,20000,4,430.66
251.4699,5,457.24,397.1858,-509.4752197265625,25000,5,459.35
256.7019,6,599.44,393.5785,-873.404052734375,30000,6,526.21
268.6466,7,615.55,386.3511,-1108.87353515625,35000,7,534.99
262.8288,8,515.6,397.1387,-1383.2830810546875,40000,8,508.0
264.0767,9,568.5,379.7727,-1007.791015625,45000,9,465.64
256.877,10,458.12,376.9358,-1280.8203125,50000,10,503.86
281.7426,11,582.65,379.4526,-1361.2874755859375,55000,11,542.02
315.4543,12,611.38,377.5992,-1475.203369140625,60000,12,566.33
278.0078,13,565.45,379.1259,-2198.0947265625,65000,13,593.93
288.4252,14,500.98,365.8771,-2394.3359375,70000,14,527.29
273.887,15,736.86,377.2385,-2555.95556640625,75000,15,662.22
255.3681,16,668.83,361.0206,-2522.66357421875,80000,16,763.91
268.6077,17,586.81,370.8445,-2782.419677734375,85000,17,675.58
284.6624,18,613.97,365.4987,-2818.746826171875,90000,18,650.45
294.8003,19,613.22,355.2679,-2770.28857421875,95000,19,651.73
281.4242,20,564.31,359.1992,-3169.912109375,100000,20,788.99
269.8881,21,933.74,350.6311,-3666.796142578125,105000,21,859.39
287.4512,22,1115.94,335.0757,-2959.03466796875,110000,22,1196.05
239.9791,23,1488.28,334.963,-3928.44189453125,115000,23,993.93
252.1839,24,1437.44,336.9216,-4096.48095703125,120000,24,1028.74
255.6607,25,1279.81,337.0479,-4683.70068359375,125000,25,1063.35
228.4619,26,922.91,330.6591,-4255.3779296875,130000,26,1174.1
247.389,27,981.79,342.6866,-4493.14794921875,135000,27,1228.47
263.7751,28,1062.92,339.6426,-4358.77685546875,140000,28,1086.98
253.2856,29,970.94,335.9904,-4426.1494140625,145000,29,1301.3
263.1264,30,1015.96,342.6587,-5408.71435546875,150000,30,1131.09
256.8602,31,861.13,358.6914,-6289.69677734375,155000,31,1298.39
222.3066,32,1674.86,338.4909,-5556.71630859375,160000,32,1230.65
237.3177,33,1228.65,336.9639,-6378.6318359375,165000,33,1321.72
255.7984,34,1651.39,328.2836,-6321.2548828125,170000,34,1412.58
258.2032,35,1169.6,337.6696,-6836.34375,175000,35,1232.93
220.3267,36,1791.23,328.7676,-6983.7216796875,180000,36,1344.12
199.3414,37,1168.43,324.6219,-6549.98388671875,185000,37,1612.09
178.436,38,1156.21,328.5626,-6509.45458984375,190000,38,1449.23
214.8893,39,916.68,333.1064,-7084.52392578125,195000,39,1270.25
221.4584,40,812.46,339.87,-7402.06591796875,200000,40,1644.77
171.4098,41,1536.43,319.4899,-6456.56591796875,205000,41,1921.39
94.7951,42,2690.61,297.7555,-3199.7314453125,210000,42,2461.7
128.2599,43,3432.4,305.7212,-5109.890625,215000,43,2951.68
137.604,44,2837.7,312.4879,-5413.91845703125,220000,44,2600.22
112.076,45,3697.6,311.031,-4293.5361328125,225000,45,2811.61
122.5659,46,3325.32,301.9105,-4266.10791015625,230000,46,2725.09
137.7954,47,4486.8,307.8238,-5198.65625,235000,47,3378.37
155.2574,48,4587.61,311.7505,-6455.7333984375,240000,48,3037.2
154.8386,49,2561.91,318.5428,-6649.28173828125,245000,49,3366.86
153.9228,50,3796.19,313.0835,-6491.8544921875,250000,50,3018.62
115.6329,51,4482.02,305.5456,-4729.53955078125,255000,51,3946.82
184.7599,52,1802.84,305.4605,-6264.35546875,260000,52,3510.81
139.8866,53,1785.9,306.9089,-5197.7978515625,265000,53,3927.7
123.358,54,3585.81,299.6472,-3932.51318359375,270000,54,4048.49
94.1227,55,3892.88,285.8068,-3007.325927734375,275000,55,4658.34
170.7931,56,3066.04,298.2789,-5361.63623046875,280000,56,3550.05
170.0166,57,2011.88,308.6526,-6246.78173828125,285000,57,3424.22
115.5263,58,3529.58,290.4138,-4709.5859375,290000,58,4130.72
146.9026,59,2439.52,304.2526,-5731.3115234375,295000,59,3904.73
171.9303,60,3642.84,320.1651,-7276.7734375,300000,60,3344.35
105.0468,61,5052.72,305.6288,-3489.56103515625,305000,61,4513.49
