Running Reverse KL,Itration,Running Update Time,Reward Loss,Running Env Steps,Running Forward KL,Real Sto Return,Real Det Return
264.6899,0,0,75.9356918334961,0,439.412,349.19,381.78
280.9606,1,1,-191.43130493164062,5000,419.3734,341.11,322.31
245.9317,2,2,-386.6772766113281,10000,432.5023,390.67,558.7
250.1212,3,3,-385.5201721191406,15000,414.6305,420.57,440.52
233.9333,4,4,-610.5078735351562,20000,414.5496,416.48,499.33
248.8903,5,5,-1396.08251953125,25000,414.5126,398.83,402.14
273.464,6,6,-1677.8785400390625,30000,411.6405,442.0,396.24
265.3923,7,7,-1273.19140625,35000,403.3971,469.71,434.0
252.1061,8,8,-1575.384033203125,40000,397.9828,472.3,670.17
261.3121,9,9,-2036.7698974609375,45000,385.5412,489.17,467.98
276.5361,10,10,-2502.32080078125,50000,400.3767,455.8,437.88
251.8854,11,11,-2507.74365234375,55000,409.0436,533.02,612.49
255.0968,12,12,-3137.57861328125,60000,414.2168,567.13,638.88
262.0399,13,13,-3074.138427734375,65000,401.0618,549.65,560.34
264.1518,14,14,-3260.44677734375,70000,408.0076,520.98,622.92
263.5144,15,15,-3416.003173828125,75000,398.9525,566.82,664.88
288.6814,16,16,-3943.318359375,80000,403.1409,551.42,609.42
308.5255,17,17,-4193.49365234375,85000,406.5569,542.37,510.54
277.4299,18,18,-4451.67236328125,90000,395.1839,550.96,535.4
259.2182,19,19,-4396.10400390625,95000,388.283,697.64,658.93
274.9245,20,20,-4919.31640625,100000,390.4866,623.93,553.66
301.0365,21,21,-5372.53466796875,105000,392.2906,586.84,615.99
264.8258,22,22,-5115.689453125,110000,383.3609,648.18,719.18
307.8304,23,23,-5860.46826171875,115000,393.9977,764.89,596.0
260.4031,24,24,-5629.2734375,120000,398.3771,637.0,650.58
261.2051,25,25,-6033.18701171875,125000,389.7001,623.62,558.4
307.5214,26,26,-6396.83837890625,130000,402.1783,711.56,587.96
270.8116,27,27,-6739.60693359375,135000,394.4531,708.93,843.09
282.2419,28,28,-7106.0029296875,140000,403.4594,594.36,513.6
277.5565,29,29,-7129.626953125,145000,395.2342,793.0,779.31
245.3832,30,30,-6870.84765625,150000,379.4539,853.21,728.94
228.0348,31,31,-6749.04736328125,155000,375.1764,959.76,1049.55
232.087,32,32,-6989.03955078125,160000,366.9092,952.65,1019.21
216.8423,33,33,-6593.04833984375,165000,361.4184,1202.08,1289.19
259.0035,34,34,-7825.8447265625,170000,380.016,1372.43,1258.25
213.3079,35,35,-6587.83154296875,175000,373.5055,1237.52,1444.57
293.4395,36,36,-8490.38671875,180000,383.8026,1062.47,918.66
216.4214,37,37,-7181.79052734375,185000,361.6247,1424.41,1221.44
198.9727,38,38,-6807.33544921875,190000,363.4208,1282.43,1097.81
212.9608,39,39,-7557.5869140625,195000,358.9472,1187.89,1206.02
241.8318,40,40,-7812.34765625,200000,362.7378,1497.08,1423.84
213.7641,41,41,-7715.2421875,205000,370.0434,1277.21,1554.08
204.1031,42,42,-7045.38134765625,210000,372.7109,1982.17,1370.69
178.9827,43,43,-6109.62939453125,215000,357.6972,1893.58,2129.49
229.7365,44,44,-8553.044921875,220000,383.0769,1227.88,953.97
210.0243,45,45,-7710.44091796875,225000,359.7935,1475.59,2598.39
201.9747,46,46,-7354.62158203125,230000,368.5082,1821.5,1031.34
172.6502,47,47,-6014.9208984375,235000,354.5826,1952.96,2432.46
194.3995,48,48,-7627.974609375,240000,355.5794,1689.18,1069.1
197.047,49,49,-7533.7109375,245000,358.2316,2044.18,1764.64
148.1,50,50,-4727.59912109375,250000,337.5634,2600.96,4155.98
151.063,51,51,-5519.66455078125,255000,332.7801,2574.59,4378.64
156.9604,52,52,-6003.37939453125,260000,336.5225,2437.11,701.4
174.3534,53,53,-6730.86181640625,265000,354.2979,3112.77,3419.38
155.2586,54,54,-5398.8798828125,270000,351.9893,3042.75,3426.95
153.2287,55,55,-5337.01416015625,275000,343.3583,3932.61,3781.55
168.2373,56,56,-6209.041015625,280000,351.8798,2888.16,4240.67
139.6777,57,57,-4413.240234375,285000,336.6314,3290.87,3191.01
168.156,58,58,-5439.46337890625,290000,348.6076,3405.65,4832.52
145.1496,59,59,-4672.17578125,295000,336.0057,4233.01,5064.39
133.9566,60,60,-2839.060791015625,300000,333.2372,4824.64,4076.82
155.1047,61,61,-4270.37548828125,305000,342.9253,3253.82,3807.93
145.163,62,62,-4816.62158203125,310000,337.2453,4219.22,4586.07
177.0781,63,63,-6214.634765625,315000,350.4471,2670.52,4310.3
133.8215,64,64,-3386.61181640625,320000,327.2388,4421.05,5019.91
195.9088,65,65,-8054.46142578125,325000,368.6082,2685.99,2896.74
126.8099,66,66,-3255.25390625,330000,330.5882,4185.75,4693.27
144.7262,67,67,-4370.298828125,335000,338.5806,4297.24,4064.12
139.3066,68,68,-3448.404296875,340000,332.53,4761.99,4519.58
126.8546,69,69,-3725.827392578125,345000,328.1167,3922.22,4509.21
124.0385,70,70,-3574.70654296875,350000,325.2787,4634.82,4575.9
126.5563,71,71,-3688.0751953125,355000,322.7856,4075.03,3661.65
145.8413,72,72,-3806.92724609375,360000,331.5428,4620.38,5108.82
155.7694,73,73,-5583.63671875,365000,347.1538,3138.82,2668.78
138.557,74,74,-5873.81005859375,370000,340.3704,2694.64,4109.45
142.9911,75,75,-4165.65966796875,375000,343.2234,4455.19,4407.14
136.7607,76,76,-4470.8408203125,380000,337.9631,4441.8,3257.13
121.2148,77,77,-4849.50341796875,385000,320.1591,4757.85,4899.23
134.3489,78,78,-5129.63232421875,390000,336.6374,3908.44,4743.02
151.6919,79,79,-6835.50732421875,395000,335.8671,2774.21,4836.24
139.7256,80,80,-4848.8876953125,400000,337.7314,4900.19,4763.13
137.9009,81,81,-6146.814453125,405000,343.0564,2636.19,3907.59
137.745,82,82,-5898.79638671875,410000,331.6904,2361.04,2661.09
127.6235,83,83,-5735.62451171875,415000,329.7212,3969.13,4033.79
129.7302,84,84,-5009.1025390625,420000,323.983,4471.55,5085.17
135.406,85,85,-5652.38671875,425000,333.4607,3472.75,4773.63
120.3659,86,86,-5260.3681640625,430000,320.1956,4980.14,5198.54
134.4571,87,87,-4893.52392578125,435000,328.5838,4803.18,5142.51
129.0002,88,88,-5100.06787109375,440000,329.3358,4410.83,5013.59
122.9825,89,89,-5850.27294921875,445000,326.4328,4413.79,4990.25
128.7424,90,90,-5483.12841796875,450000,322.4572,4626.43,5161.48
130.493,91,91,-5908.63134765625,455000,339.9624,4543.79,4881.11
131.4208,92,92,-6224.52197265625,460000,325.6009,4896.3,5056.44
124.0728,93,93,-5714.03857421875,465000,332.8755,4497.57,4887.03
215.8281,94,94,-11111.8935546875,470000,379.2259,1297.69,1920.34
124.9868,95,95,-5724.0859375,475000,329.1311,4972.44,5070.57
122.1259,96,96,-6450.17578125,480000,323.9571,4968.43,4193.88
143.4774,97,97,-7864.2080078125,485000,339.813,4430.35,5032.55
149.137,98,98,-7409.43798828125,490000,345.217,4752.45,5041.49
141.373,99,99,-7151.02783203125,495000,337.716,5024.01,5046.41
133.0172,100,100,-7577.7490234375,500000,334.2955,3779.26,4920.48
131.533,101,101,-7093.70703125,505000,335.6622,4391.67,4993.72
122.102,102,102,-7256.35888671875,510000,327.4048,3898.51,4966.21
121.2429,103,103,-7177.005859375,515000,330.9272,4781.55,5082.72
158.6877,104,104,-10002.267578125,520000,350.7934,2257.94,2726.27
126.9978,105,105,-7327.5537109375,525000,325.1336,4632.48,5174.71
122.9782,106,106,-6707.03515625,530000,322.5675,5003.23,5233.69
133.3248,107,107,-7748.79345703125,535000,340.3005,4749.61,5120.66
148.5352,108,108,-7888.771484375,540000,347.2983,4840.65,4766.49
139.5389,109,109,-8788.546875,545000,337.5571,4985.63,5142.76
129.6439,110,110,-8298.0732421875,550000,335.174,5038.01,5073.72
131.1571,111,111,-8104.169921875,555000,332.217,5004.08,5179.42
125.8396,112,112,-8538.474609375,560000,320.6495,3994.05,5126.17
123.0755,113,113,-8867.2958984375,565000,327.6694,4639.33,4902.28
136.1502,114,114,-9823.478515625,570000,328.6873,4647.52,4690.87
114.5018,115,115,-8944.583984375,575000,324.7075,3696.73,4737.06
129.8362,116,116,-9195.8037109375,580000,328.2925,4214.08,5238.13
110.8473,117,117,-8291.9365234375,585000,316.8135,5009.22,5211.29
115.4231,118,118,-8981.654296875,590000,312.2336,4695.79,4980.75
130.5223,119,119,-9433.5615234375,595000,335.2731,5131.28,4802.26
113.7884,120,120,-9140.787109375,600000,314.9853,4703.02,4672.64
124.2826,121,121,-9702.4736328125,605000,326.8051,4893.87,4925.33
129.606,122,122,-9520.2158203125,610000,327.5652,4937.67,5156.67
114.0354,123,123,-9722.7880859375,615000,318.8386,5049.73,5177.68
124.0947,124,124,-9603.4580078125,620000,321.6921,4809.57,5236.26
123.4537,125,125,-9489.71875,625000,324.2202,5132.63,5273.11
141.0894,126,126,-10393.140625,630000,332.4441,5106.0,5128.68
116.9903,127,127,-10242.341796875,635000,315.3673,5052.98,4855.4
132.5477,128,128,-11459.712890625,640000,329.7555,4089.56,4679.65
119.0324,129,129,-11399.201171875,645000,317.2987,3369.06,4541.58
128.7118,130,130,-11132.322265625,650000,322.3922,4719.83,4924.42
109.4597,131,131,-10448.3564453125,655000,314.5231,4524.97,5211.82
107.2872,132,132,-10395.6572265625,660000,316.9143,5127.1,5201.56
123.4447,133,133,-10994.5537109375,665000,326.0111,4821.6,5183.53
125.1511,134,134,-11089.041015625,670000,324.2039,5158.41,5237.73
116.9882,135,135,-10779.388671875,675000,323.9891,5140.6,5180.32
111.5731,136,136,-11032.2392578125,680000,318.1731,4895.32,5227.33
131.3912,137,137,-11345.80078125,685000,329.3966,5168.07,5210.19
126.662,138,138,-10913.166015625,690000,322.9508,5053.33,5278.82
130.3481,139,139,-12088.0908203125,695000,333.6371,5138.64,5153.0
124.9647,140,140,-11796.0546875,700000,329.9217,5183.99,5232.48
118.2051,141,141,-11694.373046875,705000,326.2118,5097.08,5216.15
120.7815,142,142,-11876.01171875,710000,320.4984,5144.93,5184.82
126.6662,143,143,-12485.3408203125,715000,329.8489,5168.35,5298.18
115.5169,144,144,-12209.53125,720000,323.7639,5051.82,5222.3
121.5562,145,145,-12498.9453125,725000,329.0788,5131.56,5193.83
115.4555,146,146,-12302.65625,730000,322.3375,5129.5,5204.19
118.6021,147,147,-12312.54296875,735000,322.6141,5141.03,5102.25
132.7126,148,148,-13371.705078125,740000,335.2591,5176.38,5245.01
127.1506,149,149,-13154.3984375,745000,334.72,5164.28,5235.64
113.86,150,150,-12273.2236328125,750000,319.8815,5144.74,5230.84
110.4355,151,151,-12972.8720703125,755000,320.6592,4887.3,5230.54
123.1644,152,152,-13073.8759765625,760000,323.6287,4914.16,5213.32
111.6284,153,153,-13308.7861328125,765000,321.0177,5140.32,5252.92
105.3875,154,154,-12913.203125,770000,313.6568,4957.54,5326.36
119.0605,155,155,-14012.28125,775000,328.4268,5045.7,5259.29
108.1288,156,156,-13450.82421875,780000,316.8812,5078.85,5224.59
105.4485,157,157,-13176.7138671875,785000,316.6756,5072.38,5239.48
106.4178,158,158,-13297.10546875,790000,315.4108,5026.8,5266.91
105.3456,159,159,-13611.01953125,795000,318.5799,5075.49,5297.25
103.0639,160,160,-13709.9345703125,800000,312.42,5081.24,5199.61
115.2473,161,161,-14266.123046875,805000,325.0971,5152.6,5307.02
106.7585,162,162,-13731.189453125,810000,311.5117,4952.89,5278.13
111.0585,163,163,-14201.3798828125,815000,319.4193,5155.99,5318.25
