Itration,Real Sto Return,Running Env Steps,Real Det Return,Reward Loss,Running Forward KL,Running Reverse KL,Running Update Time
0,215.37,0,229.22,-169.55496215820312,32.7525,20.3944,0
1,254.98,5000,262.26,-116.67481231689453,31.6201,19.8688,1
2,246.49,10000,227.68,-135.24098205566406,25.7651,61.3568,2
3,546.62,15000,587.24,156.6796112060547,26.3043,16.9326,3
4,564.74,20000,546.64,-341.4678039550781,25.9088,18.2377,4
5,462.07,25000,527.11,-455.34942626953125,27.0363,73.7998,5
6,381.29,30000,327.93,-740.48876953125,27.8037,56.6458,6
7,698.95,35000,698.51,-504.32940673828125,24.2585,42.2186,7
8,683.85,40000,717.68,-585.1461181640625,23.9874,38.8166,8
9,751.81,45000,767.94,-432.4515380859375,25.1684,25.9852,9
10,640.04,50000,493.13,-449.8830871582031,23.2127,15.3835,10
11,931.89,55000,962.11,-328.02569580078125,22.7862,18.9643,11
12,2226.63,60000,1161.61,-57.463409423828125,22.7148,12.9513,12
13,1487.02,65000,1975.97,-233.79031372070312,22.9987,20.6965,13
14,2434.06,70000,2779.35,-185.53378295898438,22.4518,15.8882,14
15,3034.98,75000,3135.35,-207.4364013671875,23.1877,15.7539,15
16,1478.76,80000,1043.55,-657.7315063476562,21.4609,37.8469,16
17,1785.39,85000,2312.1,-905.7702026367188,21.0604,37.7088,17
18,2038.73,90000,3289.82,-278.9739990234375,21.1832,19.2924,18
19,709.34,95000,3234.43,-264.460205078125,18.4553,17.0145,19
20,1005.49,100000,1007.01,-950.2354736328125,38.742,31.1014,20
21,99.31,105000,99.86,-230.25645446777344,39.6525,88.8739,21
22,692.92,110000,774.37,-564.1182250976562,27.2257,26.1555,22
23,174.01,115000,160.81,-286.8750305175781,30.7612,63.5546,23
24,235.23,120000,196.88,-1240.283935546875,32.1617,43.3904,24
25,285.85,125000,305.08,-1596.6826171875,32.7484,30.5512,25
26,255.29,130000,195.65,-1497.20263671875,27.7604,50.8092,26
27,1335.88,135000,990.03,-911.4706420898438,27.4501,21.9286,27
28,510.36,140000,511.71,-1046.005615234375,28.7937,24.9212,28
29,1757.83,145000,2154.69,-559.7420043945312,26.3865,16.7153,29
30,280.9,150000,280.94,-1742.96240234375,31.8721,27.4879,30
31,2188.85,155000,2375.37,-390.4942321777344,24.8156,17.3024,31
32,2251.54,160000,2446.75,-412.1679382324219,23.6154,13.6533,32
33,2515.61,165000,2511.79,-527.1900634765625,25.1127,17.8974,33
34,995.94,170000,996.27,-1534.4544677734375,36.475,33.6322,34
35,1577.0,175000,2204.43,-888.4082641601562,28.0204,18.4463,35
36,2677.26,180000,2650.67,-253.55682373046875,25.0097,17.4121,36
37,2650.83,185000,2752.26,-449.876220703125,24.1417,16.3517,37
38,2853.37,190000,2826.91,-267.09033203125,24.2589,17.211,38
39,1306.67,195000,1000.04,-1489.714111328125,24.6699,25.9349,39
40,689.23,200000,969.88,-1685.8739013671875,39.1411,49.2174,40
41,2645.37,205000,2610.79,-419.7843017578125,25.0613,17.7835,41
42,2261.56,210000,1889.65,-462.29779052734375,21.2618,14.7715,42
43,989.8,215000,988.99,-1813.7574462890625,38.3786,39.8816,43
44,988.64,220000,824.51,-1835.470947265625,31.6684,33.4969,44
45,1023.92,225000,1023.01,-1885.5576171875,35.7604,35.9225,45
46,205.72,230000,205.68,-1493.4725341796875,27.3517,16.3955,46
47,1914.22,235000,1899.37,-1179.8292236328125,29.9378,21.0689,47
48,2233.93,240000,2214.35,-671.92626953125,28.2726,18.9474,48
49,2635.69,245000,2651.61,-613.1082153320312,25.5774,16.871,49
50,969.85,250000,860.26,-1909.466552734375,27.0846,28.7158,50
51,429.0,255000,485.93,-1404.5740966796875,27.4577,18.488,51
52,966.92,260000,908.62,-1681.39453125,25.9034,22.9916,52
53,2690.32,265000,2696.75,-456.0080261230469,24.3204,16.6819,53
54,1795.72,270000,1793.19,-1333.3123779296875,29.562,19.6873,54
55,2304.44,275000,2469.69,-413.09881591796875,28.0762,19.5752,55
56,1399.91,280000,1079.28,-1218.9884033203125,28.4289,20.9899,56
57,224.88,285000,213.94,-950.2655639648438,28.6883,21.1674,57
58,2291.76,290000,2284.45,-926.4202270507812,28.1197,19.1851,58
59,2315.88,295000,2309.86,-1061.9620361328125,27.2023,17.4962,59
60,560.13,300000,957.47,-1950.11083984375,28.144,22.9407,60
61,2137.99,305000,2152.45,-1069.29541015625,28.3821,17.4699,61
62,1726.26,310000,1654.34,-1909.5419921875,29.8423,20.5786,62
63,1105.0,315000,1039.43,-2626.074951171875,36.2075,38.5691,63
64,1471.57,320000,1796.07,-1541.872802734375,28.9701,22.48,64
65,975.78,325000,975.11,-2620.712890625,36.3615,39.1331,65
66,2300.63,330000,2296.35,-660.3458251953125,28.2429,23.6414,66
67,2413.34,335000,2408.67,-764.2911987304688,28.4605,23.305,67
68,1020.43,340000,1019.74,-2817.929931640625,35.6992,37.1789,68
69,234.41,345000,198.62,-1326.6190185546875,27.2128,30.0152,69
70,634.18,350000,670.04,-1725.205078125,23.8504,13.1691,70
71,980.97,355000,982.03,-2965.35302734375,41.1139,40.0487,71
72,1879.31,360000,1977.48,-1453.2713623046875,29.7499,19.2364,72
73,252.45,365000,307.89,-1708.0662841796875,29.4541,18.4295,73
