Running Update Time,Running Env Steps,Real Det Return,Real Sto Return,Running Reverse KL,Itration,Reward Loss,Running Forward KL
0,0,18.53,-190.2,11.6784,0,18.73326301574707,158.5405
1,5000,-8.28,-67.17,11.9477,1,-36.812381744384766,158.5787
2,10000,662.6,196.26,13.0284,2,-94.27857208251953,158.4045
3,15000,816.25,369.98,13.9351,3,-128.7808380126953,158.3912
4,20000,851.21,512.4,14.5014,4,-186.95384216308594,158.3005
5,25000,928.14,597.81,14.3097,5,-227.43167114257812,158.2124
6,30000,942.52,604.91,14.3301,6,-250.20376586914062,157.9477
7,35000,1173.53,789.63,14.89,7,-288.2375183105469,157.9644
8,40000,1213.49,836.02,15.2478,8,-327.304443359375,157.8342
9,45000,1385.16,976.28,15.7358,9,-357.9520568847656,158.0599
10,50000,1444.02,1022.72,15.8753,10,-395.42620849609375,157.8827
11,55000,1468.93,1098.24,16.262,11,-436.9744873046875,158.0096
12,60000,1490.27,1107.47,16.191,12,-484.7981872558594,158.1231
13,65000,1551.1,1125.3,16.2027,13,-522.6365356445312,158.0714
14,70000,1648.98,1213.14,16.2807,14,-575.7730712890625,157.8187
15,75000,1646.25,1217.62,16.3482,15,-613.085693359375,158.0829
16,80000,1734.94,1273.15,16.3657,16,-652.7665405273438,157.6824
17,85000,1745.07,1304.59,16.6824,17,-690.5289916992188,157.8706
18,90000,1821.26,1397.83,16.5595,18,-738.875,157.5851
19,95000,1776.72,1376.13,16.2375,19,-780.5596923828125,157.8234
20,100000,1906.0,1453.53,16.7252,20,-836.3512573242188,157.6433
21,105000,1891.79,1461.31,16.4337,21,-868.1471557617188,157.719
22,110000,1885.31,1508.14,16.2791,22,-915.660400390625,157.602
23,115000,1936.43,1487.1,16.5556,23,-955.4638671875,157.6513
24,120000,1902.85,1528.5,16.5075,24,-988.8298950195312,157.335
25,125000,1844.28,1502.71,16.4187,25,-1030.1837158203125,157.5529
26,130000,1933.57,1568.02,16.5901,26,-1065.010009765625,157.6542
27,135000,1957.72,1620.32,16.566,27,-1105.239990234375,157.5199
28,140000,1958.79,1613.71,16.4872,28,-1140.7657470703125,157.4539
29,145000,1975.13,1613.31,16.573,29,-1179.451171875,157.5041
30,150000,1999.87,1597.1,16.2407,30,-1206.1414794921875,157.3755
31,155000,2016.66,1615.42,16.8385,31,-1261.3941650390625,157.7069
32,160000,1988.67,1647.78,16.343,32,-1276.97412109375,157.2863
33,165000,2006.98,1639.06,16.3439,33,-1334.5050048828125,157.2828
34,170000,2020.21,1675.99,16.3987,34,-1365.40478515625,157.4083
